,dataset_id,taxon_name,observation_id,trait_name,value,unit,entity_type,value_type,basis_of_value,replicates,basis_of_record,life_stage,population_id,individual_id,temporal_id,source_id,location_id,entity_context_id,plot_id,treatment_id,collection_date,measurement_remarks,method_id,original_name
39,Dwyer_2017,Crassula colorata,210,plant_height,0.041222403,m,population,maximum,measurement,1183,field,adult,3,NA,NA,NA,3,NA,NA,NA,2011,NA,NA,Crassula colorata
41,Dwyer_2017,Crassula colorata,211,plant_height,0.051385964,m,population,maximum,measurement,56,field,adult,4,NA,NA,NA,4,NA,NA,NA,2011,NA,NA,Crassula colorata
43,Dwyer_2017,Crassula colorata,212,plant_height,0.032702333,m,population,maximum,measurement,103,field,adult,5,NA,NA,NA,5,NA,NA,NA,2011,NA,NA,Crassula colorata
45,Dwyer_2017,Crassula colorata,213,plant_height,0.090186467,m,population,maximum,measurement,105,field,adult,6,NA,NA,NA,6,NA,NA,NA,2011,NA,NA,Crassula colorata
47,Dwyer_2017,Crassula colorata,214,plant_height,0.03539831,m,population,maximum,measurement,862,field,adult,7,NA,NA,NA,7,NA,NA,NA,2011,NA,NA,Crassula colorata
49,Dwyer_2017,Crassula colorata,215,plant_height,0.050499948,m,population,maximum,measurement,53,field,adult,8,NA,NA,NA,8,NA,NA,NA,2011,NA,NA,Crassula colorata
51,Dwyer_2017,Crassula colorata,216,plant_height,0.07,m,population,maximum,measurement,386,field,adult,9,NA,NA,NA,9,NA,NA,NA,2011,NA,NA,Crassula colorata
53,Dwyer_2017,Crassula colorata,217,plant_height,0.075,m,population,maximum,measurement,577,field,adult,10,NA,NA,NA,10,NA,NA,NA,2011,NA,NA,Crassula colorata
55,Dwyer_2017,Crassula colorata,218,plant_height,0.071397753,m,population,maximum,measurement,80,field,adult,11,NA,NA,NA,11,NA,NA,NA,2011,NA,NA,Crassula colorata
57,Dwyer_2017,Crassula colorata,219,plant_height,0.101961883,m,population,maximum,measurement,555,field,adult,12,NA,NA,NA,12,NA,NA,NA,2011,NA,NA,Crassula colorata
212,Leishman_1992,Crassula colorata,170,plant_height,0.1,m,species,maximum,measurement,NA,literature,adult,NA,NA,NA,NA,1,NA,NA,NA,1996/1996,NA,NA,Crassula colorata
272,NHNSW_2014_2,Crassula colorata,1647,plant_height,0.15,m,species,maximum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2014,NA,NA,Crassula colorata
375,WAH_1998,Crassula colorata,1407,plant_height,0.15,m,species,maximum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/1998,NA,NA,Crassula colorata
390,Wheeler_2002,Crassula colorata,389,plant_height,0.15,m,species,maximum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,2014/2014,NA,NA,Crassula colorata
271,NHNSW_2014_2,Crassula colorata,1647,plant_height,0.05,m,species,minimum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2014,NA,NA,Crassula colorata
228,Mokany_2008,Crassula sieberiana,120,leaf_mass_per_area,25.78582295,g/m2,individual,raw,measurement,1,field,adult,2,1,NA,NA,2,NA,NA,NA,9/20/05,NA,NA,Crassula sieberiana
230,Mokany_2008,Crassula sieberiana,121,leaf_mass_per_area,18.85156279,g/m2,individual,raw,measurement,1,field,adult,2,2,NA,NA,2,NA,NA,NA,9/20/05,NA,NA,Crassula sieberiana
232,Mokany_2008,Crassula sieberiana,122,leaf_mass_per_area,46.89111882,g/m2,individual,raw,measurement,1,field,adult,2,3,NA,NA,2,NA,NA,NA,9/21/05,NA,NA,Crassula sieberiana
221,Lunt_2012,Crassula sieberiana,64,leaf_mass_per_area,15.06931887,g/m2,population,mean,measurement,unknown,field,adult,1,NA,NA,NA,1,NA,NA,NA,1990/2012,NA,NA,Crassula sieberiana
246,Morgan_2011_1,Crassula sieberiana,196,plant_height,0.1,m,population,maximum,measurement,unknown,field,adult,1,NA,NA,NA,1,NA,NA,NA,2011/2011,NA,NA,Crassula sieberiana s.l.
242,Mokany_2015,Crassula sieberiana,317,plant_height,0.2,m,species,maximum,measurement,NA,literature,adult,NA,NA,NA,NA,NA,NA,NA,NA,2015/2015,NA,NA,Crassula sieberiana
391,Wheeler_2002,Crassula sieberiana,393,plant_height,0.1,m,species,maximum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,2014/2014,NA,NA,Crassula sieberiana
229,Mokany_2008,Crassula sieberiana,120,root_diameter,0.37,mm,individual,maximum,0.353333333,1,field,adult,2,1,NA,NA,2,NA,NA,NA,9/20/05,NA,NA,Crassula sieberiana
231,Mokany_2008,Crassula sieberiana,121,root_diameter,0.31,mm,individual,maximum,measurement,1,field,adult,2,2,NA,NA,2,NA,NA,NA,9/20/05,NA,NA,Crassula sieberiana
233,Mokany_2008,Crassula sieberiana,122,root_diameter,0.38,mm,individual,maximum,measurement,1,field,adult,2,3,NA,NA,2,NA,NA,NA,9/21/05,NA,NA,Crassula sieberiana
192,Fonseca_2000,Cuphonotus humistratus,414,leaf_mass_per_area,99.00990099,g/m2,population,mean,measurement,5,field,adult,21,NA,NA,NA,21,NA,NA,NA,1996/1997,NA,NA,Cuphonotus humistratus
274,NHNSW_2014_2,Cuphonotus humistratus,1742,plant_height,0.25,m,species,maximum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2014,NA,NA,Cuphonotus humistratus
335,SAH_2014,Cuphonotus humistratus,688,plant_height,0.25,m,species,maximum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/1986,NA,NA,Cuphonotus humistratus
376,WAH_1998,Cuphonotus humistratus,1468,plant_height,0.25,m,species,maximum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/1998,NA,NA,Cuphonotus humistratus
273,NHNSW_2014_2,Cuphonotus humistratus,1742,plant_height,0.083,m,species,minimum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2014,NA,NA,Cuphonotus humistratus
268,NHNSW_2014_2,Cyclospermum leptophyllum,1494,plant_height,0.7,m,species,maximum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2014,NA,NA,Ciclospermum leptophyllum
331,SAH_2014,Cyclospermum leptophyllum,593,plant_height,0.7,m,species,maximum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/1986,NA,NA,Ciclospermum leptophyllum
267,NHNSW_2014_2,Cyclospermum leptophyllum,1494,plant_height,0.15,m,species,minimum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2014,NA,NA,Ciclospermum leptophyllum
330,SAH_2014,Cyclospermum leptophyllum,593,plant_height,0.3,m,species,minimum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/1986,NA,NA,Ciclospermum leptophyllum
276,NHNSW_2014_2,Digitaria violascens,2057,plant_height,0.6,m,species,maximum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2014,NA,NA,Digitaria violascens
275,NHNSW_2014_2,Digitaria violascens,2057,plant_height,0.2,m,species,minimum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2014,NA,NA,Digitaria violascens
5,Cooper_2013,Elephantopus mollis,1068,plant_height,1.5,m,species,maximum,measurement,NA,literature,adult,NA,NA,1,NA,NA,NA,NA,NA,unknown/2013,NA,NA,Elephantopus mollis
112,Firn_2019,Erodium botrys,171,leaf_mass_per_area,49.81008438,g/m2,population,mean,81.14030593,5,field_experiment,adult,112,NA,NA,NA,4,NA,22,6,2011,NA,NA,Erodium botrys
114,Firn_2019,Erodium botrys,172,leaf_mass_per_area,154.1688864,g/m2,population,mean,0.012324331,5,field_experiment,adult,114,NA,NA,NA,4,NA,24,6,2011,NA,NA,Erodium botrys
116,Firn_2019,Erodium botrys,173,leaf_mass_per_area,56.86759294,g/m2,population,mean,measurement,5,field_experiment,adult,115,NA,NA,NA,4,NA,25,7,2011,NA,NA,Erodium botrys
118,Firn_2019,Erodium botrys,174,leaf_mass_per_area,173.0183672,g/m2,population,mean,measurement,5,field_experiment,adult,118,NA,NA,NA,4,NA,28,7,2011,NA,NA,Erodium botrys
120,Firn_2019,Erodium botrys,175,leaf_mass_per_area,31.5700688,g/m2,population,mean,measurement,5,field_experiment,adult,119,NA,NA,NA,4,NA,29,8,2011,NA,NA,Erodium botrys
123,Firn_2019,Erodium botrys,177,leaf_mass_per_area,37.70913538,g/m2,population,mean,measurement,5,field_experiment,adult,121,NA,NA,NA,4,NA,31,8,2011,NA,NA,Erodium botrys
125,Firn_2019,Erodium botrys,178,leaf_mass_per_area,123.3588307,g/m2,population,mean,measurement,5,field_experiment,adult,122,NA,NA,NA,4,NA,32,8,2011,NA,NA,Erodium botrys
127,Firn_2019,Erodium botrys,179,leaf_mass_per_area,98.70171739,g/m2,population,mean,measurement,5,field_experiment,adult,123,NA,NA,NA,4,NA,33,9,2011,NA,NA,Erodium botrys
129,Firn_2019,Erodium botrys,180,leaf_mass_per_area,68.58109946,g/m2,population,mean,measurement,5,field_experiment,adult,124,NA,NA,NA,4,NA,34,9,2011,NA,NA,Erodium botrys
131,Firn_2019,Erodium botrys,181,leaf_mass_per_area,91.92186285,g/m2,population,mean,measurement,5,field_experiment,adult,125,NA,NA,NA,4,NA,35,9,2011,NA,NA,Erodium botrys
134,Firn_2019,Erodium botrys,183,leaf_mass_per_area,55.37716479,g/m2,population,mean,measurement,5,field_experiment,adult,127,NA,NA,NA,4,NA,37,10,2011,NA,NA,Erodium botrys
136,Firn_2019,Erodium botrys,184,leaf_mass_per_area,61.17067869,g/m2,population,mean,measurement,5,field_experiment,adult,128,NA,NA,NA,4,NA,38,10,2011,NA,NA,Erodium botrys
138,Firn_2019,Erodium botrys,185,leaf_mass_per_area,52.56848807,g/m2,population,mean,measurement,5,field_experiment,adult,129,NA,NA,NA,4,NA,39,10,2011,NA,NA,Erodium botrys
113,Firn_2019,Erodium botrys,171,leaf_N_per_dry_mass,64.80222791,mg/g,population,mean,measurement,5,field_experiment,adult,112,NA,NA,NA,4,NA,22,6,2011,NA,NA,Erodium botrys
115,Firn_2019,Erodium botrys,172,leaf_N_per_dry_mass,39.02532686,mg/g,population,mean,measurement,5,field_experiment,adult,114,NA,NA,NA,4,NA,24,6,2011,NA,NA,Erodium botrys
117,Firn_2019,Erodium botrys,173,leaf_N_per_dry_mass,60.84062685,mg/g,population,mean,measurement,5,field_experiment,adult,115,NA,NA,NA,4,NA,25,7,2011,NA,NA,Erodium botrys
119,Firn_2019,Erodium botrys,174,leaf_N_per_dry_mass,25.45450446,mg/g,population,mean,measurement,5,field_experiment,adult,118,NA,NA,NA,4,NA,28,7,2011,NA,NA,Erodium botrys
121,Firn_2019,Erodium botrys,175,leaf_N_per_dry_mass,41.21410845,mg/g,population,mean,measurement,5,field_experiment,adult,119,NA,NA,NA,4,NA,29,8,2011,NA,NA,Erodium botrys
122,Firn_2019,Erodium botrys,176,leaf_N_per_dry_mass,57.0904895,mg/g,population,mean,measurement,5,field_experiment,adult,120,NA,NA,NA,4,NA,30,8,2011,NA,NA,Erodium botrys
124,Firn_2019,Erodium botrys,177,leaf_N_per_dry_mass,54.14201315,mg/g,population,mean,measurement,5,field_experiment,adult,121,NA,NA,NA,4,NA,31,8,2011,NA,NA,Erodium botrys
126,Firn_2019,Erodium botrys,178,leaf_N_per_dry_mass,29.45123541,mg/g,population,mean,measurement,5,field_experiment,adult,122,NA,NA,NA,4,NA,32,8,2011,NA,NA,Erodium botrys
128,Firn_2019,Erodium botrys,179,leaf_N_per_dry_mass,32.10670424,mg/g,population,mean,measurement,5,field_experiment,adult,123,NA,NA,NA,4,NA,33,9,2011,NA,NA,Erodium botrys
130,Firn_2019,Erodium botrys,180,leaf_N_per_dry_mass,47.09017846,mg/g,population,mean,measurement,5,field_experiment,adult,124,NA,NA,NA,4,NA,34,9,2011,NA,NA,Erodium botrys
132,Firn_2019,Erodium botrys,181,leaf_N_per_dry_mass,34.82034593,mg/g,population,mean,measurement,5,field_experiment,adult,125,NA,NA,NA,4,NA,35,9,2011,NA,NA,Erodium botrys
133,Firn_2019,Erodium botrys,182,leaf_N_per_dry_mass,25.60333148,mg/g,population,mean,measurement,5,field_experiment,adult,126,NA,NA,NA,4,NA,36,9,2011,NA,NA,Erodium botrys
135,Firn_2019,Erodium botrys,183,leaf_N_per_dry_mass,42.99057774,mg/g,population,mean,measurement,5,field_experiment,adult,127,NA,NA,NA,4,NA,37,10,2011,NA,NA,Erodium botrys
137,Firn_2019,Erodium botrys,184,leaf_N_per_dry_mass,57.60897233,mg/g,population,mean,measurement,5,field_experiment,adult,128,NA,NA,NA,4,NA,38,10,2011,NA,NA,Erodium botrys
139,Firn_2019,Erodium botrys,185,leaf_N_per_dry_mass,56.67023174,mg/g,population,mean,measurement,5,field_experiment,adult,129,NA,NA,NA,4,NA,39,10,2011,NA,NA,Erodium botrys
140,Firn_2019,Erodium botrys,186,leaf_N_per_dry_mass,11.31095624,mg/g,population,mean,measurement,5,field_experiment,adult,130,NA,NA,NA,4,NA,40,10,2011,NA,NA,Erodium botrys
278,NHNSW_2014_2,Erodium botrys,2437,plant_height,0.4,m,species,maximum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2014,NA,NA,Erodium botrys
336,SAH_2014,Erodium botrys,1002,plant_height,0.4,m,species,maximum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/1986,NA,NA,Erodium botrys
277,NHNSW_2014_2,Erodium botrys,2437,plant_height,0.133,m,species,minimum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2014,NA,NA,Erodium botrys
10,Curtis_2012,Erodium crinitum,83,leaf_mass_per_area,110.8640857,g/m2,population,mean,measurement,5,field,adult,4,NA,NA,NA,4,NA,NA,NA,2010/2010,NA,NA,Erodium crinitum
203,Jurado_1991,Erodium crinitum,228,plant_height,0.9,m,species,maximum,measurement,NA,field,adult,NA,NA,NA,NA,1,NA,NA,NA,1987/1989,NA,NA,Erodium crinitum
213,Leishman_1992,Erodium crinitum,252,plant_height,0.9,m,species,maximum,measurement,NA,literature,adult,NA,NA,NA,NA,1,NA,NA,NA,1996/1996,NA,NA,Erodium crinitum
280,NHNSW_2014_2,Erodium crinitum,2440,plant_height,0.5,m,species,maximum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2014,NA,NA,Erodium crinitum
377,WAH_1998,Erodium crinitum,2237,plant_height,0.5,m,species,maximum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/1998,NA,NA,Erodium crinitum
394,Williams_2011,Erodium crinitum,474,plant_height,0.8,m,species,maximum,measurement,NA,field,adult,NA,NA,NA,NA,3,NA,NA,NA,2011/2013,NA,NA,Erodium crinitum
279,NHNSW_2014_2,Erodium crinitum,2440,plant_height,0.167,m,species,minimum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2014,NA,NA,Erodium crinitum
141,Firn_2019,Fimbristylis dichotoma,195,leaf_mass_per_area,194.0025469,g/m2,population,mean,168.13602,5,field_experiment,adult,31,NA,NA,NA,2,NA,1,1,2011,NA,NA,Fimbristylis dichotoma
143,Firn_2019,Fimbristylis dichotoma,196,leaf_mass_per_area,178.4886754,g/m2,population,mean,0.005947566,5,field_experiment,adult,32,NA,NA,NA,2,NA,2,1,2011,NA,NA,Fimbristylis dichotoma
145,Firn_2019,Fimbristylis dichotoma,197,leaf_mass_per_area,170.5719592,g/m2,population,mean,measurement,5,field_experiment,adult,33,NA,NA,NA,2,NA,3,1,2011,NA,NA,Fimbristylis dichotoma
147,Firn_2019,Fimbristylis dichotoma,198,leaf_mass_per_area,178.0762714,g/m2,population,mean,measurement,5,field_experiment,adult,34,NA,NA,NA,2,NA,5,2,2011,NA,NA,Fimbristylis dichotoma
149,Firn_2019,Fimbristylis dichotoma,199,leaf_mass_per_area,176.03722,g/m2,population,mean,measurement,5,field_experiment,adult,37,NA,NA,NA,2,NA,9,3,2011,NA,NA,Fimbristylis dichotoma
151,Firn_2019,Fimbristylis dichotoma,200,leaf_mass_per_area,121.479429,g/m2,population,mean,measurement,5,field_experiment,adult,38,NA,NA,NA,2,NA,10,3,2011,NA,NA,Fimbristylis dichotoma
153,Firn_2019,Fimbristylis dichotoma,201,leaf_mass_per_area,221.4479208,g/m2,population,mean,measurement,5,field_experiment,adult,39,NA,NA,NA,2,NA,11,3,2011,NA,NA,Fimbristylis dichotoma
155,Firn_2019,Fimbristylis dichotoma,202,leaf_mass_per_area,136.3686525,g/m2,population,mean,measurement,5,field_experiment,adult,40,NA,NA,NA,2,NA,13,4,2011,NA,NA,Fimbristylis dichotoma
157,Firn_2019,Fimbristylis dichotoma,203,leaf_mass_per_area,171.4561459,g/m2,population,mean,measurement,5,field_experiment,adult,41,NA,NA,NA,2,NA,14,4,2011,NA,NA,Fimbristylis dichotoma
159,Firn_2019,Fimbristylis dichotoma,204,leaf_mass_per_area,198.90428,g/m2,population,mean,measurement,5,field_experiment,adult,42,NA,NA,NA,2,NA,15,4,2011,NA,NA,Fimbristylis dichotoma
161,Firn_2019,Fimbristylis dichotoma,205,leaf_mass_per_area,184.5061412,g/m2,population,mean,measurement,5,field_experiment,adult,43,NA,NA,NA,2,NA,17,5,2011,NA,NA,Fimbristylis dichotoma
163,Firn_2019,Fimbristylis dichotoma,206,leaf_mass_per_area,190.6448678,g/m2,population,mean,measurement,5,field_experiment,adult,44,NA,NA,NA,2,NA,18,5,2011,NA,NA,Fimbristylis dichotoma
165,Firn_2019,Fimbristylis dichotoma,207,leaf_mass_per_area,189.521018,g/m2,population,mean,measurement,5,field_experiment,adult,45,NA,NA,NA,2,NA,19,5,2011,NA,NA,Fimbristylis dichotoma
167,Firn_2019,Fimbristylis dichotoma,208,leaf_mass_per_area,172.8973594,g/m2,population,mean,measurement,5,field_experiment,adult,46,NA,NA,NA,2,NA,21,6,2011,NA,NA,Fimbristylis dichotoma
169,Firn_2019,Fimbristylis dichotoma,209,leaf_mass_per_area,184.3279788,g/m2,population,mean,measurement,5,field_experiment,adult,47,NA,NA,NA,2,NA,22,6,2011,NA,NA,Fimbristylis dichotoma
171,Firn_2019,Fimbristylis dichotoma,210,leaf_mass_per_area,156.8169528,g/m2,population,mean,measurement,5,field_experiment,adult,48,NA,NA,NA,2,NA,23,6,2011,NA,NA,Fimbristylis dichotoma
173,Firn_2019,Fimbristylis dichotoma,211,leaf_mass_per_area,191.8938878,g/m2,population,mean,measurement,5,field_experiment,adult,49,NA,NA,NA,2,NA,25,7,2011,NA,NA,Fimbristylis dichotoma
175,Firn_2019,Fimbristylis dichotoma,212,leaf_mass_per_area,116.2442899,g/m2,population,mean,measurement,5,field_experiment,adult,50,NA,NA,NA,2,NA,26,7,2011,NA,NA,Fimbristylis dichotoma
177,Firn_2019,Fimbristylis dichotoma,213,leaf_mass_per_area,203.9088728,g/m2,population,mean,measurement,5,field_experiment,adult,51,NA,NA,NA,2,NA,27,7,2011,NA,NA,Fimbristylis dichotoma
179,Firn_2019,Fimbristylis dichotoma,214,leaf_mass_per_area,178.1308329,g/m2,population,mean,measurement,5,field_experiment,adult,55,NA,NA,NA,2,NA,33,9,2011,NA,NA,Fimbristylis dichotoma
181,Firn_2019,Fimbristylis dichotoma,215,leaf_mass_per_area,114.6038225,g/m2,population,mean,measurement,5,field_experiment,adult,56,NA,NA,NA,2,NA,34,9,2011,NA,NA,Fimbristylis dichotoma
183,Firn_2019,Fimbristylis dichotoma,216,leaf_mass_per_area,169.083377,g/m2,population,mean,measurement,5,field_experiment,adult,57,NA,NA,NA,2,NA,35,9,2011,NA,NA,Fimbristylis dichotoma
185,Firn_2019,Fimbristylis dichotoma,217,leaf_mass_per_area,187.2458393,g/m2,population,mean,measurement,5,field_experiment,adult,58,NA,NA,NA,2,NA,37,10,2011,NA,NA,Fimbristylis dichotoma
187,Firn_2019,Fimbristylis dichotoma,218,leaf_mass_per_area,42.38790614,g/m2,population,mean,measurement,5,field_experiment,adult,59,NA,NA,NA,2,NA,38,10,2011,NA,NA,Fimbristylis dichotoma
189,Firn_2019,Fimbristylis dichotoma,219,leaf_mass_per_area,174.3542536,g/m2,population,mean,measurement,5,field_experiment,adult,60,NA,NA,NA,2,NA,39,10,2011,NA,NA,Fimbristylis dichotoma
354,Schmidt_2003,Fimbristylis dichotoma,637,leaf_N_per_dry_mass,11,mg/g,individual,raw,measurement,1,field,adult,6,1,2,NA,2,NA,NA,NA,1994/1998,NA,NA,Fimbristylis dichotoma
142,Firn_2019,Fimbristylis dichotoma,195,leaf_N_per_dry_mass,14.64930138,mg/g,population,mean,measurement,5,field_experiment,adult,31,NA,NA,NA,2,NA,1,1,2011,NA,NA,Fimbristylis dichotoma
144,Firn_2019,Fimbristylis dichotoma,196,leaf_N_per_dry_mass,12.31778785,mg/g,population,mean,14.11303333,5,field_experiment,adult,32,NA,NA,NA,2,NA,2,1,2011,NA,NA,Fimbristylis dichotoma
146,Firn_2019,Fimbristylis dichotoma,197,leaf_N_per_dry_mass,15.76797233,mg/g,population,mean,measurement,5,field_experiment,adult,33,NA,NA,NA,2,NA,3,1,2011,NA,NA,Fimbristylis dichotoma
148,Firn_2019,Fimbristylis dichotoma,198,leaf_N_per_dry_mass,14.73721581,mg/g,population,mean,measurement,5,field_experiment,adult,34,NA,NA,NA,2,NA,5,2,2011,NA,NA,Fimbristylis dichotoma
150,Firn_2019,Fimbristylis dichotoma,199,leaf_N_per_dry_mass,11.35367369,mg/g,population,mean,measurement,5,field_experiment,adult,37,NA,NA,NA,2,NA,9,3,2011,NA,NA,Fimbristylis dichotoma
152,Firn_2019,Fimbristylis dichotoma,200,leaf_N_per_dry_mass,11.05446005,mg/g,population,mean,measurement,5,field_experiment,adult,38,NA,NA,NA,2,NA,10,3,2011,NA,NA,Fimbristylis dichotoma
154,Firn_2019,Fimbristylis dichotoma,201,leaf_N_per_dry_mass,11.07387679,mg/g,population,mean,measurement,5,field_experiment,adult,39,NA,NA,NA,2,NA,11,3,2011,NA,NA,Fimbristylis dichotoma
156,Firn_2019,Fimbristylis dichotoma,202,leaf_N_per_dry_mass,20.14791015,mg/g,population,mean,measurement,5,field_experiment,adult,40,NA,NA,NA,2,NA,13,4,2011,NA,NA,Fimbristylis dichotoma
158,Firn_2019,Fimbristylis dichotoma,203,leaf_N_per_dry_mass,13.92340235,mg/g,population,mean,measurement,5,field_experiment,adult,41,NA,NA,NA,2,NA,14,4,2011,NA,NA,Fimbristylis dichotoma
160,Firn_2019,Fimbristylis dichotoma,204,leaf_N_per_dry_mass,13.39643809,mg/g,population,mean,measurement,5,field_experiment,adult,42,NA,NA,NA,2,NA,15,4,2011,NA,NA,Fimbristylis dichotoma
162,Firn_2019,Fimbristylis dichotoma,205,leaf_N_per_dry_mass,16.46501332,mg/g,population,mean,measurement,5,field_experiment,adult,43,NA,NA,NA,2,NA,17,5,2011,NA,NA,Fimbristylis dichotoma
164,Firn_2019,Fimbristylis dichotoma,206,leaf_N_per_dry_mass,11.22690318,mg/g,population,mean,measurement,5,field_experiment,adult,44,NA,NA,NA,2,NA,18,5,2011,NA,NA,Fimbristylis dichotoma
166,Firn_2019,Fimbristylis dichotoma,207,leaf_N_per_dry_mass,15.45519456,mg/g,population,mean,measurement,5,field_experiment,adult,45,NA,NA,NA,2,NA,19,5,2011,NA,NA,Fimbristylis dichotoma
168,Firn_2019,Fimbristylis dichotoma,208,leaf_N_per_dry_mass,19.29373808,mg/g,population,mean,measurement,5,field_experiment,adult,46,NA,NA,NA,2,NA,21,6,2011,NA,NA,Fimbristylis dichotoma
170,Firn_2019,Fimbristylis dichotoma,209,leaf_N_per_dry_mass,17.96624811,mg/g,population,mean,measurement,5,field_experiment,adult,47,NA,NA,NA,2,NA,22,6,2011,NA,NA,Fimbristylis dichotoma
172,Firn_2019,Fimbristylis dichotoma,210,leaf_N_per_dry_mass,15.39846609,mg/g,population,mean,measurement,5,field_experiment,adult,48,NA,NA,NA,2,NA,23,6,2011,NA,NA,Fimbristylis dichotoma
174,Firn_2019,Fimbristylis dichotoma,211,leaf_N_per_dry_mass,18.55189785,mg/g,population,mean,measurement,5,field_experiment,adult,49,NA,NA,NA,2,NA,25,7,2011,NA,NA,Fimbristylis dichotoma
176,Firn_2019,Fimbristylis dichotoma,212,leaf_N_per_dry_mass,12.92745795,mg/g,population,mean,measurement,5,field_experiment,adult,50,NA,NA,NA,2,NA,26,7,2011,NA,NA,Fimbristylis dichotoma
178,Firn_2019,Fimbristylis dichotoma,213,leaf_N_per_dry_mass,12.44738902,mg/g,population,mean,measurement,5,field_experiment,adult,51,NA,NA,NA,2,NA,27,7,2011,NA,NA,Fimbristylis dichotoma
180,Firn_2019,Fimbristylis dichotoma,214,leaf_N_per_dry_mass,14.96521158,mg/g,population,mean,measurement,5,field_experiment,adult,55,NA,NA,NA,2,NA,33,9,2011,NA,NA,Fimbristylis dichotoma
182,Firn_2019,Fimbristylis dichotoma,215,leaf_N_per_dry_mass,12.53737664,mg/g,population,mean,measurement,5,field_experiment,adult,56,NA,NA,NA,2,NA,34,9,2011,NA,NA,Fimbristylis dichotoma
184,Firn_2019,Fimbristylis dichotoma,216,leaf_N_per_dry_mass,12.38053083,mg/g,population,mean,measurement,5,field_experiment,adult,57,NA,NA,NA,2,NA,35,9,2011,NA,NA,Fimbristylis dichotoma
186,Firn_2019,Fimbristylis dichotoma,217,leaf_N_per_dry_mass,10.37370561,mg/g,population,mean,measurement,5,field_experiment,adult,58,NA,NA,NA,2,NA,37,10,2011,NA,NA,Fimbristylis dichotoma
188,Firn_2019,Fimbristylis dichotoma,218,leaf_N_per_dry_mass,10.24494584,mg/g,population,mean,measurement,5,field_experiment,adult,59,NA,NA,NA,2,NA,38,10,2011,NA,NA,Fimbristylis dichotoma
190,Firn_2019,Fimbristylis dichotoma,219,leaf_N_per_dry_mass,14.16971611,mg/g,population,mean,measurement,5,field_experiment,adult,60,NA,NA,NA,2,NA,39,10,2011,NA,NA,Fimbristylis dichotoma
204,Jurado_1991,Fimbristylis dichotoma,260,plant_height,0.4,m,species,maximum,0.583333333,NA,field,adult,NA,NA,NA,NA,1,NA,NA,NA,1987/1989,NA,NA,Fimbristylis dichotoma
282,NHNSW_2014_2,Fimbristylis dichotoma,2767,plant_height,0.75,m,species,maximum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2014,NA,NA,Fimbristylis dichotoma
378,WAH_1998,Fimbristylis dichotoma,2319,plant_height,0.6,m,species,maximum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/1998,NA,NA,Fimbristylis dichotoma
281,NHNSW_2014_2,Fimbristylis dichotoma,2767,plant_height,0.1,m,species,minimum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2014,NA,NA,Fimbristylis dichotoma
284,NHNSW_2014_2,Geum urbanum,2903,plant_height,1,m,species,maximum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2014,NA,NA,Geum urbanum
283,NHNSW_2014_2,Geum urbanum,2903,plant_height,0.5,m,species,minimum,measurement,NA,preserved_specimen,adult,NA,NA,NA,NA,NA,NA,NA,NA,unknown/2014,NA,NA,Geum urbanum
