"","unique(all.data.2$Taxon)"
"427","THYMELAEA TINCTORIA"
"428","AGRIMONIA EUPATORIA"
"429","AGROSTIS STOLONIFERA"
"430","ARTEMISIA VULGARIS"
"431","CAMPANULA PATULA"
"432","CREPIS TECTORUM"
"433","DAUCUS CAROTA"
"434","EQUISETUM ARVENSE"
"435","FESTUCA PRATENSIS"
"436","FRAGARIA VESCA"
"437","HELICTOTRICHON PUBESCENS"
"438","LATHYRUS PRATENSIS"
"439","LEONTODON HISPIDUS"
"440","LUZULA MULTIFLORA"
"441","POA ANGUSTIFOLIA"
"442","POTENTILLA ANSERINA"
"443","RUMEX ACETOSA"
"444","SILENE NUTANS"
"445","STELLARIA GRAMINEA"
"446","VERONICA CHAMAEDRYS"
"447","ERIGERON ANNUUS"
"448","GEUM CANADENSE"
"449","HOLOSTEUM UMBELLATUM"
"450","POA COMPRESSA"
"451","SYMPHYOTRICHUM LANCEOLATUM"
"452","SYMPHYOTRICHUM NOVAE-ANGLIAE"
"453","VITIS VULPINA"
"454","ARISTIDA HOLATHERA"
"455","CALANDRINIA BALONENSIS"
"456","ERIACHNE ARISTIDEA"
"457","GOODENIA CYCLOPTERA"
"458","OLDENLANDIA PTEROSPORA"
"459","PTILOTUS POLYSTACHYUS"
"460","TRACHYMENE GLAUCIFOLIA"
"461","TRIODIA BASEDOWII"
"462","YAKIRRA AUSTRALIENSIS"
"463","AGROSTIS VENUSTA"
"464","ASPERULA GUNNII"
"465","ASTEROLASIA TRYMALIOIDES"
"466","BRACHYSCOME DECIPIENS"
"467","CAREX BREVICULMIS"
"468","CAREX HEBES"
"469","CELMISIA COSTINIANA"
"470","CHAEROPHYLLUM ERIOPODUM"
"471","CRASPEDIA AURANTIA"
"472","ERIGERON BELLIDIOIDES"
"473","GREVILLEA AUSTRALIS"
"474","MELICYTUS DENTATUS"
"475","MICROSERIS LANCEOLATA"
"476","PHEBALIUM SQUAMULOSUM"
"477","PIMELEA ALPINA"
"478","PLANTAGO EURYPHYLLA"
"479","POA HIEMATA"
"480","POA HOTHAMENSIS"
"481","RANUNCULUS VICTORIENSIS"
"482","RUMEX ACETOSELLA"
"483","RYTIDOSPERMA NUDIFLORUM"
"484","TRACHYMENE HUMILIS"
"485","TRISETUM SPICATUM"
"486","VIOLA BETONICIFOLIA"
"487","ACMISPON STRIGOSUS"
"488","CRYPTANTHA CIRCUMSCISSA"
"489","DESCURAINIA PINNATA"
"490","ERIOGONUM MACULATUM"
"491","ERIOGONUM PUSILLUM"
"492","ERIOPHYLLUM WALLACEI"
"493","ERODIUM CICUTARIUM"
"494","LUPINUS CONCINNUS"
"495","PLAGIOBOTHRYS ARIZONICUS"
