"","Taxon","X.1","X","site_code","n_treat_years","sum.ctrl.cover","mean.ctrl.cover","sum.drt.cover","mean.drt.cover","sum.cover.response","mean.cover.response","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"309","KOELERIA MICRATHERA",1664,1664,"cedartrait.us",2,4,1,3,1.5,-1,0.5,NA,NA,NA,14.02,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"316","LEERSIA HEXANDRA",1959,1959,"chilcasdrt.ar",2,3.5,0.7,2.5,0.625,-1,-0.075,17.321052,1.5,NA,26,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"335","LOLIUM PERENNE",3280,3280,"jenadrt.de",2,81,27,119,39.6666666666667,38,12.6666666666667,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,"GRASS","PERENNIAL, ANNUAL (SantaCruzLow, SantaCruzMiddle)","GRASS"
"336","LOLIUM PERENNE",496,496,"baddrt.de",2,0.3,0.15,0.8,0.4,0.5,0.25,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,"GRASS","PERENNIAL, ANNUAL (SantaCruzLow, SantaCruzMiddle)","GRASS"
"337","LOLIUM PERENNE",6318,6318,"validate.fr",2,69,13.8,40,10,-29,-3.8,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,"GRASS","PERENNIAL, ANNUAL (SantaCruzLow, SantaCruzMiddle)","GRASS"
"350","MOLINIA CAERULEA",4151,4151,"lygraint.no",2,2,1,1,1,-1,0,19.7245873,0.699125,8.366751778,17.87260174,0.8,0.20066,56.8752851,0.269333333,"GRASS","NULL","GRASS"
"351","MOLINIA CAERULEA",4247,4247,"lygraold.no",2,26,13,22,7.33333333333333,-4,-5.66666666666667,19.7245873,0.699125,8.366751778,17.87260174,0.8,0.20066,56.8752851,0.269333333,"GRASS","NULL","GRASS"
"353","NASSELLA NEESIANA",4591,4591,"naposta.ar",2,60,20,25,8.33333333333333,-35,-11.6666666666667,14.2304221,0.8,NA,16,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"354","NASSELLA TRICHOTOMA",4595,4595,"naposta.ar",2,10,10,16,5.33333333333333,6,-4.66666666666667,NA,0.7,NA,11.297312,NA,NA,NA,0.77666667,"GRASS","PERENNIAL","GRASS"
"355","NASSELLA VIRIDULA",4455,4455,"matador.ca",2,57,19,46,15.3333333333333,-11,-3.66666666666667,12.6088734,0.6096,NA,10.77,0.3556,0.517363388,54.89286067,0.23675,"GRAMINOID","PERENNIAL","GRASS"
"358","OREOCHLOA DISTICHA",5300,5300,"passogavia.it",2,10,5,0.7,0.7,-9.3,-4.3,22,0.115,NA,9.2,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"359","PANICUM ACUMINATUM",5784,5784,"scruzh.us",2,4,4,15,15,11,11,17.50836364,0.238666667,NA,21.67056595,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"360","PANICUM CAPILLARE",3941,3941,"konzadrt.us",2,49,9.8,8,2.66666666666667,-41,-7.13333333333333,17.0314031,0.43545,NA,27.43942379,0.62,0.14,218,0.1917,"GRASS","ANNUAL","GRASS"
"361","PANICUM OLIGOSANTHES",1596,1596,"cedarsav.us",2,17,2.42857142857143,6,2,-11,-0.428571428571428,17.37461517,0.38,NA,22.63325572,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"362","PAPPOSTIPA SPECIOSA",4559,4559,"morient.ar",2,7,3.5,2,2,-5,-1.5,NA,0.6096,NA,4.202740187,0.254,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"363","PASCOPYRUM SMITHII",3774,3774,"kinsella.ca",2,105,21,105,21,0,0,16.774,0.525,11.28,12.75359048,1.703333,0.206075395,21.32212,0.175766667,"GRAMINOID","PERENNIAL","GRASS"
"364","PASCOPYRUM SMITHII",3573,3573,"kernb.ca",2,1,0.5,4,2,3,1.5,16.774,0.525,11.28,12.75359048,1.703333,0.206075395,21.32212,0.175766667,"GRAMINOID","PERENNIAL","GRASS"
"365","PASCOPYRUM SMITHII",3687,3687,"kernnu.ca",2,2,2,7,2.33333333333333,5,0.333333333333333,16.774,0.525,11.28,12.75359048,1.703333,0.206075395,21.32212,0.175766667,"GRAMINOID","PERENNIAL","GRASS"
"366","PASCOPYRUM SMITHII",4460,4460,"matador.ca",2,14,4.66666666666667,17,5.66666666666667,3,1,16.774,0.525,11.28,12.75359048,1.703333,0.206075395,21.32212,0.175766667,"GRAMINOID","PERENNIAL","GRASS"
"367","PASPALUM DILATATUM",1982,1982,"chilcasdrt.ar",2,3.25,0.8125,5.5,1.375,2.25,0.5625,17.4533552,0.4722,8.133333333,16.30478,0.1524,0.102,18.37,0.62,"GRASS","PERENNIAL","GRASS"
"368","PASPALUM VAGINATUM",1988,1988,"chilcasdrt.ar",2,3,1.5,1,1,-2,-0.5,3.6045301,0.03048,15.6,10.41,0.1524,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"391","POA ALPINA",5316,5316,"passogavia.it",2,9.5,1.9,15.3,3.06,5.8,1.16,13,0.298831111,16.9,21.51150438,0.254,NA,292.2,0.26,"GRASS","PERENNIAL","GRASS"
"392","POA ANGUSTIFOLIA",2656,2656,"elvadrt.ee",2,2,1,2,1,0,0,12.95,0.48,5.764,20.11666667,NA,0.316453559,NA,0.113446154,"GRASS","PERENNIAL","GRASS"
"393","POA BULBOSA",5069,5069,"oreac.us",2,8,2.66666666666667,3.5,3.5,-4.5,0.833333333333333,17.70666667,0.3224,10.49,21.09,0.2032,NA,NA,0.01366667,"GRASS","ANNUAL","GRASS"
"394","POA COMPRESSA",2764,2764,"esw.ca",2,12,6,10,5,-2,-1,13.678,0.2491,8.04,20.91883636,0.254,NA,54.78896667,0.53,"GRASS","PERENNIAL","GRASS"
"395","POA HIEMATA",2900,2900,"falls.au",2,240,40,125,41.6666666666667,-115,1.66666666666666,13.7803809,0.6,NA,3.35531,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"396","POA LANIGERA",4386,4386,"marcdrt.ar",2,8,2.66666666666667,1,1,-7,-1.66666666666667,NA,NA,NA,24,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"397","POA LIGULARIS",1852,1852,"chacra.ar",2,68,22.6666666666667,6,3,-62,-19.6666666666667,22.4,1.2,10.4,6.944926731,0.7,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"398","POA PRATENSIS",512,512,"baddrt.de",2,0.2,0.2,1,1,0.8,0.8,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,"GRASS","PERENNIAL","GRASS"
"399","POA PRATENSIS",1348,1348,"brookdale.ca",2,20.5,4.1,19,3.8,-1.5,-0.3,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,"GRASS","PERENNIAL","GRASS"
"400","POA PRATENSIS",1601,1601,"cedarsav.us",2,26,3.71428571428571,10,3.33333333333333,-16,-0.380952380952381,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,"GRASS","PERENNIAL","GRASS"
"401","POA PRATENSIS",5587,5587,"rhijn.nl",2,1,1,1,1,0,0,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,"GRASS","PERENNIAL","GRASS"
"402","POA PRATENSIS",2202,2202,"cowidrt.ca",2,18,3.6,11,3.66666666666667,-7,0.0666666666666664,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,"GRASS","PERENNIAL","GRASS"
"403","POA PRATENSIS",3303,3303,"jenadrt.de",2,71,23.6666666666667,34,11.3333333333333,-37,-12.3333333333333,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,"GRASS","PERENNIAL","GRASS"
"404","POA PRATENSIS",1699,1699,"cedartrait.us",2,5,1,2,1,-3,0,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,"GRASS","PERENNIAL","GRASS"
"405","POA PRATENSIS",6324,6324,"validate.fr",2,62,12.4,109,21.8,47,9.4,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,"GRASS","PERENNIAL","GRASS"
"406","POA PRATENSIS",3779,3779,"kinsella.ca",2,315,63,260,52,-55,-11,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,"GRASS","PERENNIAL","GRASS"
"407","POA SECUNDA",4694,4694,"nplatte.us",2,22,3.66666666666667,14,3.5,-8,-0.166666666666667,16.12,0.42672,14.54,11.51,0.254,NA,197.6,NA,"GRASS","PERENNIAL","GRASS"
"408","POA SECUNDA",5074,5074,"oreac.us",2,21,10.5,17.5,5.83333333333333,-3.5,-4.66666666666667,16.12,0.42672,14.54,11.51,0.254,NA,197.6,NA,"GRASS","PERENNIAL","GRASS"
"409","POA TRIVIALIS",514,514,"baddrt.de",2,3.6,1.2,1.2,0.6,-2.4,-0.6,34.02187304,0.640983219,31.34075583,38.18960088,0.3048,0.080269491,NA,0.173758288,"GRASS","PERENNIAL","GRASS"
"423","PSEUDOROEGNERIA SPICATA",3096,3096,"hard.us",2,12,6,2,2,-10,-4,NA,0.267,NA,23.893,NA,0.153771092,103.8213416,0.237714286,"GRASS","PERENNIAL","GRASS"
"444","RYTIDOSPERMA CAESPITOSUM",2380,2380,"credom.au",2,0.5,0.5,0.5,0.5,0,0,NA,0.55,NA,9.440331,0.66,NA,168.7,0.271,"GRASS","PERENNIAL","GRASS"
"454","SCHISMUS BARBATUS",2944,2944,"gmgranite.us",2,0.8,0.114285714285714,0.2,0.1,-0.6,-0.0142857142857143,NA,0.25,NA,18.21,0.16,NA,81.47,NA,"GRASS","ANNUAL","GRASS"
"455","SCHISMUS BARBATUS",6160,6160,"spvdrt.ar",2,12,4,2,1,-10,-3,NA,0.25,NA,18.21,0.16,NA,81.47,NA,"GRASS","ANNUAL","GRASS"
"456","SCHIZACHYRIUM SCOPARIUM",835,835,"bfl.us",2,12,12,7,7,-5,-5,9.196,0.5145,8.51,16.698695,0.3048,0.403212551,75.67983333,0.2,"GRASS","PERENNIAL","GRASS"
"457","SCHIZACHYRIUM SCOPARIUM",1707,1707,"cedartrait.us",2,53,5.3,12,2.4,-41,-2.9,9.196,0.5145,8.51,16.698695,0.3048,0.403212551,75.67983333,0.2,"GRASS","PERENNIAL","GRASS"
"458","SCHIZACHYRIUM SCOPARIUM",1614,1614,"cedarsav.us",2,105,21,28,14,-77,-7,9.196,0.5145,8.51,16.698695,0.3048,0.403212551,75.67983333,0.2,"GRASS","PERENNIAL","GRASS"
"459","SCHIZACHYRIUM SCOPARIUM",4843,4843,"oklah.us",2,137.5,45.8333333333333,90,30,-47.5,-15.8333333333333,9.196,0.5145,8.51,16.698695,0.3048,0.403212551,75.67983333,0.2,"GRASS","PERENNIAL","GRASS"
"463","SETARIA PAMPEANA",1808,1808,"cerrillos.ar",2,65.63,21.8766666666667,7.5,3.75,-58.13,-18.1266666666667,24.7,0.38,NA,19.52,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"464","SETARIA PARVIFLORA",6378,6378,"yarradrt.au",2,63.27,21.09,2.04,2.04,-61.23,-19.05,17.972,0.316785714,NA,26.31,NA,0.14029,NA,0.045,"NULL","NULL","GRASS"
"465","SETARIA SPHACELATA",6278,6278,"ukulingadrt.za",2,120,30,83,41.5,-37,11.5,10.0375,3,NA,14.16,NA,NA,11.17,0.57,"GRASS","PERENNIAL","GRASS"
"487","SORGHUM HALEPENSE",5691,5691,"sclaudio.ar",2,40,10,36,9,-4,-1,22.2,1.3834,NA,17.98889051,0.254,NA,NA,NA,"GRAMINOID","PERENNIAL","GRASS"
"488","SORGHUM HALEPENSE",1218,1218,"bivensarm.us",2,3.166666667,1.05555555566667,4.083333333,1.361111111,0.916666666,0.305555555333333,22.2,1.3834,NA,17.98889051,0.254,NA,NA,NA,"GRAMINOID","PERENNIAL","GRASS"
"489","SPOROBOLUS COMPOSITUS",3965,3965,"konzadrt.us",2,42,8.4,26,6.5,-16,-1.9,8.2,0.213,NA,28.13,NA,NA,NA,0.49,"GRASS","PERENNIAL","GRASS"
"490","SPOROBOLUS COMPOSITUS",4867,4867,"oklah.us",2,33,11,30.5,10.1666666666667,-2.5,-0.833333333333334,8.2,0.213,NA,28.13,NA,NA,NA,0.49,"GRASS","PERENNIAL","GRASS"
"491","SPOROBOLUS FLEXUOSUS",3477,3477,"jorndrt.us",2,9,4.5,5,1.66666666666667,-4,-2.83333333333333,NA,0.9144,NA,15.81345753,0.254,NA,NA,0.04,"GRASS","PERENNIAL","GRASS"
"492","STEINCHISMA HIANS",6079,6079,"slp.us",2,3,1.5,24,8,21,6.5,NA,NA,NA,25,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"495","STENOTAPHRUM SECUNDATUM",4400,4400,"marcdrt.ar",2,5,1.25,2,1,-3,-0.25,NA,0.27432,NA,23,0.3048,NA,NA,0.1855714,"GRASS","PERENNIAL","GRASS"
"496","STIPA COMATA",918,918,"biddulph.ca",2,18,9,21,10.5,3,1.5,20.1,0.9144,15.9,16.95,0.4064,0.49068467,79.18825345,0.2,"GRAMINOID","PERENNIAL","GRASS"
"497","STIPA COMATA",3790,3790,"kinsella.ca",2,30,15,23,5.75,-7,-9.25,20.1,0.9144,15.9,16.95,0.4064,0.49068467,79.18825345,0.2,"GRAMINOID","PERENNIAL","GRASS"
"498","STIPA SPARTEA",1623,1623,"cedarsav.us",2,59,9.83333333333333,18,4.5,-41,-5.33333333333333,14.01546154,0.576,18,8.74965934,0.254,0.393143677,61.25734351,0.2496,"GRASS","PERENNIAL","GRASS"
"499","STIPA SPECIOSA",5248,5248,"paike.ar",2,65,21.6666666666667,81,27,16,5.33333333333333,12.13,0.169,7.94,15.44,0.352,NA,22.41,0.352,"GRASS","PERENNIAL","GRASS"
"522","THEMEDA TRIANDRA",6286,6286,"ukulingadrt.za",2,100,16.6666666666667,102,17,2,0.333333333333332,13.22821429,1.5,4.35,9.2635,NA,NA,NA,0.2625,"GRASS","PERENNIAL","GRASS"
"543","TRIODIA BASEDOWII",2862,2862,"ethadn.au",2,142,47.3333333333333,216,72,74,24.6666666666667,6.4,1.3,NA,2.93,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"544","TRIODIA BASEDOWII",2840,2840,"ethadb.au",2,107,35.6666666666667,72,36,-35,0.333333333333336,6.4,1.3,NA,2.93,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"545","TRISETUM FLAVESCENS",5616,5616,"rhijn.nl",2,38,6.33333333333333,13,4.33333333333333,-25,-2,27.09907954,0.532263158,8.795034255,22.11711414,0.44,0.166445278,447.4973772,0.175392308,"GRASS","PERENNIAL","GRASS"
"546","TRISETUM FLAVESCENS",6336,6336,"validate.fr",2,23,5.75,27,6.75,4,1,27.09907954,0.532263158,8.795034255,22.11711414,0.44,0.166445278,447.4973772,0.175392308,"GRASS","PERENNIAL","GRASS"
"547","TRISETUM SPICATUM",2912,2912,"falls.au",2,1,0.5,0.5,0.5,-0.5,0,NA,0.32706,NA,21.1,0.3048,NA,NA,0.24,"GRASS","PERENNIAL","GRASS"
"556","VENTENATA DUBIA",4995,4995,"oreaa.us",2,75.5,15.1,72.5,14.5,-3,-0.6,NA,0.225,NA,20.5,NA,NA,NA,0.28,"GRASS","ANNUAL","GRASS"
"557","VENTENATA DUBIA",5085,5085,"oreac.us",2,41,20.5,23,5.75,-18,-14.75,NA,0.225,NA,20.5,NA,NA,NA,0.28,"GRASS","ANNUAL","GRASS"
"575","VULPIA BROMOIDES",6174,6174,"spvdrt.ar",2,2,1,2,1,0,0,NA,0.2225,NA,20.86,0.4995,NA,417.75,0.2945,"GRASS","ANNUAL","GRASS"
"576","VULPIA MYUROS",5829,5829,"scruzh.us",2,80,26.6666666666667,10,5,-70,-21.6666666666667,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,"GRASS","ANNUAL","GRASS"
"577","VULPIA MYUROS",557,557,"baddrt.de",2,182,18.2,77,15.4,-105,-2.8,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,"GRASS","ANNUAL","GRASS"
"578","VULPIA MYUROS",5904,5904,"scruzl.us",2,73,14.6,41,20.5,-32,5.9,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,"GRASS","ANNUAL","GRASS"
