"","Taxon","site_code","mean.after.control","mean.after.drought","after.cover.response","mean.before.control","mean.before.drought","before.cover.response","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"273","PLANTAGO EURYPHYLLA","falls.au",1,1,0,1,0.5,-0.5,0.5,45.18531954,0.03,NA,15.9845175,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"274","PLANTAGO LANCEOLATA","allmendo.ch",0.75,0.75,0,0.416666667,0.25,-0.166666667,0.166666667,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,"FORB","PERENNIAL","FORB"
"275","PLANTAGO LANCEOLATA","allmendb.ch",0.25,1,0.75,0.25,0.375,0.125,0.625,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,"FORB","PERENNIAL","FORB"
"276","PLANTAGO LANCEOLATA","scruzh.us",11.96570875,22.2222222,10.25651345,4.53320762,4.8785782,0.34537058,9.91114287,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,"FORB","PERENNIAL","FORB"
"277","PLANTAGO LANCEOLATA","rhijn.nl",5.833333333,4,-1.833333333,12.5,10,-2.5,0.666666667,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,"FORB","PERENNIAL","FORB"
"278","PLANTAGO PATAGONICA","spvdrt.ar",2,1,-1,1,1,0,-1,16.75319,0.1524,NA,7.068,0.1524,0.406666667,171.778132,0.173233333,"FORB","ANNUAL","FORB"
"279","PLANTAGO PATAGONICA","capwhite.us",1.5,1,-0.5,0.714285714,0.583333333,-0.130952381,-0.369047619,16.75319,0.1524,NA,7.068,0.1524,0.406666667,171.778132,0.173233333,"FORB","ANNUAL","FORB"
"280","PLANTAGO PATAGONICA","capmcd.us",0.75,4,3.25,0.5,0.5,0,3.25,16.75319,0.1524,NA,7.068,0.1524,0.406666667,171.778132,0.173233333,"FORB","ANNUAL","FORB"
"292","POLYGONUM ARENARIUM","kiskun.hu",0.124,0.028,-0.096,1.402,1.2,-0.202,0.106,NA,NA,NA,16.81,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"293","POTENTILLA ANSERINA","elvadrt.ee",1,1,0,1,6,5,-5,26.20897891,0.277222222,NA,17.47534074,0.43,0.63425,148.75,0.6572,"FORB","PERENNIAL","FORB"
"294","POTENTILLA ERECTA","lygraold.no",3,3,0,5,2.333333333,-2.666666667,2.666666667,25.74581524,0.203633333,9.89,22.4188617,0.55,0.3627833,230,0.88602,"FORB","PERENNIAL","FORB"
"295","POTENTILLA ERECTA","lygraint.no",2.666666667,2.333333333,-0.333333333,3,3,0,-0.333333333,25.74581524,0.203633333,9.89,22.4188617,0.55,0.3627833,230,0.88602,"FORB","PERENNIAL","FORB"
"296","POTENTILLA GRANDIFLORA","allmendb.ch",0.916666667,0.666666667,-0.25,0.375,0.75,0.375,-0.625,NA,NA,NA,39.1,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"297","POTENTILLA GRANDIFLORA","allmendo.ch",5.25,3.25,-2,1.75,0.416666667,-1.333333333,-0.666666667,NA,NA,NA,39.1,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"298","POTENTILLA REPTANS","rhijn.nl",8,22.5,14.5,7,3,-4,18.5,24.6133503,0.274083333,NA,23.567332,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"299","PRIMULA GLUTINOSA","passogavia.it",0.98,0.75,-0.23,0.6,0.4,-0.2,-0.03,27,NA,NA,13.58757528,0.2515,NA,NA,NA,"FORB","PERENNIAL","FORB"
"300","PRUNELLA VULGARIS","allmendb.ch",17.83333333,14.08333333,-3.75,13.58333333,9.166666667,-4.416666667,0.666666667,16.811555,0.250255556,5.87871,22.91466839,0.254,0.105496279,223.0600732,0.294300536,"FORB","PERENNIAL","FORB"
"301","PRUNELLA VULGARIS","allmendo.ch",7.916666667,4.166666667,-3.75,5.75,6.25,0.5,-4.25,16.811555,0.250255556,5.87871,22.91466839,0.254,0.105496279,223.0600732,0.294300536,"FORB","PERENNIAL","FORB"
"304","PTERIDIUM AQUILINUM","sand.us",21.33333333,4.5,-16.83333333,23.33333333,14,-9.333333333,-7.5,21.68333333,NA,9.852689835,16.98656271,0.254,0.184848485,53.87484386,0.2511,"FERN","PERENNIAL","FORB"
"305","QUINETIA URVILLEI","jilpanger.au",0.5,0.5,0,0.5,0.5,0,0,NA,0.2,NA,28.711511,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"306","RANUNCULUS ACRIS","elvadrt.ee",2,2,0,4.333333333,1.666666667,-2.666666667,2.666666667,24.40250649,0.455420833,11.25,22.35741937,0.44,0.121892828,139.8527763,0.35099,"FORB","PERENNIAL","FORB"
"307","RANUNCULUS ACRIS","rhijn.nl",3,3,0,2.6,2,-0.6,0.6,24.40250649,0.455420833,11.25,22.35741937,0.44,0.121892828,139.8527763,0.35099,"FORB","PERENNIAL","FORB"
"308","RANUNCULUS REPENS","teshio.jp",7,5,-2,5,2,-3,1,23.05293867,0.369253333,9.982096286,29.1838443,0.1524,0.133080484,217.6519817,0.412452083,"FORB","PERENNIAL","FORB"
"309","RAPHANUS SATIVUS","scruzm.us",7.44020726,20.57703828,13.13683102,1.17663345,4.9528809,3.77624745,9.36058357,40.5,0.715,14.825,34.60857143,1.566667,NA,NA,NA,"FORB","ANNUAL","FORB"
"310","RAPHANUS SATIVUS","scruzl.us",34.96364396,61.0981501,26.13450614,3.5,5.6,2.1,24.03450614,40.5,0.715,14.825,34.60857143,1.566667,NA,NA,NA,"FORB","ANNUAL","FORB"
"311","RHINANTHUS MINOR","allmendb.ch",0.416666667,2,1.583333333,6.666666667,5.083333333,-1.583333333,3.166666667,34.3558401,0.395833333,NA,18.84206584,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"312","RHINANTHUS MINOR","allmendo.ch",1.083333333,0.833333333,-0.25,2.333333333,3.416666667,1.083333333,-1.333333333,34.3558401,0.395833333,NA,18.84206584,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"313","ROMULEA ROSEA","jilpanger.au",0.5,0.5,0,0.5,0.5,0,0,NA,0.4,NA,10.313611,NA,NA,NA,NA,"GRASS","PERENNIAL","FORB"
"314","RUMEX ACETOSA","elvadrt.ee",1,1,0,1,1,0,0,40.4730773,0.63555,9.226533422,25.84234182,0.3155,0.252258472,161.1286432,0.240291458,"FORB","PERENNIAL","FORB"
"315","RUMEX ACETOSELLA","falls.au",0.833333333,0.75,-0.083333333,0.583333333,0.75,0.166666667,-0.25,34.93757406,0.235714286,18.76112,26.0517312,0.342666667,0.166783945,NA,0.262467915,"FORB","PERENNIAL","FORB"
"318","SALVIA PRATENSIS","allmendb.ch",1.125,3.25,2.125,1.5,2.375,0.875,1.25,19.3,0.520833333,NA,24.4875,2.1,0.2015038,272.308,NA,"FORB","PERENNIAL","FORB"
"319","SALVIA VERBENACA","credom.au",1.4,0.8,-0.6,0.7,1.6,0.9,-1.5,NA,0.508333333,NA,11.94,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"320","SALVIA VERBENACA","credoj.au",0.6,0.5,-0.1,2.2,0.8,-1.4,1.3,NA,0.508333333,NA,11.94,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"321","SANGUISORBA MINOR","allmendb.ch",2.666666667,2.5,-0.166666667,4.5,6.083333333,1.583333333,-1.75,19.82857143,0.340136667,13.0925861,17.81475981,0.3048,0.290931094,118.7237432,0.4611271,"FORB","PERENNIAL","FORB"
"322","SCABIOSA COLUMBARIA","allmendb.ch",2.583333333,1,-1.583333333,1.333333333,1.5,0.166666667,-1.75,21.2,0.594444444,NA,19.16302632,0.9,0.347953216,120.2294669,0.181166667,"FORB","PERENNIAL","FORB"
"323","SCABIOSA COLUMBARIA","allmendo.ch",0.25,1.625,1.375,0.416666667,1,0.583333333,0.791666667,21.2,0.594444444,NA,19.16302632,0.9,0.347953216,120.2294669,0.181166667,"FORB","PERENNIAL","FORB"
"330","SCLEROLAENA DIACANTHA","brokenh.au",1,1,0,1,1,0,0,17.13159156,0.354166667,NA,4.445479003,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"331","SCLEROLAENA DIACANTHA","cobar.au",1,1,0,3.333333333,5,1.666666667,-1.666666667,17.13159156,0.354166667,NA,4.445479003,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"332","SCLEROLAENA DIACANTHA","quilpie.au",3,3,0,3,6,3,-3,17.13159156,0.354166667,NA,4.445479003,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"334","SENECIO MADAGASCARIENSIS","yarradrt.au",2,15,13,0.5,0.3,-0.2,13.2,37.065,0.6,NA,23.57,NA,NA,NA,NA,"NULL","ANNUAL","FORB"
"338","SOLANUM ELAEAGNIFOLIUM","sevmixed.us",0.5,0.5,0,1.375,0.5,-0.875,0.875,NA,1,NA,11.75,1.77,NA,15.678,0.324,"FORB","ANNUAL","FORB"
"339","SOLANUM ELLIPTICUM","brokenh.au",1,1,0,2,2,0,0,37.0175882,0.333333333,NA,5.402244049,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"340","SOLDANELLA PUSILLA","passogavia.it",10.08,13.6,3.52,16.7,20.6,3.9,-0.38,NA,0.02,NA,16.8,0.11,NA,NA,NA,"FORB","PERENNIAL","FORB"
"341","SOLIDAGO CANADENSIS","purdue.us",78.75,72.5,-6.25,28.125,37.75,9.625,-15.875,15.13338959,1.30146,NA,17.75668436,0.3048,NA,77.59504262,0.486273328,"FORB","PERENNIAL","FORB"
"342","SOLIDAGO CANADENSIS","esw.ca",50,27,-23,68.33333333,60,-8.333333333,-14.66666667,15.13338959,1.30146,NA,17.75668436,0.3048,NA,77.59504262,0.486273328,"FORB","PERENNIAL","FORB"
"343","SOLIDAGO CANADENSIS","brookdale.ca",2.4,2.9,0.5,27,30,3,-2.5,15.13338959,1.30146,NA,17.75668436,0.3048,NA,77.59504262,0.486273328,"FORB","PERENNIAL","FORB"
"344","SOLIDAGO NEMORALIS","cedartrait.us",10,7,-3,10.14285714,12,1.857142857,-4.857142857,15.47778333,0.57,23.31317375,13.95394921,0.3048,0.129791058,208.2087011,0.369872222,"FORB","PERENNIAL","FORB"
"345","SOLIDAGO RIGIDA","brookdale.ca",2.5,1.5,-1,5,5,0,-1,11.83477126,0.598,8.386758333,10.23214847,0.3048,0.212780118,35.33592984,0.482373411,"FORB","PERENNIAL","FORB"
"346","SOLIDAGO RIGIDA","cedartrait.us",20,9,-11,12.33333333,9,-3.333333333,-7.666666667,11.83477126,0.598,8.386758333,10.23214847,0.3048,0.212780118,35.33592984,0.482373411,"FORB","PERENNIAL","FORB"
"347","SONCHUS ARVENSIS","kernnu.ca",14,7.166666667,-6.833333333,1.166666667,2,0.833333333,-7.666666667,26.4,1.1875,NA,21,0.56,0.22,40.22,NA,"FORB","PERENNIAL","FORB"
"348","SONCHUS ARVENSIS","esw.ca",3,2,-1,5,4,-1,0,26.4,1.1875,NA,21,0.56,0.22,40.22,NA,"FORB","PERENNIAL","FORB"
"349","SONCHUS ARVENSIS","kernb.ca",1,1.25,0.25,1.5,0.833333333,-0.666666667,0.916666667,26.4,1.1875,NA,21,0.56,0.22,40.22,NA,"FORB","PERENNIAL","FORB"
"350","SONCHUS ASPER","baddrt.de",0.35,1,0.65,2,2.125,0.125,0.525,28.56,0.5875,NA,24.97389591,0.69,0.301036269,223.2180487,0.1419,"FORB","ANNUAL","FORB"
"355","SPHAERALCEA COCCINEA","cdpt_drt.us",1,1.9,0.9,0.666666667,0.9,0.233333333,0.666666667,28.09,0.4572,NA,12.61454363,0.1524,0.312666667,65.5839699,0.3163,"FORB","PERENNIAL","FORB"
"357","STELLARIA GRAMINEA","elvadrt.ee",1,1,0,1.5,2,0.5,-0.5,29.426,0.460386667,NA,29.05086069,0.34,0.337078652,251.0337458,0.135266667,"FORB","PERENNIAL","FORB"
"358","STELLARIA GRAMINEA","teshio.jp",3.666666667,4.75,1.083333333,1.75,2,0.25,0.833333333,29.426,0.460386667,NA,29.05086069,0.34,0.337078652,251.0337458,0.135266667,"FORB","PERENNIAL","FORB"
"364","SYMPHYOTRICHUM ERICOIDES","kernb.ca",5,2,-3,2,0.5,-1.5,-1.5,12.6,0.5257,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,"FORB","PERENNIAL","FORB"
"365","SYMPHYOTRICHUM ERICOIDES","konzadrt.us",36.6,35,-1.6,43,29.6,-13.4,11.8,12.6,0.5257,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,"FORB","PERENNIAL","FORB"
"366","SYMPHYOTRICHUM ERICOIDES","matador.ca",1,1,0,1,1,0,0,12.6,0.5257,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,"FORB","PERENNIAL","FORB"
"367","SYMPHYOTRICHUM LANCEOLATUM","esw.ca",3,1,-2,12.5,8,-4.5,2.5,25.1,1.8288,NA,12.754,0.2032,NA,NA,NA,"FORB","PERENNIAL","FORB"
"368","SYMPHYOTRICHUM NOVAE-ANGLIAE","esw.ca",1,1,0,7.5,1,-6.5,6.5,23.5,1.022302632,NA,23.88988777,NA,0.12,52,0.46,"FORB","PERENNIAL","FORB"
"369","SYMPHYOTRICHUM NOVAE-ANGLIAE","purdue.us",16.71428571,16.66666667,-0.047619048,14.85714286,10.75,-4.107142857,4.05952381,23.5,1.022302632,NA,23.88988777,NA,0.12,52,0.46,"FORB","PERENNIAL","FORB"
"370","SYMPHYOTRICHUM PILOSUM","purdue.us",7.2,7.5,0.3,9.2,7.25,-1.95,2.25,17.8,0.861666667,NA,18.27837298,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"371","SYRENIA CANA","kiskun.hu",0.1,0.15,0.05,0.17,0.25,0.08,-0.03,NA,NA,NA,12.73,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"372","THALICTRUM VENULOSUM","brookdale.ca",1,1.75,0.75,5,6.666666667,1.666666667,-0.916666667,NA,NA,NA,19.84,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"374","TRAGOPOGON DUBIUS","mattheis.ca",3.8,1,-2.8,1,1,0,-2.8,26.314,0.34175,11.37,18.88481429,0.1524,0.27502617,48.55913333,0.359875,"FORB","BIENNIAL","FORB"
"377","TRIENTALIS EUROPEA","lygraold.no",1,1,0,1,1,0,0,NA,NA,NA,51,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"388","VALERIANELLA LOCUSTA","cowidrt.ca",1.8,2.5,0.7,1.8,2,0.2,0.5,26,0.1925,NA,31.7,0.05,0.56326,204,1.242171,"FORB","ANNUAL","FORB"
"390","VERONICA ARVENSIS","cowidrt.ca",1,1,0,1.333333333,1.333333333,0,0,15,0.187777778,NA,21.00097059,0.19,0.7139167,224.167,0.98561,"FORB","ANNUAL","FORB"
"391","VERONICA CHAMAEDRYS","rhijn.nl",2,4,2,3.666666667,10.66666667,7,-5,25.804,0.234,10.00287923,28.10742313,0.34,0.114461321,349.9700698,0.149373333,"FORB","PERENNIAL","FORB"
"392","VERONICA CHAMAEDRYS","elvadrt.ee",1,1.5,0.5,1,1,0,0.5,25.804,0.234,10.00287923,28.10742313,0.34,0.114461321,349.9700698,0.149373333,"FORB","PERENNIAL","FORB"
"400","VIOLA BETONICIFOLIA","falls.au",0.5,0.5,0,0.5,0.5,0,0,NA,0.2,NA,17.081108,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"406","WAHLENBERGIA STRICTA","jilpanger.au",0.5,0.5,0,0.5,0.5,0,0,NA,0.9,NA,29.447,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"407","ZIZIA APTERA","brookdale.ca",2,1,-1,5,5,0,-1,16.074,NA,NA,40.37573969,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
