"","Taxon","X","site_code","n_treat_years","sum.ctrl.cover","mean.ctrl.cover","sum.drt.cover","mean.drt.cover","sum.cover.response","mean.cover.response","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"416","LYSIMACHIA EUROPAEA",4147,"lygraint.no",1,4,2,2,1,-2,-1,32.8,0.09,NA,51,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"417","MACHAERANTHERA PINNATIFIDA",5999,"sevmixed.us",1,1.5,0.5,1,0.5,-0.5,0,NA,NA,NA,14.18259087,1.335,NA,9.58714,0.248,"FORB","PERENNIAL","FORB"
"418","MACHAERANTHERA PINNATIFIDA",1526,"cdpt_drt.us",1,0.6,0.3,0.1,0.1,-0.5,-0.2,NA,NA,NA,14.18259087,1.335,NA,9.58714,0.248,"FORB","PERENNIAL","FORB"
"427","MICROSERIS SCAPIGERA",3422,"jilpanger.au",1,1,0.5,0.5,0.5,-0.5,0,NA,0.36,NA,35.23,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"432","MONARDA FISTULOSA",1679,"cedartrait.us",1,2,2,8,8,6,6,11.29051118,0.662,17.87547,26.21085308,0.1016,0.165191358,93.37285277,0.28925,"FORB","PERENNIAL","FORB"
"439","NEOTTIA OVATA",5369,"pineta.es",1,3,3,7,1.75,4,-1.25,NA,0.32,NA,30.18571429,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"441","NOTICASTRUM SERICEUM",6130,"spvdrt.ar",1,1,1,8,4,7,3,30.175,NA,NA,36.99,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"443","OXALIS DILLENII",6058,"slp.us",1,1,1,5,2.5,4,1.5,NA,0.188478161,NA,41.82566697,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"449","PARTHENIUM INTEGRIFOLIUM",5647,"sand.us",1,4,4,5,5,1,1,15.3,0.7746,NA,10.84,1.8,NA,NA,NA,"FORB","PERENNIAL","FORB"
"454","PELARGONIUM RODNEYANUM",3430,"jilpanger.au",1,1,0.5,1,1,0,0.5,NA,0.4,NA,16.370301,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"455","PERSICARIA VIVIPARA",5303,"passogavia.it",1,2.1,1.05,0.1,0.1,-2,-0.95,21.5,0.283,NA,22,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"459","PHLOX HOODII",4978,"oreaa.us",1,7,3.5,6.5,1.625,-0.5,-1.875,23.27,0.02825,NA,13.95070877,0.54,0.180454545,107.0545926,0.2647,"FORB","PERENNIAL","FORB"
"461","PHYTEUMA HEMISPHAERICUM",5311,"passogavia.it",1,12,2.4,11.5,2.3,-0.5,-0.1,27,0.1,NA,19.5,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"463","PICRIS HIERACIOIDES",503,"baddrt.de",1,630,63,240,48,-390,-15,24.11,0.157,12.13,18.58,1.23,0.0725,193.765,0.45557832,"FORB","PERENNIAL","FORB"
"464","PICRIS HIERACIOIDES",3296,"jenadrt.de",1,9,4.5,6.5,2.166666667,-2.5,-2.333333333,24.11,0.157,12.13,18.58,1.23,0.0725,193.765,0.45557832,"FORB","PERENNIAL","FORB"
"465","PILOSELLA PILOSELLOIDES",666,"bayrdrt.de",1,3,1.5,50.1,25.05,47.1,23.55,NA,0.455,NA,27.17333333,NA,0.187679414,13.38170314,NA,"FORB","PERENNIAL","FORB"
"468","PIMPINELLA SAXIFRAGA",249,"allmendo.ch",1,7,2.333333333,6.5,2.166666667,-0.5,-0.166666667,21.22166667,0.445,3.322678571,21.46439541,2.42685,0.315348446,149.6596103,0.228622222,"FORB","PERENNIAL","FORB"
"469","PIMPINELLA SAXIFRAGA",104,"allmendb.ch",1,7.5,2.5,7.25,2.416666667,-0.25,-0.083333333,21.22166667,0.445,3.322678571,21.46439541,2.42685,0.315348446,149.6596103,0.228622222,"FORB","PERENNIAL","FORB"
"470","PIMPINELLA SAXIFRAGA",5373,"pineta.es",1,3.5,1.75,1.5,0.5,-2,-1.25,21.22166667,0.445,3.322678571,21.46439541,2.42685,0.315348446,149.6596103,0.228622222,"FORB","PERENNIAL","FORB"
"472","PLANTAGO EURYPHYLLA",2897,"falls.au",1,2,1,1,1,-1,0,45.18531954,0.03,NA,15.9845175,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"473","PLANTAGO LANCEOLATA",108,"allmendb.ch",1,0.25,0.25,2,1,1.75,0.75,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,"FORB","PERENNIAL","FORB"
"474","PLANTAGO LANCEOLATA",5582,"rhijn.nl",1,35,5.833333333,12,4,-23,-1.833333333,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,"FORB","PERENNIAL","FORB"
"475","PLANTAGO LANCEOLATA",507,"baddrt.de",1,0.05,0.05,0.3,0.3,0.25,0.25,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,"FORB","PERENNIAL","FORB"
"476","PLANTAGO LANCEOLATA",5790,"scruzh.us",1,23.9314175,11.96570875,22.2222222,22.2222222,-1.7091953,10.25651345,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,"FORB","PERENNIAL","FORB"
"477","PLANTAGO LANCEOLATA",253,"allmendo.ch",1,1.5,0.75,0.75,0.75,-0.75,0,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,"FORB","PERENNIAL","FORB"
"507","POLYGALA VULGARIS",257,"allmendo.ch",1,0.75,0.375,0.5,0.5,-0.25,0.125,NA,0.172916667,NA,19.02952398,0.5,0.2661556,396.667,0.7826128,"FORB","PERENNIAL","FORB"
"508","POLYGALA VULGARIS",112,"allmendb.ch",1,6,2,4.25,1.416666667,-1.75,-0.583333333,NA,0.172916667,NA,19.02952398,0.5,0.2661556,396.667,0.7826128,"FORB","PERENNIAL","FORB"
"510","POTENTILLA ANSERINA",2661,"elvadrt.ee",1,2,1,3,1,1,0,26.20897891,0.277222222,NA,17.47534074,0.43,0.63425,148.75,0.6572,"FORB","PERENNIAL","FORB"
"511","POTENTILLA ERECTA",4165,"lygraint.no",1,8,2.666666667,7,2.333333333,-1,-0.333333333,25.74581524,0.203633333,9.89,22.4188617,0.55,0.3627833,230,0.88602,"FORB","PERENNIAL","FORB"
"512","POTENTILLA ERECTA",5376,"pineta.es",1,3,3,3,3,0,0,25.74581524,0.203633333,9.89,22.4188617,0.55,0.3627833,230,0.88602,"FORB","PERENNIAL","FORB"
"513","POTENTILLA ERECTA",4261,"lygraold.no",1,3,3,3,3,0,0,25.74581524,0.203633333,9.89,22.4188617,0.55,0.3627833,230,0.88602,"FORB","PERENNIAL","FORB"
"514","POTENTILLA GRANDIFLORA",116,"allmendb.ch",1,2.75,0.916666667,2,0.666666667,-0.75,-0.25,NA,NA,NA,39.1,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"515","POTENTILLA GRANDIFLORA",259,"allmendo.ch",1,15.75,5.25,9.75,3.25,-6,-2,NA,NA,NA,39.1,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"516","POTENTILLA REPTANS",5591,"rhijn.nl",1,32,8,45,22.5,13,14.5,24.6133503,0.274083333,NA,23.567332,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"517","PRIMULA GLUTINOSA",5323,"passogavia.it",1,4.9,0.98,1.5,0.75,-3.4,-0.23,27,NA,NA,13.58757528,0.2515,NA,NA,NA,"FORB","PERENNIAL","FORB"
"518","PRUNELLA VULGARIS",5596,"rhijn.nl",1,3,1.5,4,2,1,0.5,16.811555,0.250255556,5.87871,22.91466839,0.254,0.105496279,223.0600732,0.294300536,"FORB","PERENNIAL","FORB"
"519","PRUNELLA VULGARIS",263,"allmendo.ch",1,23.75,7.916666667,12.5,4.166666667,-11.25,-3.75,16.811555,0.250255556,5.87871,22.91466839,0.254,0.105496279,223.0600732,0.294300536,"FORB","PERENNIAL","FORB"
"520","PRUNELLA VULGARIS",120,"allmendb.ch",1,53.5,17.83333333,42.25,14.08333333,-11.25,-3.75,16.811555,0.250255556,5.87871,22.91466839,0.254,0.105496279,223.0600732,0.294300536,"FORB","PERENNIAL","FORB"
"524","PTERIDIUM AQUILINUM",5652,"sand.us",1,64,21.33333333,9,4.5,-55,-16.83333333,21.68333333,1.99667,9.852689835,16.98656271,0.254,0.184848485,53.87484386,0.2511,"FERN","PERENNIAL","FORB"
"530","RANUNCULUS ACRIS",2667,"elvadrt.ee",1,6,2,6,2,0,0,24.40250649,0.455420833,11.25,22.35741937,0.44,0.121892828,139.8527763,0.35099,"FORB","PERENNIAL","FORB"
"531","RANUNCULUS ACRIS",5599,"rhijn.nl",1,15,3,6,3,-9,0,24.40250649,0.455420833,11.25,22.35741937,0.44,0.121892828,139.8527763,0.35099,"FORB","PERENNIAL","FORB"
"532","RANUNCULUS ACRIS",687,"bayrdrt.de",1,15.2,3.8,9,3,-6.2,-0.8,24.40250649,0.455420833,11.25,22.35741937,0.44,0.121892828,139.8527763,0.35099,"FORB","PERENNIAL","FORB"
"533","RANUNCULUS REPENS",6203,"teshio.jp",1,7,7,5,5,-2,-2,23.05293867,0.369253333,9.982096286,29.1838443,0.1524,0.133080484,217.6519817,0.412452083,"FORB","PERENNIAL","FORB"
"536","RATIBIDA COLUMNIFERA",4828,"oklah.us",1,3.5,1.75,0.5,0.5,-3,-1.25,NA,0.94488,NA,22.85,0.3556,NA,56,0.66,"FORB","PERENNIAL","FORB"
"541","ROMULEA ROSEA",3438,"jilpanger.au",1,0.5,0.5,1,0.5,0.5,0,NA,0.4,NA,10.313611,NA,NA,NA,NA,"GRASS","PERENNIAL","FORB"
"551","RUELLIA HUMILIS",3950,"konzadrt.us",1,1,1,4,2,3,1,17,0.502906667,NA,12.07550636,0.1016,0.40803047,18.40109592,0.42,"FORB","PERENNIAL","FORB"
"558","SALVIA PRATENSIS",130,"allmendb.ch",1,2.25,1.125,6.5,3.25,4.25,2.125,19.3,0.520833333,NA,24.4875,2.1,0.2015038,272.308,2.015308,"FORB","PERENNIAL","FORB"
"559","SALVIA PRATENSIS",271,"allmendo.ch",1,0.5,0.5,7.75,3.875,7.25,3.375,19.3,0.520833333,NA,24.4875,2.1,0.2015038,272.308,2.015308,"FORB","PERENNIAL","FORB"
"562","SANGUISORBA MINOR",134,"allmendb.ch",1,8,2.666666667,7.5,2.5,-0.5,-0.166666667,19.82857143,0.340136667,13.0925861,17.81475981,0.3048,0.290931094,118.7237432,0.4611271,"FORB","PERENNIAL","FORB"
"563","SCABIOSA COLUMBARIA",279,"allmendo.ch",1,0.5,0.25,3.25,1.625,2.75,1.375,21.2,0.594444444,NA,19.16302632,0.9,0.347953216,120.2294669,0.181166667,"FORB","PERENNIAL","FORB"
"564","SCABIOSA COLUMBARIA",138,"allmendb.ch",1,7.75,2.583333333,3,1,-4.75,-1.583333333,21.2,0.594444444,NA,19.16302632,0.9,0.347953216,120.2294669,0.181166667,"FORB","PERENNIAL","FORB"
"573","SCLEROLAENA DIACANTHA",5500,"quilpie.au",1,6,3,3,3,-3,0,17.13159156,0.354166667,NA,4.445479003,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"574","SCLEROLAENA DIACANTHA",2088,"cobar.au",1,3,1,2,1,-1,0,17.13159156,0.354166667,NA,4.445479003,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"575","SCLEROLAENA DIACANTHA",4545,"milparinka.au",1,6,3,4,2,-2,-1,17.13159156,0.354166667,NA,4.445479003,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"576","SCLEROLAENA DIACANTHA",1265,"brokenh.au",1,3,1,2,1,-1,0,17.13159156,0.354166667,NA,4.445479003,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"577","SCLEROLAENA ERIACANTHA",5503,"quilpie.au",1,12,4,10,3.333333333,-2,-0.666666667,NA,0.2,NA,7.535749722,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"578","SCORZONEROIDES AUTUMNALIS",700,"bayrdrt.de",1,1,1,0.1,0.1,-0.9,-0.9,19.34660756,0.310966667,NA,21.52466367,0.199327,0.3144167,268.333,1.400488,"FORB","PERENNIAL","FORB"
"580","SEDUM STENOPETALUM",4984,"oreaa.us",1,10.5,3.5,11.5,2.875,1,-0.625,NA,0.1118,NA,9.29,0.1,NA,NA,0.58,"FORB","PERENNIAL","FORB"
"585","SIDA PETROPHILA",1267,"brokenh.au",1,5,1.25,3,1,-2,-0.25,NA,2,NA,6.55728,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"586","SISYRINCHIUM BELLUM",5806,"scruzh.us",1,1.2195122,1.2195122,3.6680092,1.8340046,2.448497,0.6144924,22.35,0.2558,NA,23.93793933,NA,0.101107003,118.754489,0.32952,"FORB","PERENNIAL","FORB"
"588","SOLANUM ELLIPTICUM",1268,"brokenh.au",1,2,1,1,1,-1,0,37.0175882,0.333333333,NA,5.402244049,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"589","SOLDANELLA PUSILLA",5335,"passogavia.it",1,50.4,10.08,68,13.6,17.6,3.52,NA,0.02,NA,16.8,0.11,NA,NA,NA,"FORB","PERENNIAL","FORB"
"590","SOLIDAGO CANADENSIS",2768,"esw.ca",1,150,50,81,27,-69,-23,15.13338959,1.30146,NA,17.75668436,0.3048,NA,77.59504262,0.486273328,"FORB","PERENNIAL","FORB"
"591","SOLIDAGO CANADENSIS",1356,"brookdale.ca",1,12,2.4,14.5,2.9,2.5,0.5,15.13338959,1.30146,NA,17.75668436,0.3048,NA,77.59504262,0.486273328,"FORB","PERENNIAL","FORB"
"592","SOLIDAGO CANADENSIS",525,"baddrt.de",1,0.2,0.2,0.3,0.15,0.1,-0.05,15.13338959,1.30146,NA,17.75668436,0.3048,NA,77.59504262,0.486273328,"FORB","PERENNIAL","FORB"
"593","SOLIDAGO CANADENSIS",5404,"purdue.us",1,630,78.75,290,72.5,-340,-6.25,15.13338959,1.30146,NA,17.75668436,0.3048,NA,77.59504262,0.486273328,"FORB","PERENNIAL","FORB"
"594","SOLIDAGO MISSOURIENSIS",3784,"kinsella.ca",1,10,10,10,5,0,-5,13.3335,0.576,10.93,10.60804205,0.2032,0.208174196,100.2127031,0.323716667,"FORB","PERENNIAL","FORB"
"595","SOLIDAGO MISSOURIENSIS",3591,"kernb.ca",1,1.5,0.75,1,1,-0.5,0.25,13.3335,0.576,10.93,10.60804205,0.2032,0.208174196,100.2127031,0.323716667,"FORB","PERENNIAL","FORB"
"596","SOLIDAGO NEMORALIS",1710,"cedartrait.us",1,60,10,21,7,-39,-3,15.47778333,0.57,23.31317375,13.95394921,0.3048,0.129791058,208.2087011,0.369872222,"FORB","PERENNIAL","FORB"
"597","SOLIDAGO RIGIDA",1360,"brookdale.ca",1,5,2.5,1.5,1.5,-3.5,-1,11.83477126,0.598,8.386758333,10.23214847,0.3048,0.212780118,35.33592984,0.482373411,"FORB","PERENNIAL","FORB"
"598","SOLIDAGO RIGIDA",1714,"cedartrait.us",1,40,20,18,9,-22,-11,11.83477126,0.598,8.386758333,10.23214847,0.3048,0.212780118,35.33592984,0.482373411,"FORB","PERENNIAL","FORB"
"599","SONCHUS ARVENSIS",1363,"brookdale.ca",1,7.75,1.55,9.75,1.95,2,0.4,26.4,1.1875,NA,21,0.56,0.219369,40.215,NA,"FORB","PERENNIAL","FORB"
"600","SONCHUS ARVENSIS",3596,"kernb.ca",1,3,1,2.5,1.25,-0.5,0.25,26.4,1.1875,NA,21,0.56,0.219369,40.215,NA,"FORB","PERENNIAL","FORB"
"601","SONCHUS ARVENSIS",3702,"kernnu.ca",1,28,14,21.5,7.166666667,-6.5,-6.833333333,26.4,1.1875,NA,21,0.56,0.219369,40.215,NA,"FORB","PERENNIAL","FORB"
"602","SONCHUS ARVENSIS",2773,"esw.ca",1,6,3,2,2,-4,-1,26.4,1.1875,NA,21,0.56,0.219369,40.215,NA,"FORB","PERENNIAL","FORB"
"607","SPHAERALCEA COCCINEA",1532,"cdpt_drt.us",1,2,1,7.6,1.9,5.6,0.9,28.09,0.4572,NA,12.61454363,0.1524,0.312666667,65.5839699,0.3163,"FORB","PERENNIAL","FORB"
"608","SPHAERALCEA HASTULATA",329,"antelope.us",1,0.05,0.05,2,2,1.95,1.95,NA,NA,NA,14.04606421,2.5,NA,10.52042,0.492,"FORB","PERENNIAL","FORB"
"614","STELLARIA GRAMINEA",6205,"teshio.jp",1,11,3.666666667,19,4.75,8,1.083333333,29.426,0.460386667,NA,29.05086069,0.34,0.337078652,251.0337458,0.135266667,"FORB","PERENNIAL","FORB"
"615","STELLARIA GRAMINEA",2687,"elvadrt.ee",1,2,1,3,1,1,0,29.426,0.460386667,NA,29.05086069,0.34,0.337078652,251.0337458,0.135266667,"FORB","PERENNIAL","FORB"
"616","STENARIA NIGRICANS",836,"bfl.us",1,4,4,2,1,-2,-3,NA,0.2,NA,15.01261282,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"626","SYMPHYOTRICHUM ERICOIDES",3969,"konzadrt.us",1,183,36.6,175,35,-8,-1.6,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,"FORB","PERENNIAL","FORB"
"627","SYMPHYOTRICHUM ERICOIDES",4873,"oklah.us",1,30.5,10.16666667,33,11,2.5,0.833333333,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,"FORB","PERENNIAL","FORB"
"628","SYMPHYOTRICHUM ERICOIDES",3105,"hard.us",1,2,2,28,9.333333333,26,7.333333333,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,"FORB","PERENNIAL","FORB"
"629","SYMPHYOTRICHUM ERICOIDES",3605,"kernb.ca",1,5,5,4,2,-1,-3,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,"FORB","PERENNIAL","FORB"
"630","SYMPHYOTRICHUM ERICOIDES",4469,"matador.ca",1,1,1,2,1,1,0,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,"FORB","PERENNIAL","FORB"
"631","SYMPHYOTRICHUM ERICOIDES",1375,"brookdale.ca",1,4,4,5,1.25,1,-2.75,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,"FORB","PERENNIAL","FORB"
"632","SYMPHYOTRICHUM FALCATUM",3797,"kinsella.ca",1,13,4.333333333,40,13.33333333,27,9,22.282,0.4175,8.69,14.18715,NA,0.117472,79.08403333,0.31118,"FORB","PERENNIAL","FORB"
"633","SYMPHYOTRICHUM LANCEOLATUM",2782,"esw.ca",1,6,3,1,1,-5,-2,25.1,1.8288,NA,12.754,0.2032,0.15,68,0.36,"FORB","PERENNIAL","FORB"
"634","SYMPHYOTRICHUM NOVAE-ANGLIAE",5408,"purdue.us",1,117,16.71428571,50,16.66666667,-67,-0.047619048,12.17017,1.022302632,NA,23.88988777,NA,0.12,52,0.46,"FORB","PERENNIAL","FORB"
"635","SYMPHYOTRICHUM NOVAE-ANGLIAE",2787,"esw.ca",1,1,1,1,1,0,0,12.17017,1.022302632,NA,23.88988777,NA,0.12,52,0.46,"FORB","PERENNIAL","FORB"
"636","SYMPHYOTRICHUM PILOSUM",5410,"purdue.us",1,36,7.2,15,7.5,-21,0.3,17.8,0.861666667,NA,18.27837298,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"637","SYRENIA CANA",3852,"kiskun.hu",1,0.2,0.1,0.3,0.15,0.1,0.05,NA,NA,NA,12.73,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"638","TARAXACUM CAMPYLODES",3325,"jenadrt.de",1,62,20.66666667,34,11.33333333,-28,-9.333333333,28.3472693,0.044,10.73618,30.05916441,0.1524,0.2871857,213.1,0.292,"FORB","PERENNIAL","FORB"
"639","TARAXACUM CAMPYLODES",6329,"validate.fr",1,9.8,1.96,3.7,0.925,-6.1,-1.035,28.3472693,0.044,10.73618,30.05916441,0.1524,0.2871857,213.1,0.292,"FORB","PERENNIAL","FORB"
"643","THALICTRUM VENULOSUM",1383,"brookdale.ca",1,1,1,5.25,1.75,4.25,0.75,NA,0.1059,NA,19.84,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"651","THYSANOTUS TUBEROSUS",3449,"jilpanger.au",1,1.5,0.5,1.5,0.5,0,0,NA,0.7,NA,4.460784,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"657","TRIENTALIS EUROPEA",4280,"lygraold.no",1,1,1,1,1,0,0,NA,NA,NA,47.591,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"685","VERONICA CHAMAEDRYS",2705,"elvadrt.ee",1,3,1,3,1.5,0,0.5,25.804,0.234,10.00287923,28.10742313,0.34,0.114461321,349.9700698,0.149373333,"FORB","PERENNIAL","FORB"
"686","VERONICA CHAMAEDRYS",5620,"rhijn.nl",1,2,2,8,4,6,2,25.804,0.234,10.00287923,28.10742313,0.34,0.114461321,349.9700698,0.149373333,"FORB","PERENNIAL","FORB"
"699","VIOLA BETONICIFOLIA",2913,"falls.au",1,1,0.5,1.5,0.5,0.5,0,NA,0.2,NA,17.081108,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"705","WAHLENBERGIA STRICTA",3455,"jilpanger.au",1,1.5,0.5,0.5,0.5,-1,0,NA,0.9,NA,29.447,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"706","ZIZIA APTERA",1395,"brookdale.ca",1,2,2,1,1,-1,-1,16.074,NA,NA,40.37573969,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
