"","site_code","Taxon","n_treat_years","sum.ctrl.cover","mean.ctrl.cover","sum.drt.cover","mean.drt.cover","sum.cover.response","mean.cover.response"
"108","allmendb.ch","PLANTAGO LANCEOLATA",1,0.25,0.25,2,1,1.75,0.75
"109","allmendb.ch","PLANTAGO LANCEOLATA",2,0,0,0.5,0.25,0.5,0.25
"110","allmendb.ch","PLANTAGO LANCEOLATA",3,0,0,0.25,0.25,0.25,0.25
"111","allmendb.ch","POLYGALA VULGARIS",0.5,2.5,1.25,1.75,0.875,-0.75,-0.375
"112","allmendb.ch","POLYGALA VULGARIS",1,6,2,4.25,1.41666666666667,-1.75,-0.583333333333333
"113","allmendb.ch","POLYGALA VULGARIS",2,3.5,1.75,1.5,0.5,-2,-1.25
"114","allmendb.ch","POLYGALA VULGARIS",3,3,1,0.5,0.25,-2.5,-0.75
"115","allmendb.ch","POTENTILLA GRANDIFLORA",0.5,2.25,0.75,1.75,0.583333333333333,-0.5,-0.166666666666667
"116","allmendb.ch","POTENTILLA GRANDIFLORA",1,2.75,0.916666666666667,2,0.666666666666667,-0.75,-0.25
"117","allmendb.ch","POTENTILLA GRANDIFLORA",2,3,1,1.5,0.5,-1.5,-0.5
"118","allmendb.ch","POTENTILLA GRANDIFLORA",3,3.25,1.08333333333333,1.25,0.416666666666667,-2,-0.666666666666667
"119","allmendb.ch","PRUNELLA VULGARIS",0.5,44.5,14.8333333333333,47,15.6666666666667,2.5,0.833333333333332
"120","allmendb.ch","PRUNELLA VULGARIS",1,53.5,17.8333333333333,42.25,14.0833333333333,-11.25,-3.75
"121","allmendb.ch","PRUNELLA VULGARIS",2,54.75,18.25,33.75,11.25,-21,-7
"122","allmendb.ch","PRUNELLA VULGARIS",3,60.25,20.0833333333333,22.5,7.5,-37.75,-12.5833333333333
"123","allmendb.ch","RANUNCULUS ACRIS",0.5,0,0,0.5,0.5,0.5,0.5
"124","allmendb.ch","RANUNCULUS ACRIS",2,1,1,0.5,0.25,-0.5,-0.75
"125","allmendb.ch","RANUNCULUS BULBOSUS",0.5,0.25,0.25,0.25,0.25,0,0
"126","allmendb.ch","RHINANTHUS MINOR",0.5,6.25,2.08333333333333,7,2.33333333333333,0.75,0.25
"127","allmendb.ch","RHINANTHUS MINOR",1,1.25,0.416666666666667,6,2,4.75,1.58333333333333
"128","allmendb.ch","RHINANTHUS MINOR",2,0.5,0.25,0.5,0.5,0,0.25
"129","allmendb.ch","SALVIA PRATENSIS",0.5,1.75,0.875,5.25,2.625,3.5,1.75
"130","allmendb.ch","SALVIA PRATENSIS",1,2.25,1.125,6.5,3.25,4.25,2.125
"131","allmendb.ch","SALVIA PRATENSIS",2,2.75,1.375,4.5,2.25,1.75,0.875
"132","allmendb.ch","SALVIA PRATENSIS",3,2.5,1.25,5.75,2.875,3.25,1.625
"133","allmendb.ch","SANGUISORBA MINOR",0.5,11.75,3.91666666666667,9,3,-2.75,-0.916666666666667
"134","allmendb.ch","SANGUISORBA MINOR",1,8,2.66666666666667,7.5,2.5,-0.5,-0.166666666666667
"135","allmendb.ch","SANGUISORBA MINOR",2,8.25,2.75,6,2,-2.25,-0.75
"136","allmendb.ch","SANGUISORBA MINOR",3,9,3,5.25,1.75,-3.75,-1.25
"137","allmendb.ch","SCABIOSA COLUMBARIA",0.5,5.75,1.91666666666667,2.25,1.125,-3.5,-0.791666666666667
"138","allmendb.ch","SCABIOSA COLUMBARIA",1,7.75,2.58333333333333,3,1,-4.75,-1.58333333333333
"139","allmendb.ch","SCABIOSA COLUMBARIA",2,6.25,2.08333333333333,3,1.5,-3.25,-0.583333333333333
"140","allmendb.ch","SCABIOSA COLUMBARIA",3,7,2.33333333333333,1,1,-6,-1.33333333333333
"141","allmendb.ch","SILENE VULGARIS",0.5,0,0,0.25,0.25,0.25,0.25
"142","allmendb.ch","TARAXACUM TARAXACUM",0.5,0.5,0.5,0,0,-0.5,-0.5
"143","allmendb.ch","TARAXACUM TARAXACUM",1,0.5,0.5,0,0,-0.5,-0.5
"144","allmendb.ch","TARAXACUM TARAXACUM",2,0.5,0.25,0,0,-0.5,-0.25
"145","allmendb.ch","TARAXACUM TARAXACUM",3,0.25,0.25,0,0,-0.25,-0.25
"146","allmendb.ch","TEUCRIUM CHAMAEDRYS",0.5,0.75,0.75,11.5,5.75,10.75,5
"147","allmendb.ch","TEUCRIUM CHAMAEDRYS",1,1,1,11.5,5.75,10.5,4.75
"148","allmendb.ch","TEUCRIUM CHAMAEDRYS",2,0.75,0.75,10.25,5.125,9.5,4.375
