,site_code,Taxon,mean.drt.cover.yr1,mean.drt.cover.yr2,diff.drt.trt,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,local_lifeform,local_lifespan,functional_group,precip,site.id
8,allmendb.ch,ACHILLEA MILLEFOLIUM,1.25,1.416666667,0.166666667,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB,957,1
118,brookdale.ca,ACHILLEA MILLEFOLIUM,1.5,1,-0.5,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB,474.2,8
461,oreac.us,ACHILLEA MILLEFOLIUM,1.833333333,1,-0.833333333,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB,497,49
284,hard.us,ACHILLEA MILLEFOLIUM,2,1.666666667,-0.333333333,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB,462,30
321,kernb.ca,ACHILLEA MILLEFOLIUM,2.666666667,3,0.333333333,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB,353.7,35
237,elvadrt.ee,ACHILLEA MILLEFOLIUM,6.666666667,5.666666667,-1,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB,680,23
346,kinsella.ca,ACHILLEA MILLEFOLIUM,15,15,0,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB,406.24,37
130,brookdale.ca,AGASTACHE FOENICULUM,1.5,1.5,0,14.7,NA,NA,15.29,0.124,0.18,56.33396667,0.42,FORB,PERENNIAL,FORB,474.2,8
234,elvadrt.ee,AGRIMONIA EUPATORIA,1,1,0,14.78,0.087,14.78,13.66,1.55,0.1143,NA,NA,FORB,PERENNIAL,FORB,680,23
494,pineta.es,AGROSTIS CAPILLARIS,37.16666667,2.166666667,-35,27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429,GRASS,PERENNIAL,GRASS,1356.602,52
396,marcdrt.ar,AGROSTIS MONTEVIDENSIS,5.5,5.333333333,-0.166666667,NA,0.229358974,NA,12,NA,NA,NA,NA,FORB,PERENNIAL,GRASS,927.9,42
471,passogavia.it,AGROSTIS RUPESTRIS,1.7,1.7,0,17,0.035,NA,15.5,NA,NA,NA,NA,GRASS,PERENNIAL,GRASS,1281,51
480,passogavia.it,ALCHEMILLA PENTAPHYLLEA,53.8,52,-1.8,37,NA,NA,21,NA,NA,NA,NA,FORB,PERENNIAL,FORB,1281,51
162,cerrillos.ar,ALLIONIA INCARNATA,1.25,1.88,0.63,NA,0.4,NA,21.88917424,0.4,NA,10.31,0.665,FORB,PERENNIAL,FORB,390,13
446,oreaa.us,ALLIUM ACUMINATUM,1,0.5,-0.5,NA,0.3048,NA,8.45,0.1524,NA,NA,1.64,FORB,PERENNIAL,FORB,497,48
559,validate.fr,ALOPECURUS PRATENSIS,16.4,20.6,4.2,23.8325776,0.806266667,9.698958476,27.30021588,0.3048,0.069943613,230.6921222,0.305414955,GRASS,PERENNIAL,GRASS,790,61
538,slp.us,AMBROSIA PSILOSTACHYA,10.33333333,1,-9.33333333,23.246,0.4385,12.9,15.82842,0.99,0.37,72.86943333,0.44,FORB,PERENNIAL,FORB,930.7024634,58
433,oklah.us,AMBROSIA PSILOSTACHYA,19,11,-8,23.246,0.4385,12.9,15.82842,0.99,0.37,72.86943333,0.44,FORB,PERENNIAL,FORB,880,47
393,marcdrt.ar,AMBROSIA TENUIFOLIA,1,2,1,18.2,4.572,NA,9.366271504,0.6096,NA,NA,NA,FORB,PERENNIAL,FORB,927.9,42
172,chilcasdrt.ar,AMBROSIA TENUIFOLIA,2.958333333,0.25,-2.708333333,18.2,4.572,NA,9.366271504,0.6096,NA,NA,NA,FORB,PERENNIAL,FORB,950,16
143,cedarsav.us,AMORPHA CANESCENS,6.75,3.5,-3.25,22.25861206,0.446,27.18327333,13.80561828,0.508,0.59,45.95532256,0.19,FORB,PERENNIAL,LEGUME,682,11
127,brookdale.ca,ANDROPOGON GERARDII,2.611111111,1.25,-1.361111111,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,GRASS,PERENNIAL,GRASS,474.2,8
154,cedartrait.us,ANDROPOGON GERARDII,6.4,1,-5.4,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,GRASS,PERENNIAL,GRASS,682,12
138,cedarsav.us,ANDROPOGON GERARDII,8.8,9,0.2,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,GRASS,PERENNIAL,GRASS,682,11
356,konzadrt.us,ANDROPOGON GERARDII,53.6,15,-38.6,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,GRASS,PERENNIAL,GRASS,830,38
238,elvadrt.ee,ANTHOXANTHUM ODORATUM,1.5,1.333333333,-0.166666667,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,GRASS,PERENNIAL,GRASS,680,23
181,cowidrt.ca,ANTHOXANTHUM ODORATUM,3.4,1,-2.4,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,GRASS,PERENNIAL,GRASS,1134,19
56,allmendo.ch,ANTHYLLIS VULNERARIA,1.5,1.916666667,0.416666667,32.33118574,0.2845,19.6042,18.21819656,1.7,0.22014466,149.3012403,0.25,FORB,PERENNIAL,LEGUME,957,2
552,ukulingadrt.za,ARISTIDA JUNCIFORMIS,9,25,16,9.7441916,NA,NA,8.6,NA,NA,NA,NA,GRASS,PERENNIAL,GRASS,732.6,60
468,paike.ar,ARMERIA MARITIMA,1,1,0,17,0.308106667,9.3,21.1502,0.254,0.2612175,57.875,0.221876923,FORB,PERENNIAL,FORB,202,50
557,validate.fr,ARRHENATHERUM ELATIUS,9.6,11.6,2,25.84,0.857,8.902914385,29.67,0.3556,0.119407807,190.1954961,0.304707692,"GRASS, Forb (Jena)",PERENNIAL,GRASS,790,61
510,rhijn.nl,ARRHENATHERUM ELATIUS,20,23.33333333,3.333333333,25.84,0.857,8.902914385,29.67,0.3556,0.119407807,190.1954961,0.304707692,"GRASS, Forb (Jena)",PERENNIAL,GRASS,796.92,53
462,oreac.us,ARTEMISIA CANA,34.5,28,-6.5,24,1.524,NA,10.06,0.508,0.261669741,55.91952402,0.31,SHRUB,PERENNIAL,WOODY,497,49
407,matador.ca,ARTEMISIA FRIGIDA,1.333333333,1.166666667,-0.166666666,27.14787037,0.6096,13.115,15.13958917,0.2032,0.362103739,34.74405462,0.188200863,"FORB, Subshrub (Kinsella, Mattheis), Shrub (North Platte)",PERENNIAL,WOODY,358.4,43
106,biddulph.ca,ARTEMISIA FRIGIDA,2,10,8,27.14787037,0.6096,13.115,15.13958917,0.2032,0.362103739,34.74405462,0.188200863,"FORB, Subshrub (Kinsella, Mattheis), Shrub (North Platte)",PERENNIAL,WOODY,353.7,7
326,kernb.ca,ARTEMISIA FRIGIDA,6.666666667,6.666666667,-3.33E-10,27.14787037,0.6096,13.115,15.13958917,0.2032,0.362103739,34.74405462,0.188200863,"FORB, Subshrub (Kinsella, Mattheis), Shrub (North Platte)",PERENNIAL,WOODY,353.7,35
337,kinsella.ca,ARTEMISIA FRIGIDA,14.5,14.5,0,27.14787037,0.6096,13.115,15.13958917,0.2032,0.362103739,34.74405462,0.188200863,"FORB, Subshrub (Kinsella, Mattheis), Shrub (North Platte)",PERENNIAL,WOODY,406.24,37
415,mattheis.ca,ARTEMISIA FRIGIDA,17.6,10,-7.6,27.14787037,0.6096,13.115,15.13958917,0.2032,0.362103739,34.74405462,0.188200863,"FORB, Subshrub (Kinsella, Mattheis), Shrub (North Platte)",PERENNIAL,WOODY,329.11,44
104,biddulph.ca,ARTEMISIA LUDOVICIANA,1,3,2,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,FORB,PERENNIAL,FORB,353.7,7
139,cedarsav.us,ARTEMISIA LUDOVICIANA,1,2,1,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,FORB,PERENNIAL,FORB,682,11
131,brookdale.ca,ARTEMISIA LUDOVICIANA,1.95,1.458333333,-0.491666667,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,FORB,PERENNIAL,FORB,474.2,8
325,kernb.ca,ARTEMISIA LUDOVICIANA,3,1.75,-1.25,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,FORB,PERENNIAL,FORB,353.7,35
330,kernnu.ca,ARTEMISIA LUDOVICIANA,3,2.5,-0.5,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,FORB,PERENNIAL,FORB,353.7,36
285,hard.us,ARTEMISIA TRIDENTATA,35,35,0,15.26666667,2.0334,NA,7.24415531,0.508,NA,76.06224385,0.485315,SHRUB,PERENNIAL,WOODY,462,30
9,allmendb.ch,ASPERULA CYNANCHICA,0.25,0.25,0,NA,0.284375,NA,27.91666667,0.93,0.3908625,22.875,0.16639,FORB,PERENNIAL,FORB,957,1
37,allmendo.ch,ASPERULA CYNANCHICA,2.375,2.375,0,NA,0.284375,NA,27.91666667,0.93,0.3908625,22.875,0.16639,FORB,PERENNIAL,FORB,957,2
275,falls.au,ASTEROLASIA TRYMALIOIDES,0.75,0.5,-0.25,NA,0.54,NA,4.969295,NA,NA,NA,NA,SHRUB,PERENNIAL,WOODY,2366,27
298,jenadrt.de,BELLIS PERENNIS,5,1.333333333,-3.666666667,17.81,0.165,8.4,34.15,0.18,0.130088142,324.9590331,0.243322583,FORB,PERENNIAL,FORB,596.5233333,33
189,cowidrt.ca,BERBERIS NERVOSA,50,20,-30,NA,0.6096,NA,10.38,0.4064,NA,18.14285714,NA,SHRUB,PERENNIAL,WOODY,1134,19
163,cerrillos.ar,BOERHAVIA DIFFUSA,0.63,1.25,0.62,NA,0.55,NA,20.76,1.2,NA,14.29,NA,FORB,PERENNIAL,FORB,390,13
352,konzadrt.us,BOUTELOUA CURTIPENDULA,3.5,20,16.5,8.7,0.427,8.84,14.60867,0.3048,0.19,94.40056667,0.032,GRASS,PERENNIAL,GRASS,830,38
424,nplatte.us,BOUTELOUA GRACILIS,20.8,5.142857143,-15.65714286,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,GRASS,PERENNIAL,GRASS,305,46
416,mattheis.ca,BOUTELOUA GRACILIS,26,23,-3,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,GRASS,PERENNIAL,GRASS,329.11,44
43,allmendo.ch,BRACHYPODIUM PINNATUM,6.083333333,4.5,-1.583333333,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,GRASS,PERENNIAL,GRASS,957,2
11,allmendb.ch,BRACHYPODIUM PINNATUM,13,11.58333333,-1.416666667,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,GRASS,PERENNIAL,GRASS,957,1
496,pineta.es,BRACHYPODIUM PINNATUM,15.5,4.5,-11,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,GRASS,PERENNIAL,GRASS,1356.602,52
72,ayora.es,BRACHYPODIUM RETUSUM,24.33333333,30,5.66666667,7.1,0.4,NA,16.24363109,0.2586667,NA,25.86916574,0.85,GRASS,PERENNIAL,GRASS,381.3,4
60,allmendo.ch,BROMUS ERECTUS,15.66666667,15.25,-0.41666667,18.81892435,0.717333333,7.243150315,21.09580137,0.894,0.174709631,157.1212818,0.273789089,GRASS,PERENNIAL,GRASS,957,2
33,allmendb.ch,BROMUS ERECTUS,22.08333333,17.58333333,-4.499999997,18.81892435,0.717333333,7.243150315,21.09580137,0.894,0.174709631,157.1212818,0.273789089,GRASS,PERENNIAL,GRASS,957,1
129,brookdale.ca,BROMUS INERMIS,3.65,2.4,-1.25,21.49936399,0.81,17.20145333,17.7899321,0.3048,0.268601793,108.7724975,0.281416667,GRASS,PERENNIAL,GRASS,474.2,8
466,paike.ar,BROMUS SETIFOLIUS,2.5,2.5,0,NA,0.102,NA,20.31,NA,NA,NA,NA,GRASS,PERENNIAL,GRASS,202,50
142,cedarsav.us,CALAMOVILFA LONGIFOLIA,5,2.5,-2.5,13.59,0.968,5.2246,10.96892152,0.508,0.18,33,0.48,GRAMINOID,PERENNIAL,GRASS,682,11
293,hyide.de,CALLUNA VULGARIS,65.66666667,90,24.33333333,13.57486595,0.555785714,4.11401,14.28693018,0.3,NA,13.62532988,0.2553,"SHRUB, subshrub (Lygra_intermediate, Lygra_old)",PERENNIAL,WOODY,541.15,32
368,lygraint.no,CALLUNA VULGARIS,78.33333333,81.33333333,3.000000003,13.57486595,0.555785714,4.11401,14.28693018,0.3,NA,13.62532988,0.2553,"SHRUB, subshrub (Lygra_intermediate, Lygra_old)",PERENNIAL,WOODY,2234,40
379,lygraold.no,CALLUNA VULGARIS,83.33333333,91.66666667,8.333333337,13.57486595,0.555785714,4.11401,14.28693018,0.3,NA,13.62532988,0.2553,"SHRUB, subshrub (Lygra_intermediate, Lygra_old)",PERENNIAL,WOODY,2234,41
291,hoide.de,CALLUNA VULGARIS,85,89.33333333,4.333333333,13.57486595,0.555785714,4.11401,14.28693018,0.3,NA,13.62532988,0.2553,"SHRUB, subshrub (Lygra_intermediate, Lygra_old)",PERENNIAL,WOODY,541.15,31
434,oklah.us,CALYLOPHUS SERRULATUS,15,15,0,NA,NA,NA,11.69,1.33,NA,NA,NA,FORB,PERENNIAL,FORB,880,47
184,cowidrt.ca,CAMASSIA QUAMASH,5,5,0,NA,0.70104,NA,12.08,0.254,NA,NA,NA,GRASS,PERENNIAL,FORB,1134,19
221,elvadrt.ee,CAMPANULA PATULA,1,1,0,NA,0.4375,14.26593954,33.98333333,0.29,0.0375,NA,0.265133333,FORB,PERENNIAL,FORB,680,23
323,kernb.ca,CAMPANULA ROTUNDIFOLIA,0.5,0.5,0,21.08333333,0.452,13.14618087,22.94812699,1.125,0.146551312,475.6578007,0.141566667,FORB,PERENNIAL,FORB,353.7,35
335,kernnu.ca,CAMPANULA ROTUNDIFOLIA,0.5,0.666666667,0.166666667,21.08333333,0.452,13.14618087,22.94812699,1.125,0.146551312,475.6578007,0.141566667,FORB,PERENNIAL,FORB,353.7,36
109,biddulph.ca,CAMPANULA ROTUNDIFOLIA,4,7,3,21.08333333,0.452,13.14618087,22.94812699,1.125,0.146551312,475.6578007,0.141566667,FORB,PERENNIAL,FORB,353.7,7
294,hyide.de,CAREX ARENARIA,1.333333333,8.333333333,7,19.12604168,0.384259259,NA,14.42164292,1.02,NA,NA,NA,GRAMINOID,PERENNIAL,GRAMINOID,541.15,32
292,hoide.de,CAREX ARENARIA,1.666666667,10,8.333333333,19.12604168,0.384259259,NA,14.42164292,1.02,NA,NA,NA,GRAMINOID,PERENNIAL,GRAMINOID,541.15,31
267,falls.au,CAREX BREVICULMIS,0.75,0.75,0,18.30157885,0.05,NA,14.60009466,NA,NA,NA,NA,GRASS,PERENNIAL,GRAMINOID,2366,27
347,konzadrt.us,CAREX BREVIOR,0.1,2.8,2.7,NA,0.254,NA,21.15675902,NA,NA,NA,NA,GRAMINOID,PERENNIAL,GRAMINOID,830,38
54,allmendo.ch,CAREX CARYOPHYLLEA,14.16666667,12.08333333,-2.083333337,18,0.223333333,NA,18.76023077,0.2,NA,NA,0.0784,GRAMINOID,PERENNIAL,GRAMINOID,957,2
3,allmendb.ch,CAREX CARYOPHYLLEA,16.5,14.58333333,-1.916666667,18,0.223333333,NA,18.76023077,0.2,NA,NA,0.0784,GRAMINOID,PERENNIAL,GRAMINOID,957,1
482,passogavia.it,CAREX CURVULA,42,39.8,-2.2,12,NA,NA,9.999104145,0.65,NA,NA,NA,GRAMINOID,PERENNIAL,GRAMINOID,1281,51
73,ayora.es,CAREX DISTACHYA,2.5,1,-1.5,NA,0.1756,NA,4.8,0.91,NA,NA,NA,GRAMINOID,PERENNIAL,FORB,381.3,4
31,allmendb.ch,CAREX FLACCA,0.25,0.25,0,17.07498081,0.37125,4.956666667,14.4018786,0.83,0.169025277,218.7926062,0.380313725,GRAMINOID,PERENNIAL,GRAMINOID,957,1
45,allmendo.ch,CAREX FLACCA,1.5,1,-0.5,17.07498081,0.37125,4.956666667,14.4018786,0.83,0.169025277,218.7926062,0.380313725,GRAMINOID,PERENNIAL,GRAMINOID,957,2
270,falls.au,CAREX HEBES,0.5,0.5,0,NA,NA,NA,19.096154,NA,NA,NA,NA,GRASS,PERENNIAL,GRAMINOID,2366,27
265,falls.au,CELMISIA COSTINIANA,48.33333333,55,6.66666667,NA,0.515,NA,9.655537,NA,NA,NA,NA,FORB,PERENNIAL,FORB,2366,27
161,cerrillos.ar,CENCHRUS CILIARIS,1.25,0.63,-0.62,18.5,0.9144,6.5,14.69,0.508,NA,NA,NA,GRASS,PERENNIAL,GRASS,390,13
7,allmendb.ch,CENTAUREA JACEA,1.5,1.25,-0.25,25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037,FORB,PERENNIAL,FORB,957,1
41,allmendo.ch,CENTAUREA JACEA,2.25,2.375,0.125,25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037,FORB,PERENNIAL,FORB,957,2
509,rhijn.nl,CENTAUREA JACEA,6.5,5,-1.5,25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037,FORB,PERENNIAL,FORB,796.92,53
59,allmendo.ch,CENTAUREA SCABIOSA,1.75,1.166666667,-0.583333333,22.3,0.9625,NA,16.2315625,2.708833,NA,NA,NA,FORB,PERENNIAL,FORB,957,2
4,allmendb.ch,CENTAUREA SCABIOSA,7.25,7.25,0,22.3,0.9625,NA,16.2315625,2.708833,NA,NA,NA,FORB,PERENNIAL,FORB,957,1
334,kernnu.ca,CERASTIUM ARVENSE,0.75,2,1.25,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB,353.7,36
401,matador.ca,CERASTIUM ARVENSE,0.75,0.5,-0.25,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB,358.4,43
233,elvadrt.ee,CERASTIUM ARVENSE,1,1,0,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB,680,23
469,paike.ar,CERASTIUM ARVENSE,1,1,0,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB,202,50
318,kernb.ca,CERASTIUM ARVENSE,1.25,0.5,-0.75,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB,353.7,35
198,cowidrt.ca,CERASTIUM ARVENSE,1.5,2,0.5,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB,1134,19
108,biddulph.ca,CERASTIUM ARVENSE,2,0.5,-1.5,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB,353.7,7
180,cmss.us,CERASTIUM ARVENSE,5,9,4,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB,690,18
309,jenadrt.de,CERASTIUM FONTANUM,0.5,0.75,0.25,24.9755,0.218333333,8.721238939,25.83139407,NA,0.133299797,101.6244572,0.282,FORB,PERENNIAL,FORB,596.5233333,33
517,scruzh.us,CHLOROGALUM POMERIDIANUM,2.4691358,2,-0.4691358,28.9,NA,NA,12.962,NA,NA,NA,NA,FORB,PERENNIAL,FORB,745,55
64,antelope.us,CHONDROSUM ERIOPODUM,5.68125,2.764285714,-2.916964286,14.8969364,NA,NA,18.54844313,NA,NA,NA,0.03,GRAMINOID,PERENNIAL,GRASS,215,3
314,jorndrt.us,CHONDROSUM ERIOPODUM,27.33333333,11.33333333,-16,14.8969364,NA,NA,18.54844313,NA,NA,NA,0.03,GRAMINOID,PERENNIAL,GRASS,241.88,34
252,esw.ca,CIRSIUM ARVENSE,1.5,1.333333333,-0.166666667,29.75611991,0.84284049,15.2,16.60803212,1.853333,NA,64,0.71,FORB,PERENNIAL,FORB,1011.5,24
115,brookdale.ca,CIRSIUM ARVENSE,2.133333333,1.6,-0.533333333,29.75611991,0.84284049,15.2,16.60803212,1.853333,NA,64,0.71,FORB,PERENNIAL,FORB,474.2,8
86,baddrt.de,CIRSIUM ARVENSE,3.3,0.75,-2.55,29.75611991,0.84284049,15.2,16.60803212,1.853333,NA,64,0.71,FORB,PERENNIAL,FORB,488.6,5
79,ayora.es,CISTUS ALBIDUS,14.66666667,23.66666667,8.999999997,13.70833333,1,NA,15.54983587,NA,0.775024053,6.965677795,0.4331,SHRUB,PERENNIAL,WOODY,381.3,4
77,ayora.es,CISTUS CLUSII,5,2,-3,17.575,1,NA,15.66073822,NA,NA,NA,NA,SHRUB,PERENNIAL,WOODY,381.3,4
403,matador.ca,COMANDRA UMBELLATA,3.5,3.5,0,21.0594,NA,NA,18.08533756,NA,0.334821433,31.36179282,0.321385714,FORB,PERENNIAL,FORB,358.4,43
135,cedarsav.us,COMANDRA UMBELLATA,6.666666667,3.333333333,-3.333333334,21.0594,NA,NA,18.08533756,NA,0.334821433,31.36179282,0.321385714,FORB,PERENNIAL,FORB,682,11
560,yarradrt.au,COMMELINA CYANEA,2,8.16,6.16,30.634,0.1,NA,34.85,NA,0.12642,NA,0.05284,FORB,PERENNIAL,FORB,800,62
306,jenadrt.de,CONVOLVULUS ARVENSIS,2,2,0,27.77,0.048,12.29,17.215475,2.24,0.5298167,31.40813333,NA,FORB,PERENNIAL,FORB,596.5233333,33
160,cerrillos.ar,CORDOBIA ARGENTEA,8.753333333,11.67,2.916666667,27.9,NA,NA,5.52599535,NA,NA,NA,NA,VINE,PERENNIAL,WOODY,390,13
140,cedarsav.us,COREOPSIS PALMATA,6.666666667,4,-2.666666667,12.06502778,0.614,18.5591,18.06209157,NA,0.1,82.33333333,0.33,FORB,PERENNIAL,FORB,682,11
155,cedartrait.us,COREOPSIS PALMATA,13,4.333333333,-8.666666667,12.06502778,0.614,18.5591,18.06209157,NA,0.1,82.33333333,0.33,FORB,PERENNIAL,FORB,682,12
22,allmendb.ch,CREPIS BIENNIS,0.5,0.25,-0.25,18.28,0.183,10.22761651,19.04,0.99,0.113427835,154.7062535,0.425214286,FORB,PERENNIAL,FORB,957,1
305,jenadrt.de,CREPIS BIENNIS,2,2,0,18.28,0.183,10.22761651,19.04,0.99,0.113427835,154.7062535,0.425214286,FORB,PERENNIAL,FORB,596.5233333,33
85,baddrt.de,CREPIS BIENNIS,6.5,3,-3.5,18.28,0.183,10.22761651,19.04,0.99,0.113427835,154.7062535,0.425214286,FORB,PERENNIAL,FORB,488.6,5
550,ukulingadrt.za,CYMBOPOGON CAESIUS,6.5,40.25,33.75,13.857227,NA,NA,17.88,NA,NA,NA,NA,GRASS,PERENNIAL,GRASS,732.6,60
512,sclaudio.ar,CYNODON DACTYLON,1,6.5,5.5,16.887,0.235788519,NA,16.61,0.3556,0.51,26.34,0.071,GRAMINOID,PERENNIAL,GRASS,950,54
563,yarradrt.au,CYNODON DACTYLON,47.5,66.325,18.825,16.887,0.235788519,NA,16.61,0.3556,0.51,26.34,0.071,GRAMINOID,PERENNIAL,GRASS,800,62
169,chilcasdrt.ar,CYPERUS ERAGROSTIS,0.25,0.25,0,NA,0.9,NA,14.342367,NA,NA,NA,NA,GRAMINOID,PERENNIAL,GRAMINOID,950,16
197,cowidrt.ca,DACTYLIS GLOMERATA,4.25,2.25,-2,25.72069341,0.671309259,10.15714286,26.04843708,0.3048,0.138583824,304.2076965,0.142857143,GRASS,PERENNIAL,GRASS,1134,19
245,elvadrt.ee,DACTYLIS GLOMERATA,11.66666667,5,-6.66666667,25.72069341,0.671309259,10.15714286,26.04843708,0.3048,0.138583824,304.2076965,0.142857143,GRASS,PERENNIAL,GRASS,680,23
507,rhijn.nl,DACTYLIS GLOMERATA,20,24.33333333,4.333333333,25.72069341,0.671309259,10.15714286,26.04843708,0.3048,0.138583824,304.2076965,0.142857143,GRASS,PERENNIAL,GRASS,796.92,53
558,validate.fr,DACTYLIS GLOMERATA,29.6,19,-10.6,25.72069341,0.671309259,10.15714286,26.04843708,0.3048,0.138583824,304.2076965,0.142857143,GRASS,PERENNIAL,GRASS,790,61
439,oklah.us,DALEA PURPUREA,9,9,0,14.1,0.5272,13.9583,13.02080619,1.525,0.174143261,73.40507735,0.341785714,FORB,PERENNIAL,LEGUME,880,47
448,oreaa.us,DANTHONIA CALIFORNICA,8.166666667,8.166666667,-3.33E-10,21.1,0.6096,NA,46.56,0.4064,NA,NA,NA,GRASS,PERENNIAL,GRASS,497,48
470,paike.ar,DESCHAMPSIA CESPITOSA,1,1,0,19.38145224,0.623466667,9.504294333,15.38069921,1.23,0.170736151,364.9892355,0.206048414,GRASS,PERENNIAL,GRASS,202,50
362,lygraint.no,DESCHAMPSIA FLEXUOSA,1,5,4,21.14852266,0.40801415,6.90123,17.19285365,0.2032,0.386033,196.6766667,0.27,GRASS,PERENNIAL,GRASS,2234,40
290,hoide.de,DESCHAMPSIA FLEXUOSA,3.666666667,15,11.33333333,21.14852266,0.40801415,6.90123,17.19285365,0.2032,0.386033,196.6766667,0.27,GRASS,PERENNIAL,GRASS,541.15,31
442,oklah.us,DESMANTHUS ILLINOENSIS,15,3,-12,38.8,0.9144,NA,9.88,NA,0.3048,45.09036443,0.25,FORB,PERENNIAL,LEGUME,880,47
348,konzadrt.us,DICHANTHELIUM OLIGOSANTHES,2.8,2,-0.8,12.8,0.2083,4.73,23.2764706,NA,NA,7.466,0.36,GRASS,PERENNIAL,GRASS,830,38
437,oklah.us,DICHANTHELIUM OLIGOSANTHES,11,7,-4,12.8,0.2083,4.73,23.2764706,NA,NA,7.466,0.36,GRASS,PERENNIAL,GRASS,880,47
99,bfl.us,DICHANTHELIUM OLIGOSANTHES,32,7,-25,12.8,0.2083,4.73,23.2764706,NA,NA,7.466,0.36,GRASS,PERENNIAL,GRASS,860.5334792,6
70,ayora.es,DORYCNIUM PENTAPHYLLUM,8,12,4,24.5,0.4,NA,20.8,1.17,0.56,3.83,NA,SUBSHRUB,PERENNIAL,LEGUME,381.3,4
27,allmendb.ch,ECHIUM VULGARE,0.375,0.375,0,23.6,0.716666667,NA,14.45,2.57,NA,NA,0.385,FORB,PERENNIAL,FORB,957,1
562,yarradrt.au,EHRHARTA STIPOIDES,61.25,14.29,-46.96,25.541,NA,NA,21.72,NA,0.72,NA,0.043,GRASS,PERENNIAL,GRASS,800,62
455,oreac.us,ELYMUS ELYMOIDES,5.833333333,2.875,-2.958333333,13.572,0.4235,10.19,13.868725,0.3048,0.387230769,48.4183,0.62,GRASS,PERENNIAL,GRASS,497,49
445,oreaa.us,ELYMUS ELYMOIDES,7.7,3.5,-4.2,13.572,0.4235,10.19,13.868725,0.3048,0.387230769,48.4183,0.62,GRASS,PERENNIAL,GRASS,497,48
190,cowidrt.ca,ELYMUS GLAUCUS,6,5,-1,20.02,1.00584,10.4,14.9305,0.3048,0.49,34.8825,NA,"GRASS, forb (SantaCruzHigh)",PERENNIAL,GRASS,1134,19
