,AccSpeciesName,Leaf area,Leaf carbon (C) content per leaf dry mass,Leaf nitrogen (N) content per leaf dry mass,Plant height vegetative,Root carbon (C) content per root dry mass,Root nitrogen (N) content per root dry mass,Seed dry mass,Seed germination rate (germination efficiency),Specific leaf area,Leaf thickness,Leaf nitrogen (N) content per leaf area,Root rooting depth,Dispersal unit dry mass,Dispersal unit thickness,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Photosynthesis rate per leaf dry mass,Leaf carbon (C) content per leaf area,Fine root carbon/nitrogen (C/N) ratio,Coarse root carbon/nitrogen (C/N) ) ratio,"Root type, root architecture",Root/shoot ratio,Leaf carbon isotope signature (delta 13C),Root diameter,"Fine root length per fine root dry mass (specific fine root length, SRL)",Photosynthesis rate per leaf transpiration (photosynthetic water use effinciency: WUE),Coarse root nitrogen (N) content per coarse root dry mass,Fine root carbon (C) content per fine root dry mass,Fine root dry mass per fine root fresh mass (fine root dry matter content; RDMC),Fine root nitrogen (N) content per fine root dry mass,Coarse root dry mass per ground area,Fine root dry mass per ground area
112,Astragalus nuttallianus,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,Astrantia major,10612.64833,444.67,28.539,0.4215,NA,NA,3.11,72,22.75909384,NA,1.356964141,NA,2.871,1.3,0.173901667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,Astrebla lappacea,155.1498,NA,NA,0.65,NA,NA,2.88,NA,11.43619445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,Astrebla pectinata,NA,NA,NA,NA,NA,NA,2.847666667,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,Astroloma humifusum,7.322,NA,NA,0.1,NA,NA,61.56,NA,7.958695652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,Atriplex prostrata,2670.666667,NA,NA,0.916666667,NA,NA,2.849602381,90.33333333,19.49884967,0.364833333,NA,NA,NA,NA,0.144333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,Avena barbata,119,389,17,0.389,NA,NA,8.237367738,100,25.674375,NA,NA,NA,NA,NA,0.255333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,Avena fatua,5227.5,438.03,28.3,1.0564,NA,NA,20.95964987,90.75,21.775,NA,NA,0.2032,23.055,2.24,0.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,Axonopus fissifolius,NA,NA,NA,0.07836831,NA,NA,0.3705,NA,NA,0.167985612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,Axyris amaranthoides,NA,NA,NA,1.2,NA,NA,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,Baccharis halimifolia,NA,NA,NA,3.048,NA,NA,1.842739415,NA,NA,NA,NA,0.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,Baccharis linearis,NA,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,Baccharis pilularis,152,NA,23.76666667,3.424,NA,NA,0.09725,100,10.9812715,NA,1.781472684,0.508,NA,NA,NA,0.16218101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,Baccharis salicina,NA,NA,NA,NA,NA,NA,0.14075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,Baccharis tenella,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,Baccharis ulicina,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,Bahia ambrosioides,NA,NA,10.8,NA,NA,NA,0.56,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,Baptisia alba,NA,NA,22.3,0.972,NA,NA,16.1,NA,22.05414615,NA,NA,NA,NA,NA,0.248328025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,Bassia laniflora,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,Bassia scoparia,99.0625,NA,32.45,1.184444444,NA,NA,1.09664,100,19.65690846,0.264,NA,NA,1.186,0.81,0.194348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,Bellis perennis,359,NA,NA,0.1025,NA,NA,0.136985185,100,31.2875,NA,NA,NA,0.106,0.2,0.1135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,Berberis nervosa,NA,NA,NA,0.6096,NA,NA,17.90885822,NA,NA,NA,NA,0.4064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,Berkheya setifera,NA,NA,NA,NA,NA,NA,1.42,92.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,Betula pendula,1181.105556,499.75,24.7363717,20.42708333,NA,9.9,0.291500861,85,18.17513615,0.1841338,1.141769646,0.6096,0.126,0.23,0.349800671,0.172794115,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA
136,Bidens pilosa,NA,NA,32.45,NA,NA,NA,2.143,98.5,30.58150701,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,Blepharipappus scaber,NA,NA,NA,NA,NA,NA,1.03,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,Boechera holboellii,NA,NA,NA,0.6096,NA,NA,0.136033333,NA,NA,NA,NA,0.1524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,Boerhavia diffusa,NA,NA,NA,NA,NA,NA,2.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,Boerhavia spicata,NA,NA,NA,NA,NA,NA,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,Bothriochloa ischaemum,NA,NA,12.85,0.5703,NA,NA,0.473065514,NA,18.4459459,0.1865,NA,0.3048,0.4,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,Bothriochloa laguroides,NA,NA,NA,NA,NA,NA,0.56,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,Bothriochloa pertusa,NA,NA,NA,0.9144,NA,NA,1.010748792,NA,NA,NA,NA,0.3048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,Bouteloua aristidoides,NA,NA,15.9,NA,NA,NA,0.895,65,12.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,Bouteloua curtipendula,NA,NA,15,0.682104762,NA,NA,1.754335036,90,18.17607803,NA,NA,0.3048,NA,NA,0.525176059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,Bouteloua gracilis,NA,NA,13.23705157,0.3048,NA,NA,0.483068356,NA,19.7,0.053,NA,0.4064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,Brachypodium distachyon,NA,NA,NA,0.1005,NA,NA,3.264391892,98.75,30.85889908,0.21368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,Brachypodium pinnatum,1898,458.9566667,18.10766667,0.540866667,NA,NA,2.925156667,96.2,23.9927357,0.131,1.144669268,NA,3.1448,0.86,0.362333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,Brachypodium retusum,NA,NA,7.1,0.4,NA,NA,3.1587,NA,12.40924826,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,Bridgesia incisifolia,NA,NA,NA,NA,NA,NA,244.64,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,Briza maxima,NA,NA,10.2,0.6096,NA,NA,3.341682971,93.66666667,68.9,NA,NA,0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,Briza media,644,471.8566667,19.10016667,0.41946,NA,NA,0.363485185,96,20.92775774,0.14667,1.321732675,NA,0.500666667,1.11,0.294116667,NA,NA,NA,NA,NA,0.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,Briza minor,NA,NA,NA,NA,NA,NA,0.3085,93.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,Brodiaea elegans,NA,NA,NA,NA,NA,NA,0.613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,Bromus arvensis,1075.423333,NA,NA,0.749266667,NA,NA,2.038248706,NA,20.484,NA,NA,0.3048,2.577,0.8825,0.27316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,Bromus carinatus,1716,NA,NA,1.2096,NA,NA,6.373869143,98,20.6,NA,NA,0.2032,NA,1,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,Bromus catharticus,NA,NA,NA,0.9572,NA,NA,9.006024135,96.25,35,NA,NA,0.3048,NA,1.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,Bromus diandrus,NA,NA,NA,NA,NA,NA,11.21666667,96,39,NA,NA,NA,NA,NA,0.289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,Bromus erectus,595.375,421,18.81892435,0.717333333,NA,NA,3.820615152,86.33333333,21.09580137,NA,NA,NA,4.383,1.0625,0.312719258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,Bromus hordeaceus,250.75,421.1,25.57289667,0.6899,398.7,10.2,2.302186894,100,27.25455017,0.166,NA,0.254,3.270666667,1.0775,0.289967778,NA,NA,NA,NA,NA,0.307,-29.12,0.2,NA,NA,NA,NA,NA,NA,NA,NA
161,Bromus inermis,1924.291667,450.6212311,21.49936399,0.76518,NA,NA,2.963723205,NA,17.7899321,NA,NA,0.3048,4.217,0.836666667,0.380989092,0.113692583,NA,34.0853548,27.87690334,NA,0.152911037,NA,NA,NA,1.502406621,NA,NA,NA,NA,NA,NA
162,Bromus japonicus,396.8,NA,NA,0.424044444,NA,NA,2.18925,100,19.31803729,0.2375,NA,NA,NA,1.04,0.287296667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,Bromus kalmii,NA,NA,NA,0.8117,NA,NA,2.539423871,NA,28.38599249,NA,NA,0.2032,NA,NA,0.375681455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,Bromus rubens,NA,NA,NA,0.39624,NA,NA,2.347431522,100,NA,NA,NA,0.2032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,Bromus setifolius,NA,NA,NA,NA,NA,NA,6.955833333,NA,NA,0.271666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,Bromus sterilis,467.3333333,NA,27.9,0.658333333,NA,NA,7.269666667,100,30.5349098,0.148666667,NA,NA,7.923,1.215,0.23075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,Bromus tectorum,492.4930367,NA,NA,0.53975,NA,NA,2.667925682,95.2,25.60655894,0.162,NA,NA,3.1545,1.06,0.152666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,Buglossoides arvensis,NA,NA,NA,0.2183,NA,NA,5.867777778,NA,17.93814433,0.1786,NA,NA,5.472,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,Bulbine bulbosa,1000,NA,NA,0.4,NA,NA,2.696666667,88,33.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,Bupleurum fruticescens,NA,NA,NA,1,NA,NA,2.4285,NA,8.123783793,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,Caladenia carnea,158.80898,NA,NA,0.135,NA,NA,NA,NA,20.36104461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,Calamagrostis canadensis,NA,NA,14.89333333,0.99676,NA,NA,0.104506676,NA,20.59517647,NA,NA,0.4532,NA,NA,NA,0.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,Calamagrostis stricta,1760.45,NA,13.8,1,NA,8.9,NA,NA,18.50666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,Calamagrostis viridiflavescens,NA,NA,NA,0.487958333,NA,NA,NA,NA,NA,0.128571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,Calamovilfa longifolia,933.7365625,462.51125,13.59,1.3716,NA,NA,1.36645721,NA,10.96892152,NA,NA,0.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,Calandrinia ciliata,NA,NA,NA,NA,NA,NA,0.587,91.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,Calluna vulgaris,0.9735,527.1727778,13.57486595,0.555785714,NA,4.11401,0.031883333,55,14.28693018,0.326296296,1.175744676,NA,NA,NA,0.34648674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,Calochortus nuttallii,NA,NA,NA,NA,NA,NA,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,Calotis cymbacantha,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,Calotis hispidula,61.00506333,NA,NA,0.103333333,NA,NA,2.290166667,93,11.56636819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,Calotis lappulacea,67,NA,NA,0.5,NA,NA,NA,NA,15.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,Calystegia sepium,3208,460.0533841,31.5672044,1.907875,NA,NA,29.94385,100,31.93306034,0.17,NA,NA,NA,NA,0.184,NA,NA,NA,NA,NA,NA,NA,NA,3463,NA,NA,NA,NA,NA,NA,NA
183,Calytrix tetragona,NA,NA,9.5,NA,NA,NA,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,Camassia quamash,NA,NA,NA,0.70104,NA,NA,4.15782155,75,NA,NA,NA,0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,Camissonia dentata,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,Camissonia ovata,NA,NA,NA,NA,NA,NA,0.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,Camissonia palmeri,NA,NA,NA,NA,NA,NA,0.15675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,Campanula patula,NA,NA,NA,0.4375,NA,NA,0.023595,97,33.98333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,Campanula rotundifolia,73.39830818,NA,21.08333333,0.34,NA,NA,0.062491111,95,22.94812699,0.176,NA,NA,NA,NA,0.274815946,NA,NA,NA,NA,NA,3.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,CAPSELLA BURSA-PASTORIS,2254.833333,NA,NA,0.300833333,NA,NA,0.256729236,95.5,29.36462875,0.231,NA,NA,NA,NA,0.157816712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Cardamine oligosperma,NA,NA,NA,0.51816,NA,NA,0.650301274,NA,NA,NA,NA,0.1524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,Carduus acanthoides,4663.9475,NA,NA,1.075,NA,NA,2.611666667,96,19.6,NA,NA,NA,2.167,0.72,0.130632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,Carduus crispus,5082,NA,NA,1.4625,NA,NA,1.643233333,82,23.6,NA,NA,NA,1.293333333,NA,0.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,Carduus nutans,4599,NA,33,1.15,NA,NA,3.338333333,84,12.96666667,NA,NA,NA,NA,0.9,0.127666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,Carduus pycnocephalus,NA,NA,8.2,NA,NA,NA,4.4605,96.66666667,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,Carex andina,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,Carex arenaria,782.81,NA,19.12604168,0.384259259,NA,NA,0.942133333,89.33333333,14.42164292,NA,NA,NA,0.718,0.74,0.346,0.229309163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,Carex binervis,NA,NA,NA,1,NA,NA,1.509085714,56,10.6,NA,NA,NA,1.277666667,1.273333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,Carex breviculmis,48.29506,NA,NA,0.05,NA,NA,NA,NA,14.60009466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,Carex brevior,NA,NA,NA,0.254,NA,NA,0.89,82.75,21.15675902,NA,NA,NA,NA,NA,0.336249527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,Carex caryophyllea,387.5,NA,18,0.223333333,NA,NA,1.16024,87,18.76023077,NA,NA,NA,1.318333333,1.1,0.31,NA,NA,NA,NA,NA,0.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,Carex curvula,NA,NA,NA,NA,NA,NA,2.08,NA,9.999104145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,Carex echinata,218,NA,NA,0.33305,NA,NA,1.128695833,91,15.53,NA,NA,0.2032,0.882,0.733333333,0.369441578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,Carex filifolia,NA,NA,NA,0.33528,NA,NA,2.9,NA,NA,0.2,NA,0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,Carex flacca,604.82,NA,17.07498081,0.37125,NA,NA,0.907915278,76.66666667,14.4018786,NA,NA,NA,0.954333333,1.116666667,0.33475,NA,NA,NA,NA,NA,1.093116308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,Carex hirta,1285.8,410.3594006,21.47441048,0.552166667,NA,NA,2.782166667,88,17.50352785,NA,NA,NA,NA,1.666666667,0.293471111,NA,NA,NA,NA,NA,NA,NA,NA,1683.999253,NA,NA,NA,NA,NA,NA,NA
207,Carex liparocarpos,NA,432.6633333,20.95166667,NA,NA,NA,3.257,NA,25.83979328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,Carex meadii,NA,NA,NA,0.2292,NA,NA,3.0375,NA,12.74334258,NA,NA,NA,NA,NA,0.443826127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,Carex nigra,159.1766667,461.6261691,24.40009307,0.388666667,NA,NA,0.746409524,69,20.83559904,0.1935,1.687850506,NA,0.704,0.676666667,0.338250914,0.240076426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,Carex panicea,611,NA,16.1715862,0.31,NA,NA,2.369626667,75,17.69830765,NA,NA,NA,1.953,1.696666667,0.389868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,Carex phalaroides,NA,NA,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,Carex pilulifera,510.825,NA,27.98325592,0.225625,NA,NA,1.042183297,71.5,19.13235729,NA,NA,NA,1.17,1.266666667,0.318184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,Carex vaginata,323.35,511.8140367,18.61912693,0.1875,NA,NA,1.88625,NA,18.82029622,NA,NA,NA,NA,1.67,0.264443333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,Carlina vulgaris,665.2333333,NA,15.78260486,0.385,NA,NA,1.423285714,75,22.08870347,NA,NA,NA,1.14,0.82,0.097973333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,Celmisia costiniana,NA,NA,NA,NA,NA,NA,2.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,Cenchrus ciliaris,NA,NA,18.5,0.9144,NA,NA,1.262496311,94,NA,NA,NA,0.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,Centaurea jacea,NA,435.6,25.06160617,0.8275,NA,11.34202,1.478422222,83.66666667,21.9478316,NA,1.33955682,NA,2,1,0.219053333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,Centaurea melitensis,167,NA,NA,1,NA,NA,1.407,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,Centaurea scabiosa,4352,NA,22.3,0.9625,NA,NA,6.543224242,82.5,16.2315625,NA,NA,NA,6.89,0.91,0.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,Centaurium pulchellum,16.60666667,NA,NA,0.106666667,NA,NA,0.016865,100,44.47,NA,NA,NA,NA,NA,0.183026667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,Centella asiatica,NA,NA,NA,0.112586207,NA,NA,1.501,NA,NA,0.477018634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,Centipeda cunninghamii,13,NA,NA,0.2,NA,NA,0.0416,NA,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,Cephalipterum drummondii,NA,NA,NA,NA,NA,NA,7.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,Cerastium arvense,NA,NA,NA,0.188888889,NA,NA,0.206783333,100,21.10181624,NA,NA,NA,NA,NA,0.24209686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,Cerastium fontanum,182.59075,437.38,24.9755,0.218333333,NA,NA,0.138767778,100,25.83139407,0.225,1.115787271,NA,NA,NA,0.13025,NA,NA,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,Cerastium glomeratum,176.6666667,NA,NA,0.249,NA,NA,0.049536,98,23.38503171,0.226,NA,NA,NA,NA,0.159498889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,Cercis canadensis,NA,NA,NA,3.198266667,NA,NA,24.27637384,NA,20.20267418,0.14175,NA,0.6096,NA,NA,0.397083006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,Chaenactis fremontii,NA,NA,11,NA,NA,3.35,1.0225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
