,site_code,Taxon,n_treat_years,sum.ctrl.cover,mean.ctrl.cover,sum.drt.cover,mean.drt.cover,sum.cover.response,mean.cover.response
1414,capmcd.us,DICHELOSTEMMA CAPITATUM,1,1.5,0.5,1.5,0.5,0,0
1417,capmcd.us,ENCELIA FARINOSA,1,0,0,0.5,0.5,0.5,0.5
1423,capmcd.us,ERODIUM TEXANUM,1,1,1,0.5,0.5,-0.5,-0.5
1424,capmcd.us,EUPHORBIA POLYCARPA,1,11,2.75,6,1.5,-5,-1.25
1433,capmcd.us,LOGFIA ARIZONICA,1,0.5,0.5,0,0,-0.5,-0.5
1435,capmcd.us,OTTLEYA STRIGOSA,1,1,0.5,1,1,0,0.5
1437,capmcd.us,PECTOCARYA HETEROCARPA,1,0.5,0.5,0,0,-0.5,-0.5
1440,capmcd.us,PECTOCARYA RECURVATA,1,36.5,5.214285714,20,2.857142857,-16.5,-2.357142857
1444,capmcd.us,PHYSARIA GORDONII,1,0.5,0.5,0,0,-0.5,-0.5
1447,capmcd.us,PLANTAGO OVATA,1,61,8.714285714,166,23.71428571,105,15
1451,capmcd.us,PLANTAGO PATAGONICA,1,1.5,0.75,4,4,2.5,3.25
1454,capmcd.us,SCHISMUS ARABICUS,1,237,33.85714286,176,25.14285714,-61,-8.714285714
1458,capwhite.us,ACMISPON MARITIMUS,1,2.5,1.25,3.5,0.875,1,-0.375
1462,capwhite.us,ASTRAGALUS NUTTALLIANUS,1,1,0.5,1.5,0.75,0.5,0.25
1463,capwhite.us,CHAENACTIS STEVIOIDES,1,0.5,0.5,0,0,-0.5,-0.5
1464,capwhite.us,CHORIZANTHE BREVICORNU,1,1.5,0.5,1,0.5,-0.5,0
1466,capwhite.us,CRASSULA CONNATA,1,0.5,0.5,0,0,-0.5,-0.5
1471,capwhite.us,LOGFIA ARIZONICA,1,6.5,0.928571429,23.5,4.7,17,3.771428571
1473,capwhite.us,LUPINUS SPARSIFLORUS,1,1.5,1.5,0,0,-1.5,-1.5
1475,capwhite.us,MONOPTILON BELLIOIDES,1,0.5,0.5,0.5,0.5,0,0
1476,capwhite.us,OTTLEYA STRIGOSA,1,1.5,0.5,3,0.6,1.5,0.1
1478,capwhite.us,PECTOCARYA HETEROCARPA,1,2.5,1.25,0,0,-2.5,-1.25
1481,capwhite.us,PECTOCARYA PLATYCARPA,1,2.5,1.25,0.5,0.5,-2,-0.75
1484,capwhite.us,PECTOCARYA RECURVATA,1,1,0.5,2.5,0.5,1.5,0
1487,capwhite.us,PHYSARIA GORDONII,1,0.5,0.5,1,0.5,0.5,0
1490,capwhite.us,PLANTAGO OVATA,1,38,9.5,32,4.571428571,-6,-4.928571429
1493,capwhite.us,PLANTAGO PATAGONICA,1,6,1.5,2,1,-4,-0.5
1496,capwhite.us,SCHISMUS ARABICUS,1,250,35.71428571,54,7.714285714,-196,-28
1499,capwhite.us,VULPIA OCTOFLORA,1,1,0.5,0,0,-1,-0.5
1501,cdpt_drt.us,ARISTIDA PURPUREA,1,6,6,13,4.333333333,7,-1.666666667
1502,cdpt_drt.us,ARTEMISIA FILIFOLIA,1,8,8,0,0,-8,-8
