Taxon,Taxonomic.status,Taxon.update,Taxon.notes,LA_mm2,leafC.mg.g,leafN.mg.g,height.m,rootC.mg.g,rootN.mg.g,seed.dry.mass.mg,SLA_m2/kg,leaf.thickness.mm,root.depth_m,RTD.g.cm3,fineRTD,LDMC.g.g,SRL_m/g,fineSRL_m/g,rootDiam.mm,Fine.root.C.N.ratio,Root.Shoot.Ratio,Notes,Notes.2,site_name,Family,local_lifeform,local_lifespan,functional_group,SOURCES
MUHLENBERGIA RICHARDSONIS,Accepted,MUHLENBERGIA RICHARDSONIS,,,,20.5218701,0.1524,,,0.301932367,13.97,,0.1524,,,,,,,,,,,Kernen_burned,Poaceae,GRAMINOID,PERENNIAL,GRASS,
MYOSOTIS STRICTA,Accepted,MYOSOTIS STRICTA,,36.88333333,,,0.136666667,,,0.2314575,21.00716667,,,,,0.180273333,,,,,0.067,,,Kiskunsag,Boraginaceae,FORB,ANNUAL,FORB,
NAMA ARETIOIDES,Accepted,NAMA ARETIOIDES,,,,,,,,0.122,,,,,,,,,,,,,,NNSS_Mojave,Boraginaceae,FORB,ANNUAL,FORB,
NARDOPHYLLUM BRYOIDES,Accepted,NARDOPHYLLUM BRYOIDES,,,,,,,4.333333333,,,,,,,,,,,,,RootN from groot,,Potrok Aike Drt,Compositae,SHRUB,PERENNIAL,WOODY,
NARTHECIUM OSSIFRAGUM,Accepted,NARTHECIUM OSSIFRAGUM,,1087,,24.7,0.2325,,,0.089244848,24.15,,0.22,,,0.159,,,,,,,,Lygra_old,Nartheciaceae,FORB,NULL,FORB,
NASSAUVIA ACULEATA,Unresolved,,NA,,,,,,,,,,,,,,,,,,,,,Potrok Aike Drt,Compositae,FORB,PERENNIAL,FORB,
NASSAUVIA DARWINII,Accepted,NASSAUVIA DARWINII,,,,,,,,,,0.12,,,,,,,,,,,,Potrok Aike Drt,Compositae,FORB,PERENNIAL,FORB,
NASSELLA LONGIGLUMIS,Accepted,NASSELLA LONGIGLUMIS,,,,35.04,,,,8.85,,,,,,,,,,,,,,Chacra Experimental Patagones,Poaceae,GRASS,PERENNIAL,GRASS,
NASSELLA NEESIANA,Accepted,NASSELLA NEESIANA,,,,14.2304221,0.8,,,7.1,16,,,,,0.389,,,,,,,,Naposta,Poaceae,GRASS,PERENNIAL,GRASS,
NASSELLA TENUIS,Accepted,NASSELLA TENUIS,,,,,,,,,,,0.5,,,,,,,,,,,"Chacra Experimental Patagones, Monte Oriental, San Pablo Valdes Drt",Poaceae,GRASS,PERENNIAL,GRASS,
NASSELLA TRICHOTOMA,Accepted,NASSELLA TRICHOTOMA,,74.3516667,,,0.7,,,0.32,11.297312,,,,,0.44529365,,,0.77666667,,0.55345953,,,Naposta,Poaceae,GRASS,PERENNIAL,GRASS,
NAVARRETIA INTERTEXTA SSP. PROPINQUA,Accepted,NAVARRETIA INTERTEXTA SSP. PROPINQUA,,,,,,,,,,,,,,,,,,,,,,"ORE IDE AA, ORE IDE AC",Polemoniaceae,FORB,ANNUAL,FORB,
NEOTTIA OVATA,Accepted,NEOTTIA OVATA,,3612.756,,,0.32,,,,30.18571429,,,,,0.11642,,,,,,,,Pineta,Orchidaceae,FORB,NULL,FORB,
NEPTUNIA LUTEA,Accepted,NEPTUNIA LUTEA,,,,,,,,,,,,,,,,,,,,,,SLP,Fabaceae,LEGUME,PERENNIAL,LEGUME,
NEURACHNE ALOPECUROIDEA,Accepted,NEURACHNE ALOPECUROIDEA,,818.4225,,,0.5,,,1.40524,7.6793,,,,,0.3465175,,,,,,,,Jilpanger,Poaceae,GRASS,PERENNIAL,GRASS,
NOTHOCALAIS TROXIMOIDES,Accepted,NOTHOCALAIS TROXIMOIDES,,,,,,,,2.85,,,,,,,,,,,,,,ORE IDE AA,Compositae,FORB,PERENNIAL,FORB,
NOTICASTRUM SERICEUM,Accepted,NOTICASTRUM SERICEUM,,,,30.175,,,,,36.99,,,,,,,,,,,,,"Chacra Experimental Patagones, San Pablo Valdes Drt",Compositae,FORB,PERENNIAL,FORB,
OLDENLANDIA PTEROSPORA,Accepted,OLDENLANDIA PTEROSPORA,,,,,0.25,,,0.27,,,,,,,,,,,,,,Ethabuka_DNB,Rubiaceae,FORB,ANNUAL,FORB,
ONONIS MINUTISSIMA,Accepted,ONONIS MINUTISSIMA,,,,,,,,,,,,,,,,,,,,,,Ayora Experimental Station,Fabaceae,SUBSHRUB,PERENNIAL,LEGUME,
OPUNTIA PHAEACANTHA,Accepted,OPUNTIA PHAEACANTHA,,,,,,,,20.15,,,,,,,,,,,,,,Sevilleta_Black,Cactaceae,SUCCULENT,PERENNIAL,CACTUS,
OPUNTIA POLYACANTHA,Accepted,OPUNTIA POLYACANTHA,,,,,0.6096,,,10.38171914,,,0.3048,,,,,,,,,,,"Cedar Point - Drought-Net, North Platte",Cactaceae,SUCCULENT,PERENNIAL,FORB,
OREOCHLOA DISTICHA,Accepted,OREOCHLOA DISTICHA,,39,469,22,0.115,,,,9.2,,,,,,,,,,,,,Passo Gavia,Poaceae,GRASS,PERENNIAL,GRASS,
ORTHOCARPUS TOLMIEI,Accepted,ORTHOCARPUS TOLMIEI,,,,,,,,0.39,,,,,,,,,,,,,,Hardware Ranch,Scrophulariaceae,FORB,ANNUAL,FORB,
OTTLEYA STRIGOSA,Accepted,OTTLEYA STRIGOSA,,,,,,,,,,,,,,,,,,,,,,"Cap Mcdowell, Cap Whitetank",Fabaceae,LEGUME,ANNUAL,LEGUME,
OXALIS ACETOSELLA,Accepted,OXALIS ACETOSELLA,,806,460.3514279,28.21760537,0.104166667,,5.86667,1.149666667,64.32508321,0.116833333,,,,0.130571501,,,0.1,,,,,Pineta,Oxalidaceae,FORB,NULL,FORB,
OXALIS CONORRHIZA,Accepted,OXALIS CONORRHIZA,,,,,0.1176,,,,42.67,,,,,,,,,,,,,"Las Chilcas Drt, EEA, Naposta, SantaCruzHigh, Ukulinga Drought, Yarramundi Drt",Oxalidaceae,FORB,"PERENNIAL, ANNUAL (Yarramundi Drt)",FORB,
OXALIS DILLENII,Accepted,OXALIS DILLENII,,,,,0.188478161,,,0.220520833,41.82566697,0.08,,,,0.172479399,,,,,,,,"BFL, SLP",Oxalidaceae,FORB,PERENNIAL,FORB,
OXALIS ENNEAPHYLLA,Accepted,OXALIS ENNEAPHYLLA,,,,,,,,,,,,,,,,,,,,,,Potrok Aike Drt,Oxalidaceae,FORB,PERENNIAL,FORB,
OXALIS STRICTA,Accepted,OXALIS STRICTA,,304.06,447.2,34.9,0.4,,,0.191666667,57.7,0.121,,,,0.1453,,,,,,,,"Bivens Arm, Konza Drt, Oklahoma (KAEFS-OK)",Oxalidaceae,FORB,PERENNIAL,FORB,
OXYTHECA PERFOLIATA,Accepted,OXYTHECA PERFOLIATA,,,,,,,,0.405,,,,,,,,,,,,,,NNSS_Mojave,Polygonaceae,FORB,ANNUAL,FORB,
PACKERA CANA,Accepted,PACKERA CANA,,,,,0.4572,,,0.618610306,,,0.3048,,,,,,,,,,,"CMSS, ORE IDE AA",Compositae,FORB,PERENNIAL,FORB,
PANICUM ACUMINATUM,Accepted,PANICUM ACUMINATUM,,259.2476635,452.1332424,17.50836364,0.238666667,,,0.307772727,21.67056595,,,,,,,,,65.05603799,0.239290273,,,"Cedar Creek Savanna, Cedar Creek Trait , Sandhills, SantaCruzHigh",Poaceae,GRASS,PERENNIAL,GRASS,
PANICUM BERGII,Accepted,PANICUM BERGII,,,,,,,,,,,,,,,,,,,,,,Las Chilcas Drt,Poaceae,NULL,NULL,GRASS,
PANICUM BRACHYANTHUM,Accepted,PANICUM BRACHYANTHUM,,,,,,,,,,,,,,,,,,,,,,SLP,Poaceae,GRASS,ANNUAL,GRASS,
PANICUM COMMUTATUM,Accepted,PANICUM COMMUTATUM,,,,,1.49352,,,2.156659765,,,,,,,,,,,,,,Sandhills,Poaceae,GRASS,PERENNIAL,GRASS,
PANICUM GOUINII,Accepted,PANICUM GOUINII,,,,,,,,,,,,,,,,,,,,,,Las Chilcas Drt,Poaceae,NULL,NULL,GRASS,
PANICUM HIRTICAULE,Accepted,PANICUM HIRTICAULE,,,,,,,,0.71,,,,,,,,,,,,,,Jornada_LTER Drt,Poaceae,GRASS,ANNUAL,GRASS,
PANICUM OLIGOSANTHES,Accepted,PANICUM OLIGOSANTHES,,277.6981102,447.4081176,17.37461517,0.38,,,1.25025,22.63325572,,,,,0.286107543,,,,72.72974789,0.174156834,,,"Cedar Creek Savanna, Cedar Creek Trait ",Poaceae,GRASS,PERENNIAL,GRASS,
PANICUM SABULORUM,Accepted,PANICUM SABULORUM,,,,,0.258884374,,,,24,0.112804878,,,,0.255,,,,,,,,"Las Chilcas Drt, EEA",Poaceae,GRASS,PERENNIAL,GRASS,
PANICUM URVILLEANUM,Accepted,PANICUM URVILLEANUM,,,,,,,,,,,,,,,,,,,,,,San Pablo Valdes Drt,Poaceae,GRASS,PERENNIAL,GRASS,
PAPPOPHORUM CAESPITOSUM,Accepted,PAPPOPHORUM CAESPITOSUM,,,,20.7,0.42,,,,10.705,,,,,0.351,,,,,,,,Naposta,Poaceae,GRASS,PERENNIAL,GRASS,
PAPPOPHORUM KRAPOVICKASII,Accepted,PAPPOPHORUM KRAPOVICKASII,,,,,,,,0.71,,,,,,,,,,,,,,Los Cerrillos,Poaceae,GRASS,PERENNIAL,GRASS,
PAPPOPHORUM MUCRONULATUM,Accepted,PAPPOPHORUM MUCRONULATUM,,,,,,,,1.64,,,,,,,,,,,,,,"Chacra Experimental Patagones, Monte Oriental",Poaceae,GRASS,PERENNIAL,GRASS,
PAPPOSTIPA SPECIOSA,Unresolved,,"synonym: Stipa speciosa, synonym already listed, at different sites",,,,0.6096,,,3.624294149,4.202740187,0.42,0.254,,,,,,,,,,,"Monte Oriental, San Pablo Valdes Drt",Poaceae,GRASS,PERENNIAL,GRASS,
PARTHENIUM INTEGRIFOLIUM,Accepted,PARTHENIUM INTEGRIFOLIUM,,1480.91,430.9,15.3,0.7746,,,3.08,10.84,,1.8,,,0.26414,,,,,,depth from groot,,Sandhills,Compositae,FORB,PERENNIAL,FORB,
PASPALIDIUM CLEMENTII,Accepted,PASPALIDIUM CLEMENTII,,165.75,,6.25,0.4,,,0.6065,,,,,,,,,,,,,,"CredoJ, CredoM",Poaceae,GRASS,ANNUAL,GRASS,
PASPALIDIUM PALUDIVAGUM,Accepted,PASPALIDIUM PALUDIVAGUM,,,,,,,,,,,,,,,,,,,,,,Las Chilcas Drt,Poaceae,GRASS,PERENNIAL,GRASS,
PASPALUM GARDNERIANUM,Accepted,PASPALUM GARDNERIANUM,,,,,,,,,,,,,,,,,,,,,,Guaribas,Poaceae,GRAMINOID,PERENNIAL,GRASS,
PASPALUM QUADRIFARIUM,Accepted,PASPALUM QUADRIFARIUM,,,,10,2,,,,2.825,,,,,,,,,,,,,San Claudio,Poaceae,GRASS,PERENNIAL,GRASS,
PASPALUM SETACEUM,Accepted,PASPALUM SETACEUM,,,,,,,,0.98,,,1.16,,,,,,,,,,,"BFL, Bivens Arm, Oklahoma (KAEFS-OK)",Poaceae,GRASS,PERENNIAL,GRASS,
PASPALUM VAGINATUM,Accepted,PASPALUM VAGINATUM,,,,3.6045301,0.03048,,15.6,1.09660666,10.41,,0.1524,,,,,,,,,,,Las Chilcas Drt,Poaceae,GRASS,PERENNIAL,GRASS,
PAVONIA CYMBALARIA,Accepted,PAVONIA CYMBALARIA,,,,,,,,,,,,,,,,,,,,,,Naposta,Malvaceae,SHRUB,PERENNIAL,WOODY,
PECTOCARYA HETEROCARPA,Accepted,PECTOCARYA HETEROCARPA,,,,,,,,,,,,,,,,,,,,,,"Cap Mcdowell, Cap Whitetank, Gmdrc Granitecove, Gmdrc Molar Junction",Boraginaceae,FORB,ANNUAL,FORB,
PECTOCARYA LINEARIS,Accepted,PECTOCARYA LINEARIS,,,,,,,,,,,,,,,,,,,,,,San Pablo Valdes Drt,Boraginaceae,FORB,ANNUAL,FORB,
PECTOCARYA PLATYCARPA,Accepted,PECTOCARYA PLATYCARPA,,,,,,,,0.539,,,,,,,,,,,,,,"Cap Mcdowell, Cap Whitetank, Gmdrc Granitecove, Gmdrc Molar Junction",Boraginaceae,FORB,ANNUAL,FORB,
PECTOCARYA RECURVATA,Accepted,PECTOCARYA RECURVATA,,,,,,,,0.78,,,,,,,,,,,,,,"Cap Mcdowell, Cap Whitetank, Gmdrc Granitecove, Gmdrc Molar Junction, NNSS_Mojave",Boraginaceae,FORB,ANNUAL,FORB,
PECTOCARYA SETOSA,Accepted,PECTOCARYA SETOSA,,,,,,,,,,,,,,,,,,,,,,Gmdrc Molar Junction,Boraginaceae,FORB,ANNUAL,FORB,
PEDICULARIS SYLVATICA,Accepted,PEDICULARIS SYLVATICA,,12,,,0.161666667,,24.01,0.97425,11.55,,,,,0.162,,,,,,RootN from groot,,Lygra_intermediate,Scrophulariaceae,FORB,NULL,FORB,
PELARGONIUM RODNEYANUM,Unresolved,,NA,814.595,,,0.4,,,3.4,16.370301,,,,,0.2368,,,,,,,,Jilpanger,Geraniaceae,FORB,PERENNIAL,FORB,
PENSTEMON ALBIDUS,Accepted,PENSTEMON ALBIDUS,,218.4,,16.68,0.13425,,,0.6,9.692319451,0.337,,,,0.271293,,,,,,,,Cedar Point - Drought-Net,Scrophulariaceae,GRASS,PERENNIAL,FORB,
PENSTEMON GRACILIS,Accepted,PENSTEMON GRACILIS,,,,,,,,0.06,,,,,,,,,,,,,,Cedar Creek Savanna,Scrophulariaceae,FORB,PERENNIAL,FORB,
PENTANISIA ANGUSTIFOLIA,Accepted,PENTANISIA ANGUSTIFOLIA,,,,,,,,7.2,,,,,,,,,,,,,,Ukulinga Drought,Rubiaceae,FORB,PERENNIAL,FORB,
PERAMA HIRSUTA,Accepted,PERAMA HIRSUTA,,,,,,,,,,,,,,,,,,,,,,Guaribas,Rubiaceae,FORB,ANNUAL,FORB,
PEREZIA RECURVATA,Accepted,PEREZIA RECURVATA,,,,,,,,,,0.22,0.35,,,,,,,,,,,Potrok Aike Drt,Compositae,FORB,PERENNIAL,FORB,
PERIDERIDIA OREGANA,Accepted,PERIDERIDIA OREGANA,,,,,,,,1.9895,,,,,,,,,,,,,,"ORE IDE AA, ORE IDE AC",Apiaceae,FORB,PERENNIAL,FORB,
PERSICARIA VIVIPARA,Accepted,PERSICARIA VIVIPARA,,311,441,21.5,0.283,,,,22,,,,,,,,,,,,,Passo Gavia,Polygonaceae,FORB,PERENNIAL,FORB,
PETALOSTEMON CANDIDUS,Accepted,PETALOSTEMON CANDIDUS,,,,,0.544,,,,,,1.7018,,,,,,,,,depth from groot,,Cedar Creek Trait,Fabaceae,FORB,PERENNIAL,LEGUME,
PETALOSTEMON PURPUREUS,Accepted,PETALOSTEMON PURPUREUS,,,,,0.688,,,,,,1.9812,,,,,,,,,depth from groot,,Cedar Creek Trait,Fabaceae,FORB,PERENNIAL,LEGUME,
PHALARIS CAROLINIANA,Accepted,PHALARIS CAROLINIANA,,,,,,,,,,,,,,,,,,,,,,SLP,Poaceae,GRASS,ANNUAL,GRASS,
PHEBALIUM SQUAMULOSUM,Unresolved,brookdale.ca,synonym: Eriostemon lepidotus,65.4907,,17.6,1.375,,,1.143,4.958314675,,,,,,,,,,,,,Falls Creek,Rutaceae,SHRUB,PERENNIAL,WOODY,
PHLEUM ALPINUM,Accepted,PHLEUM ALPINUM,,220.316,480.1262042,24.71901341,0.19724,424.1432219,9.103855654,0.367538286,20.58967646,0.17075,0.254,,,0.358009591,73.35000002,,0.25,,,"RootC and N, SRL from groot",,Passo Gavia,Poaceae,GRASS,PERENNIAL,GRASS,
PHLOX MULTIFLORA,Accepted,PHLOX MULTIFLORA,,,,,,,,,,,,,,,,,,,,,,CMSS,Polemoniaceae,FORB,PERENNIAL,FORB,
PHYLA CANESCENS,Accepted,PHYLA CANESCENS,,,,,,,,,,,,,,,,,,,,,,Las Chilcas Drt,Verbenaceae,NULL,NULL,FORB,
PHYLA NODIFLORA,Accepted,PHYLA NODIFLORA,,,,,0.06096,,,0.417,,,0.1524,,,,,,,,,,,Mar Chiquita Drt,Verbenaceae,FORB,PERENNIAL,FORB,
PHYLLANTHUS POLYGONOIDES,Accepted,PHYLLANTHUS POLYGONOIDES,,,,,,,,,,,,,,,,,,,,,,BFL,Phyllanthaceae,FORB,PERENNIAL,FORB,
PHYSALIS HEDERIFOLIA,Accepted,PHYSALIS HEDERIFOLIA,,,,,,,,,,,,,,,,,,,,,,JRN_Chihuahuan,Solanaceae,FORB,ANNUAL,FORB,
PHYSARIA GORDONII,Accepted,PHYSARIA GORDONII,,,,,,,,0.665,,,,,,,,,,,,,,"Cap Mcdowell, Cap Whitetank",Brassicaceae,FORB,ANNUAL,FORB,
PHYTEUMA HEMISPHAERICUM,Accepted,PHYTEUMA HEMISPHAERICUM,,43,489,27,0.1,,,0.101,19.5,,,,,,,,,,,,,Passo Gavia,Campanulaceae,FORB,PERENNIAL,FORB,
PILOSELLA AURANTIACA,Accepted,PILOSELLA AURANTIACA,,1815.125,513.69361,14.23505,0.358333333,,,0.138166667,29.759314,,,,,0.161900947,,,,,,,,"Bayreuth_DroughtNet, Teshio Experimental Grassland",Compositae,FORB,PERENNIAL,FORB,
PIMELEA ALPINA,Accepted,PIMELEA ALPINA,,15.388,,,0.3,,,2.613,10.434151,,,,,0.365789474,,,,,,,,Falls Creek,Thymelaeaceae,SHRUB,PERENNIAL,WOODY,
PIMELEA HUMILIS,Accepted,PIMELEA HUMILIS,,113.097,,,0.5,,,2.30932,22.44,,,,,0.1537,,,,,,,,Jilpanger,Thymelaeaceae,SHRUB,PERENNIAL,WOODY,
PINUS HALEPENSIS,Accepted,PINUS HALEPENSIS,,,523.5369973,13.51749374,20.83333333,,11.83333333,21.02131667,8.860462216,0.5947,,,,,,,,,,RootN from groot,,Ayora Experimental Station,Pinaceae,TREE,PERENNIAL,WOODY,
PINUS PALUSTRIS,Accepted,PINUS PALUSTRIS,,,,10.6,23.39466667,439.3,8.497036038,100.6199908,4.492397729,,1.016,,,,13.76,,0.71,,,"RootN, SRL, Diam from groot",,"Bivens Arm, Sandhills",Pinaceae,TREE,PERENNIAL,WOODY,
PIPTOCHAETIUM NAPOSTAENSE,Accepted,PIPTOCHAETIUM NAPOSTAENSE,,,,,,,,6.28,,,0.6,,,,,,,,,depth from groot,,"Monte Oriental, San Pablo Valdes Drt",Poaceae,GRASS,PERENNIAL,GRASS,
PITYOPSIS ASPERA,Unresolved,,a few different synonyms,,,,,,,,,,,,,,,,,,,,,Sandhills,Compositae,FORB,PERENNIAL,FORB,
PLAGIOBOTHRYS ARIZONICUS,Accepted,PLAGIOBOTHRYS ARIZONICUS,,,,,,,,1.8235,,,,,,,,,,,,,,"Cap Mcdowell, Gmdrc Granitecove, Gmdrc Molar Junction",Boraginaceae,FORB,ANNUAL,FORB,
PLAGIOTHECIUM UNDULATUM,Accepted,PLAGIOTHECIUM UNDULATUM,,,,,,,,,,,,,,,,,,,,,,"Lygra_intermediate, Lygra_old",Plagiotheciaceae,FORB,NULL,FORB,
PLANTAGO EURYPHYLLA,Unresolved,,NA,,382.18435,45.18531954,0.03,374.3149917,39.26273667,0.32955,15.9845175,,,,,0.170101217,,,,,,,,Falls Creek,Plantaginaceae,FORB,PERENNIAL,FORB,
PLANTAGO MYOSUROS,Accepted,PLANTAGO MYOSUROS,,,,,,,,,,,,,,,,,,,,,,"EEA, Mar Chiquita Drt",Plantaginaceae,FORB,NULL,FORB,
PLANTAGO OVATA,Accepted,PLANTAGO OVATA,,75,,,,,,1.9,,,0.115,,,,,,,,,,,"Cap Mcdowell, Cap Whitetank",Plantaginaceae,FORB,ANNUAL,FORB,
PLANTAGO RHODOSPERMA,Accepted,PLANTAGO RHODOSPERMA,,,,,,,,0.825,17.37,0.46,,,,,,,,,,,,BFL,Plantaginaceae,FORB,ANNUAL,FORB,
PLANTAGO VIRGINICA,Accepted,PLANTAGO VIRGINICA,,,,,0.224,,,0.47,,,,,,,,,,,,,,Oklahoma (KAEFS-OK),Plantaginaceae,FORB,PERENNIAL,FORB,
PLEUROZIUM SCHREBERI,Accepted,PLEUROZIUM SCHREBERI,,,,,,,,,,,,,,,,,,,,,,"Lygra_intermediate, Lygra_old",Hylocomiaceae,MOSS,NULL,BRYOPHYTE,
POA ALPINA,Accepted,POA ALPINA,,125.84,458,13,0.298831111,488.7,16.9,0.387766976,21.51150438,0.1825,0.254,,,0.276270112,292.2,,0.26,,0.442,root N from groot,,Passo Gavia,Poaceae,GRASS,PERENNIAL,GRASS,
POA BULBOSA,Accepted,POA BULBOSA,,16.19333333,435.83,17.70666667,0.3224,,10.49,0.959475828,21.09,,0.2032,,,0.213673333,,,0.01366667,,0.83805545,root N from groot,,"Hardware Ranch, ORE IDE AC",Poaceae,GRASS,ANNUAL,GRASS,
POA COMPRESSA,Accepted,POA COMPRESSA,,127.8140909,440.992,13.678,0.2491,395.7,8.04,0.199,20.91883636,0.179,0.254,,,0.29125,54.78896667,,0.53,,0.593,"RootC and N, SRL from groot, leaf n and Rdiam from Julie Larson",,ESW,Poaceae,GRASS,PERENNIAL,GRASS,
POA HIEMATA,Accepted,POA HIEMATA,,43.7996667,477.169537,13.7803809,0.6,,,0.378,3.35531,,,,,,,,,,,,,Falls Creek,Poaceae,GRASS,PERENNIAL,GRASS,
POA HOTHAMENSIS,Accepted,POA HOTHAMENSIS,,,472.48416,18.1774119,0.9,,,0.39,5.099444,,,,,,,,,,,,,Falls Creek,Poaceae,GRASS,PERENNIAL,GRASS,
POA LANIGERA,Accepted,POA LANIGERA,,,,,,,,,24,,,,,0.259,,,,,,,,Mar Chiquita Drt,Poaceae,GRASS,PERENNIAL,GRASS,
POA LIGULARIS,Accepted,POA LIGULARIS,,41.19,,22.4,1.2,,10.4,0.415,6.944926731,0.4825,0.7,,,,,,,,,"RootN, depth from groot",,Chacra Experimental Patagones,Poaceae,GRASS,PERENNIAL,GRASS,
POA SECUNDA,Synonym,PSEUDOSCLEROCHLOA RUPESTRIS,Synonym,62.375,,16.12,0.42672,345.26,14.54,0.494194796,11.51,0.114,0.254,,,0.317236,197.6,,,,,,,"Hardware Ranch, North Platte, OCTC_GreatBasin, ORE IDE AC",Poaceae,GRASS,PERENNIAL,GRASS,
POA SPICIFORMIS,Accepted,POA SPICIFORMIS,,,,,,,,,,,,,,,,,,,,,,Potrok Aike Drt,Poaceae,GRASS,PERENNIAL,GRASS,
POLYGALA ALBA,Accepted,POLYGALA ALBA,,,,,,,,0.7,,,,,,,,,,,,,,Cedar Point - Drought-Net,Polygalaceae,FORB,PERENNIAL,FORB,
POLYGALA CONFUSA,Accepted,POLYGALA CONFUSA,,,,,,,,,20.29,,,,,,,,,,,,,Ukulinga Drought,Polygalaceae,FORB,PERENNIAL,FORB,
POLYGALA DARWINIANA,Accepted,POLYGALA DARWINIANA,,,,,,,,,,,0.45,,,,,,,,,,,Potrok Aike Drt,Polygalaceae,FORB,ANNUAL,FORB,
POLYGALA HOTTENTOTTA,Accepted,POLYGALA HOTTENTOTTA,,,,,,,,,,,,,,,,,,,,,,Ukulinga Drought,Polygalaceae,FORB,PERENNIAL,FORB,
POLYGALA LONGICAULIS,Accepted,POLYGALA LONGICAULIS,,,,,,,,,,,,,,,,,,,,,,Guaribas,Polygalaceae,FORB,ANNUAL,FORB,
POLYGALA RUPESTRIS,Accepted,POLYGALA RUPESTRIS,,525,,,10.58,,,2.88,25.97,,0.37,,,,,,,,,,,"Ayora Experimental Station, Middle Ebro Valley",Polygalaceae,SUBSHRUB,PERENNIAL,WOODY,
POLYGONUM ARENARIUM,Accepted,POLYGONUM ARENARIUM,,31.75,,,,,,,16.81,,,,,0.4113637,,,,,,,,Kiskunsag,Polygonaceae,FORB,ANNUAL,FORB,
POLYGONUM THUNBERGII,Accepted,POLYGONUM THUNBERGII,,,,,,,,,,,,,,,,,,,,,,Teshio Experimental Grassland,Polygonaceae,FORB,ANNUAL,FORB,
POLYPOGON ELONGATUS,Accepted,POLYPOGON ELONGATUS,,,,,,,,0.17,,,,,,,,,,,,,,Las Chilcas Drt,Poaceae,NULL,NULL,GRASS,
POLYPREMUM PROCUMBENS,Accepted,POLYPREMUM PROCUMBENS,,,,,,,,,,,,,,,,,,,,,,"BFL, Bivens Arm, SLP",Tetrachondraceae,FORB,ANNUAL,FORB,
POLYTRICHUM COMMUNE,Accepted,POLYTRICHUM COMMUNE,,,542.994842,10.81008333,0.02,,,,,,0.02,,,,,,,,,,,"Lygra_intermediate, Lygra_old",Polytrichaceae,MOSS,NULL,BRYOPHYTE,
POMARIA JAMESII,Accepted,POMARIA JAMESII,,,,,,,,,16.30169355,,1.95,,,0.2370473,,,0.8607,,,"SLA, Diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",depth from groot,"Antelope, Sevilleta_Mixed",Fabaceae,FORB,PERENNIAL,LEGUME,
POTENTILLA AUREA,Accepted,POTENTILLA AUREA,,1033.466667,460.64,30.417,0.0915,,,,22.13904012,,0.55,,,0.248973333,,,,,,depth from groot,,Passo Gavia,Rosaceae,FORB,PERENNIAL,FORB,
POTENTILLA GRANDIFLORA,Accepted,POTENTILLA GRANDIFLORA,,,,,,,,0.166,39.1,,,,,,,,,,,,,"Allmend Brachy, Allmend Ovina",Rosaceae,FORB,PERENNIAL,FORB,
POTENTILLA REPTANS,Accepted,POTENTILLA REPTANS,,2176.5,414.5742644,24.6133503,0.274083333,,,0.282122222,23.567332,,,,,0.240411,,1.02985364,,,,,,Rhijnauwen,Rosaceae,FORB,PERENNIAL,FORB,
PRENANTHELLA EXIGUA,Accepted,PRENANTHELLA EXIGUA,,,,,,,,,,,,,,,,,,,,,,NNSS_Mojave,Compositae,FORB,ANNUAL,FORB,
PRIMULA GLUTINOSA,Accepted,PRIMULA GLUTINOSA,,133,476,27,,,,,13.58757528,,0.2515,,,,,,,,,,,Passo Gavia,Primulaceae,FORB,PERENNIAL,FORB,
PROSOPIS GLANDULOSA,Accepted,PROSOPIS GLANDULOSA,,,,29.56111,10,,,69.6675,,,3.828571429,,,,,,,,,depth from groot,,"Jornada_LTER Drt, JRN_Chihuahuan",Fabaceae,SHRUB,PERENNIAL,LEGUME,
PROSOPIS PUGIONATA,Accepted,PROSOPIS PUGIONATA,,,,,,,,,,,,,,,,,,,,,,Los Cerrillos,Fabaceae,TREE,PERENNIAL,LEGUME,
PROSOPIS TORQUATA,Accepted,PROSOPIS TORQUATA,,,,,,,,,19.17539258,0.204188333,,,,,,,,,,,,Los Cerrillos,Fabaceae,TREE,PERENNIAL,LEGUME,
PSEUDOSCLEROPODIUM PURUM,Accepted,PSEUDOSCLEROPODIUM PURUM,,,,,,,,,,,,,,,,,,,,,,"Lygra_intermediate, Lygra_old",Brachytheciaceae,MOSS,NULL,BRYOPHYTE,
PSORALEA LANCEOLATA,Accepted,PSORALEA LANCEOLATA,,,,,,,,,,,2.135,,,,,,,,,depth from groot,,Biddulph,Fabaceae,FORB,PERENNIAL,LEGUME,
PTERYXIA HENDERSONII,Accepted,PTERYXIA HENDERSONII,,,,,,,,,,,,,,,,,,,,,,CMSS,Apiaceae,FORB,PERENNIAL,FORB,
PTILIUM CRISTA-CASTRENSIS,Accepted,PTILIUM CRISTA-CASTRENSIS,,,,,,,,,,,,,,,,,,,,,,Lygra_old,Pylaisiaceae,BRYOPHYTE,NULL,BRYOPHYTE,
PTILOTUS ATRIPLICIFOLIUS,Unresolved,,synonym: Ptilotus sessilifolius,400,,,1,,,0.76,,,,,,,,,,,,,,Cobar,Amaranthaceae,FORB,PERENNIAL,FORB,
