"","Taxon","site_code","X.x","n_treat_years.x","sum.ctrl.cover.x","mean.ctrl.cover.x","sum.drt.cover.x","mean.drt.cover.x","sum.cover.response.x","mean.cover.response.x","X.1","X.y","n_treat_years.y","sum.ctrl.cover.y","mean.ctrl.cover.y","sum.drt.cover.y","mean.drt.cover.y","sum.cover.response.y","mean.cover.response.y","diff.drt.trt","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group","site.id"
"271","GALIUM BOREALE","brookdale.ca",1319,1,6.416666667,1.283333333,6.666666667,1.333333333,0.25,0.05,1320,1320,2,5,1,5.25,1.05,0.25,0.05,-0.283333333,18.80683333,0.37,10,22.71017578,0.1524,0.315984509,172.8382766,0.1779,"FORB","PERENNIAL","FORB",8
"272","GALIUM LUCIDUM","ayora.es",375,1,2,1,5,2.5,3,1.5,376,376,2,3,1.5,6,3,3,1.5,0.5,26,0.375,NA,40.8,0.67,NA,NA,NA,"VINE","PERENNIAL","FORB",4
"275","GALIUM VERUM","allmendo.ch",213,1,5.25,1.75,1.75,0.875,-3.5,-0.875,214,214,2,3.5,1.166666667,1.75,0.875,-1.75,-0.291666667,0,21.6094737,0.516038889,11.75956766,17.72121934,0.7266667,0.140178711,402.3842917,0.122981034,"FORB","PERENNIAL","FORB",2
"281","GEUM CANADENSE","esw.ca",2748,1,1,1,1,1,0,0,2749,2749,2,2,2,1,1,-1,-1,0,NA,12.3,NA,20.2434208,0.1016,NA,NA,NA,"FORB","PERENNIAL","FORB",17
"282","GLOBULARIA VULGARIS","allmendb.ch",69,1,5.25,1.75,0.75,0.375,-4.5,-1.375,70,70,2,6.5,2.166666667,1,0.5,-5.5,-1.666666667,0.125,NA,0.2,NA,6.892,0.47,NA,NA,NA,"FORB","PERENNIAL","FORB",1
"283","GLOBULARIA VULGARIS","allmendo.ch",217,1,1.75,0.583333333,4,1.333333333,2.25,0.75,218,218,2,1.75,0.875,5.25,1.75,3.5,0.875,0.416666667,NA,0.2,NA,6.892,0.47,NA,NA,NA,"FORB","PERENNIAL","FORB",2
"284","GNAPHALIUM SUPINUM","passogavia.it",5275,1,0.16,0.053333333,0.15,0.075,-0.01,0.021666667,5276,5276,2,0.18,0.06,0.1,0.05,-0.08,-0.01,-0.025,22.46381487,NA,28.1,27.00300375,NA,NA,307.39,0.29,"FORB","PERENNIAL","FORB",36
"288","GYPSOPHILA REPENS","allmendo.ch",221,1,0.25,0.25,0.5,0.5,0.25,0.25,222,222,2,0.25,0.25,0.25,0.25,0,0,-0.25,12.7,0.14,NA,15.67666667,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",2
"302","HELIOPSIS HELIANTHOIDES","brookdale.ca",1328,1,0,0,2,2,2,2,1329,1329,2,4,1,5,1,1,0,-1,NA,1.2745,NA,19.34129566,NA,0.155412644,61.30678286,0.38123125,"FORB","PERENNIAL","FORB",8
"314","HYDROCOTYLE BONARIENSIS","marcdrt.ar",4352,1,3,1.5,7,2.333333333,4,0.833333333,4353,4353,2,10,2.5,11,2.75,1,0.25,0.416666667,NA,NA,NA,27.35005333,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",28
"315","HYDROCOTYLE BONARIENSIS","chilcasdrt.ar",1953,1,5.5,1.375,0,0,-5.5,-1.375,1954,1954,2,2,1,0.25,0.25,-1.75,-0.75,0.25,NA,NA,NA,27.35005333,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",12
"316","HYPOCHAERIS RADICATA","falls.au",2887,1,4.5,0.9,2.5,0.833333333,-2,-0.066666667,2888,2888,2,4,1,2.5,0.833333333,-1.5,-0.166666667,3.33e-10,17.75,0.3505,5.956457605,28.74506187,0.5475,0.14089564,151.7703194,0.261638779,"FORB","PERENNIAL","FORB",19
"317","HYPOCHAERIS RADICATA","baddrt.de",487,1,0.2,0.2,1,1,0.8,0.8,488,488,2,2,1,1,1,-1,0,0,17.75,0.3505,5.956457605,28.74506187,0.5475,0.14089564,151.7703194,0.261638779,"FORB","PERENNIAL","FORB",5
"318","HYPOCHAERIS RADICATA","spvdrt.ar",6118,1,8,2.666666667,9,3,1,0.333333333,6119,6119,2,2,1,8,2.666666667,6,1.666666667,-0.333333333,17.75,0.3505,5.956457605,28.74506187,0.5475,0.14089564,151.7703194,0.261638779,"FORB","PERENNIAL","FORB",42
"320","KNAUTIA ARVENSIS","allmendb.ch",85,1,0,0,1.5,1.5,1.5,1.5,86,86,2,0,0,1.5,1.5,1.5,1.5,0,24.60384722,0.559111111,10.58839097,18.38055602,0.155,0.2315,150.6768113,0.417,"FORB","PERENNIAL","FORB",1
"329","LACTUCA TATARICA","kernb.ca",3563,1,4,2,2.5,1.25,-1.5,-0.75,3564,3564,2,0.5,0.5,4,2,3.5,1.5,0.75,22.6,0.625,NA,18.07666667,2.4,0.213227444,77.19169246,NA,"FORB","PERENNIAL","FORB",22
"334","LEONTODON HISPIDUS","elvadrt.ee",2623,1,19,6.333333333,12,4,-7,-2.333333333,2624,2624,2,17,5.666666667,6,2,-11,-3.666666667,-2,23.92644618,0.371,11.53789754,27.0408515,0.3,0.134462153,204.9072943,0.273284146,"FORB","PERENNIAL","FORB",16
"338","LEUCANTHEMOPSIS ALPINA","passogavia.it",5285,1,4.22,0.844,2.3,0.46,-1.92,-0.384,5286,5286,2,4.85,0.97,2.35,0.47,-2.5,-0.5,0.01,26,0.035,NA,15.775,0.126,NA,NA,0.83,"FORB","PERENNIAL","FORB",36
"339","LEUCANTHEMUM VULGARE","allmendb.ch",89,1,2.75,1.375,3,1.5,0.25,0.125,90,90,2,2.75,1.375,3,1.5,0.25,0.125,0,30.26796208,0.53192,9.640667198,17.80983272,0.2032,0.178238532,205.5962002,0.23427,"FORB","PERENNIAL","FORB",1
"340","LEUCANTHEMUM VULGARE","rhijn.nl",5572,1,1,1,1,1,0,0,5573,5573,2,3,3,3,3,0,0,2,30.26796208,0.53192,9.640667198,17.80983272,0.2032,0.178238532,205.5962002,0.23427,"FORB","PERENNIAL","FORB",38
"341","LIATRIS ASPERA","cedartrait.us",1671,1,59,8.428571429,59,11.8,0,3.371428571,1672,1672,2,48,6.857142857,25,6.25,-23,-0.607142857,-5.55,12.33641253,0.68,20.498833,17.00092904,NA,0.135313282,193.6403191,0.335858333,"FORB","PERENNIAL","FORB",10
"342","LIATRIS PUNCTATA","bfl.us",811,1,41,13.66666667,23,11.5,-18,-2.166666667,812,812,2,66,22,33,11,-33,-11,-0.5,16.817,0.6096,NA,9.8333502,0.3556,0.16753096,118.8077502,0.3044,"FORB","PERENNIAL","FORB",6
"343","LIATRIS PUNCTATA","biddulph.ca",887,1,0,0,1,1,1,1,888,888,2,0,0,1,1,1,1,0,16.817,0.6096,NA,9.8333502,0.3556,0.16753096,118.8077502,0.3044,"FORB","PERENNIAL","FORB",7
"344","LIATRIS SQUARROSA","oklah.us",4804,1,1,0.5,3.5,1.75,2.5,1.25,4805,4805,2,3,3,3,3,0,0,1.25,22.06384,0.4548,NA,16.33650548,0.67,NA,NA,NA,"FORB","PERENNIAL","FORB",32
"345","LIGUSTICUM MUTELLINA","passogavia.it",5289,1,24,12,46,46,22,34,5290,5290,2,26,13,45,45,19,32,-1,21.8,0.28,NA,24.9616,0.68,NA,NA,NA,"FORB","PERENNIAL","FORB",36
"354","LITHOSPERMUM INCISUM","mattheis.ca",4505,1,11,5.5,20,10,9,4.5,4506,4506,2,0,0,22,11,22,11,1,26.9,0.2176,NA,12.77,3.03,NA,NA,NA,"FORB","PERENNIAL","FORB",30
"369","MICROSERIS LANCEOLATA","falls.au",2891,1,0,0,1,1,1,1,2892,2892,2,0,0,0.5,0.5,0.5,0.5,-0.5,NA,0.4,NA,11.380814,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",19
"372","MONARDA FISTULOSA","cedartrait.us",1679,1,2,2,8,8,6,6,1680,1680,2,1,1,2,2,1,1,-6,11.29051118,0.662,17.87547,26.21085308,0.1016,0.165191358,93.37285277,0.28925,"FORB","PERENNIAL","FORB",10
"379","NOTICASTRUM SERICEUM","spvdrt.ar",6130,1,1,1,8,4,7,3,6131,6131,2,3,1.5,7,3.5,4,2,-0.5,30.175,NA,NA,36.99,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",42
"382","OXALIS DILLENII","slp.us",6058,1,1,1,5,2.5,4,1.5,6059,6059,2,0,0,2,2,2,2,-0.5,NA,0.188478161,NA,41.82566697,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",41
"392","PERSICARIA VIVIPARA","passogavia.it",5303,1,2.1,1.05,0.1,0.1,-2,-0.95,5304,5304,2,2.2,1.1,0.2,0.2,-2,-0.9,0.1,21.5,0.283,NA,22,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",36
"395","PHLOX HOODII","oreaa.us",4978,1,7,3.5,6.5,1.625,-0.5,-1.875,4979,4979,2,7,3.5,4,1,-3,-2.5,-0.625,23.27,0.02825,NA,13.95070877,0.54,0.180454545,107.0545926,0.2647,"FORB","PERENNIAL","FORB",33
"396","PHYTEUMA HEMISPHAERICUM","passogavia.it",5311,1,12,2.4,11.5,2.3,-0.5,-0.1,5312,5312,2,12,2.4,10,2,-2,-0.4,-0.3,27,0.1,NA,19.5,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",36
"398","PICRIS HIERACIOIDES","jenadrt.de",3296,1,9,4.5,6.5,2.166666667,-2.5,-2.333333333,3297,3297,2,14,4.666666667,6,3,-8,-1.666666667,0.833333333,24.11,0.157,12.13,18.58,1.23,0.0725,193.765,0.45557832,"FORB","PERENNIAL","FORB",21
"399","PICRIS HIERACIOIDES","baddrt.de",503,1,630,63,240,48,-390,-15,504,504,2,550,55,185,37,-365,-18,-11,24.11,0.157,12.13,18.58,1.23,0.0725,193.765,0.45557832,"FORB","PERENNIAL","FORB",5
"401","PIMPINELLA SAXIFRAGA","allmendb.ch",104,1,7.5,2.5,7.25,2.416666667,-0.25,-0.083333333,105,105,2,7.5,2.5,6.75,2.25,-0.75,-0.25,-0.166666667,21.22166667,0.445,3.322678571,21.46439541,2.42685,0.315348446,149.6596103,0.228622222,"FORB","PERENNIAL","FORB",1
"402","PIMPINELLA SAXIFRAGA","pineta.es",5373,1,3.5,1.75,1.5,0.5,-2,-1.25,5374,5374,2,0.5,0.5,1.5,0.5,1,0,0,21.22166667,0.445,3.322678571,21.46439541,2.42685,0.315348446,149.6596103,0.228622222,"FORB","PERENNIAL","FORB",37
"403","PIMPINELLA SAXIFRAGA","allmendo.ch",249,1,7,2.333333333,6.5,2.166666667,-0.5,-0.166666667,250,250,2,5.5,1.833333333,5.75,1.916666667,0.25,0.083333333,-0.25,21.22166667,0.445,3.322678571,21.46439541,2.42685,0.315348446,149.6596103,0.228622222,"FORB","PERENNIAL","FORB",2
"404","PLANTAGO EURYPHYLLA","falls.au",2897,1,2,1,1,1,-1,0,2898,2898,2,1.5,0.75,0.5,0.5,-1,-0.25,-0.5,45.18531954,0.03,NA,15.9845175,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",19
"405","PLANTAGO LANCEOLATA","cowidrt.ca",2199,1,0,0,2,2,2,2,2200,2200,2,0,0,2,2,2,2,0,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,"FORB","PERENNIAL","FORB",14
"406","PLANTAGO LANCEOLATA","scruzh.us",5790,1,23.9314175,11.96570875,22.2222222,22.2222222,-1.7091953,10.25651345,5791,5791,2,20,10,25,8.333333333,5,-1.666666667,-13.88888887,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,"FORB","PERENNIAL","FORB",39
"407","PLANTAGO LANCEOLATA","allmendb.ch",108,1,0.25,0.25,2,1,1.75,0.75,109,109,2,0,0,0.5,0.25,0.5,0.25,-0.75,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,"FORB","PERENNIAL","FORB",1
"408","PLANTAGO LANCEOLATA","rhijn.nl",5582,1,35,5.833333333,12,4,-23,-1.833333333,5583,5583,2,27,4.5,7,3.5,-20,-1,-0.5,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,"FORB","PERENNIAL","FORB",38
"409","PLANTAGO LANCEOLATA","baddrt.de",507,1,0.05,0.05,0.3,0.3,0.25,0.25,508,508,2,0.2,0.2,1,1,0.8,0.8,0.7,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,"FORB","PERENNIAL","FORB",5
"410","PLANTAGO LANCEOLATA","allmendo.ch",253,1,1.5,0.75,0.75,0.75,-0.75,0,254,254,2,1.25,0.625,0.75,0.75,-0.5,0.125,0,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,"FORB","PERENNIAL","FORB",2
"435","POLYGALA VULGARIS","allmendb.ch",112,1,6,2,4.25,1.416666667,-1.75,-0.583333333,113,113,2,3.5,1.75,1.5,0.5,-2,-1.25,-0.916666667,NA,0.172916667,NA,19.02952398,0.5,0.2661556,396.667,0.7826128,"FORB","PERENNIAL","FORB",1
"436","POTENTILLA ANSERINA","elvadrt.ee",2661,1,2,1,3,1,1,0,2662,2662,2,2,1,3,1,1,0,0,26.20897891,0.277222222,NA,17.47534074,0.43,0.63425,148.75,0.6572,"FORB","PERENNIAL","FORB",16
"437","POTENTILLA AUREA","passogavia.it",5319,1,8.5,2.833333333,0,0,-8.5,-2.833333333,5320,5320,2,7.5,2.5,0.32,0.16,-7.18,-2.34,0.16,30.417,0.0915,NA,22.13904012,0.55,NA,NA,NA,"FORB","PERENNIAL","FORB",36
"441","POTENTILLA GRANDIFLORA","allmendo.ch",259,1,15.75,5.25,9.75,3.25,-6,-2,260,260,2,12.25,4.083333333,9.5,3.166666667,-2.75,-0.916666667,-0.083333333,NA,NA,NA,39.1,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",2
"442","POTENTILLA GRANDIFLORA","allmendb.ch",116,1,2.75,0.916666667,2,0.666666667,-0.75,-0.25,117,117,2,3,1,1.5,0.5,-1.5,-0.5,-0.166666667,NA,NA,NA,39.1,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",1
"443","POTENTILLA REPTANS","rhijn.nl",5591,1,32,8,45,22.5,13,14.5,5592,5592,2,12,6,25,12.5,13,6.5,-10,24.6133503,0.274083333,NA,23.567332,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",38
"444","PRIMULA GLUTINOSA","passogavia.it",5323,1,4.9,0.98,1.5,0.75,-3.4,-0.23,5324,5324,2,4.6,1.15,1.2,0.6,-3.4,-0.55,-0.15,27,NA,NA,13.58757528,0.2515,NA,NA,NA,"FORB","PERENNIAL","FORB",36
"445","PRUNELLA VULGARIS","allmendb.ch",120,1,53.5,17.83333333,42.25,14.08333333,-11.25,-3.75,121,121,2,54.75,18.25,33.75,11.25,-21,-7,-2.83333333,16.811555,0.250255556,5.87871,22.91466839,0.254,0.105496279,223.0600732,0.294300536,"FORB","PERENNIAL","FORB",1
"446","PRUNELLA VULGARIS","allmendo.ch",263,1,23.75,7.916666667,12.5,4.166666667,-11.25,-3.75,264,264,2,18.75,6.25,5.5,1.833333333,-13.25,-4.416666667,-2.333333334,16.811555,0.250255556,5.87871,22.91466839,0.254,0.105496279,223.0600732,0.294300536,"FORB","PERENNIAL","FORB",2
"453","RANUNCULUS ACRIS","rhijn.nl",5599,1,15,3,6,3,-9,0,5600,5600,2,2,1,4,2,2,1,-1,24.40250649,0.455420833,11.25,22.35741937,0.44,0.121892828,139.8527763,0.35099,"FORB","PERENNIAL","FORB",38
"454","RANUNCULUS ACRIS","elvadrt.ee",2667,1,6,2,6,2,0,0,2668,2668,2,6,2,6,2,0,0,0,24.40250649,0.455420833,11.25,22.35741937,0.44,0.121892828,139.8527763,0.35099,"FORB","PERENNIAL","FORB",16
"457","RATIBIDA COLUMNIFERA","oklah.us",4828,1,3.5,1.75,0.5,0.5,-3,-1.25,4829,4829,2,0.5,0.5,0.5,0.5,0,0,0,NA,0.94488,NA,22.85,0.3556,NA,56,0.66,"FORB","PERENNIAL","FORB",32
"468","RUELLIA HUMILIS","konzadrt.us",3950,1,1,1,4,2,3,1,3951,3951,2,3,1.5,6,3,3,1.5,1,17,0.502906667,NA,12.07550636,0.1016,0.40803047,18.40109592,0.42,"FORB","PERENNIAL","FORB",25
"473","SALVIA PRATENSIS","allmendb.ch",130,1,2.25,1.125,6.5,3.25,4.25,2.125,131,131,2,2.75,1.375,4.5,2.25,1.75,0.875,-1,19.3,0.520833333,NA,24.4875,2.1,0.2015038,272.308,2.015308,"FORB","PERENNIAL","FORB",1
"474","SALVIA PRATENSIS","allmendo.ch",271,1,0.5,0.5,7.75,3.875,7.25,3.375,272,272,2,0.25,0.25,6.5,3.25,6.25,3,-0.625,19.3,0.520833333,NA,24.4875,2.1,0.2015038,272.308,2.015308,"FORB","PERENNIAL","FORB",2
"477","SANGUISORBA MINOR","allmendb.ch",134,1,8,2.666666667,7.5,2.5,-0.5,-0.166666667,135,135,2,8.25,2.75,6,2,-2.25,-0.75,-0.5,19.82857143,0.340136667,13.0925861,17.81475981,0.3048,0.290931094,118.7237432,0.4611271,"FORB","PERENNIAL","FORB",1
"478","SANGUISORBA MINOR","allmendo.ch",275,1,0,0,0.5,0.5,0.5,0.5,276,276,2,0,0,0.75,0.75,0.75,0.75,0.25,19.82857143,0.340136667,13.0925861,17.81475981,0.3048,0.290931094,118.7237432,0.4611271,"FORB","PERENNIAL","FORB",2
"479","SCABIOSA COLUMBARIA","allmendb.ch",138,1,7.75,2.583333333,3,1,-4.75,-1.583333333,139,139,2,6.25,2.083333333,3,1.5,-3.25,-0.583333333,0.5,21.2,0.594444444,NA,19.16302632,0.9,0.347953216,120.2294669,0.181166667,"FORB","PERENNIAL","FORB",1
"480","SCABIOSA COLUMBARIA","allmendo.ch",279,1,0.5,0.25,3.25,1.625,2.75,1.375,280,280,2,0.25,0.25,2,1,1.75,0.75,-0.625,21.2,0.594444444,NA,19.16302632,0.9,0.347953216,120.2294669,0.181166667,"FORB","PERENNIAL","FORB",2
"481","SCABIOSA COLUMBARIA","ukulingadrt.za",6266,1,0,0,12,4,12,4,6267,6267,2,0,0,10,10,10,10,6,21.2,0.594444444,NA,19.16302632,0.9,0.347953216,120.2294669,0.181166667,"FORB","PERENNIAL","FORB",43
"488","SCORZONEROIDES AUTUMNALIS","elvadrt.ee",2679,1,3,1.5,0,0,-3,-1.5,2680,2680,2,5,1.666666667,1,1,-4,-0.666666667,1,19.34660756,0.310966667,NA,21.52466367,0.199327,0.3144167,268.333,1.400488,"FORB","PERENNIAL","FORB",16
"489","SEDUM STENOPETALUM","oreaa.us",4984,1,10.5,3.5,11.5,2.875,1,-0.625,4985,4985,2,5,1.666666667,8.5,2.125,3.5,0.458333333,-0.75,NA,0.1118,NA,9.29,0.1,NA,NA,0.58,"FORB","PERENNIAL","FORB",33
"494","SISYRINCHIUM BELLUM","scruzh.us",5806,1,1.2195122,1.2195122,3.6680092,1.8340046,2.448497,0.6144924,5807,5807,2,3,3,19,4.75,16,1.75,2.9159954,22.35,0.2558,NA,23.93793933,NA,0.101107003,118.754489,0.32952,"FORB","PERENNIAL","FORB",39
"495","SISYRINCHIUM MONTANUM","kinsella.ca",3782,1,0,0,2,2,2,2,3783,3783,2,0,0,2,2,2,2,0,NA,0.225,NA,19.78,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",24
"496","SOLDANELLA PUSILLA","passogavia.it",5335,1,50.4,10.08,68,13.6,17.6,3.52,5336,5336,2,37.2,7.44,63,12.6,25.8,5.16,-1,NA,0.02,NA,16.8,0.11,NA,NA,NA,"FORB","PERENNIAL","FORB",36
"497","SOLIDAGO CANADENSIS","brookdale.ca",1356,1,12,2.4,14.5,2.9,2.5,0.5,1357,1357,2,10.36666667,2.073333333,9.5,1.9,-0.866666667,-0.173333333,-1,15.13338959,1.30146,NA,17.75668436,0.3048,NA,77.59504262,0.486273328,"FORB","PERENNIAL","FORB",8
"498","SOLIDAGO CANADENSIS","baddrt.de",525,1,0.2,0.2,0.3,0.15,0.1,-0.05,526,526,2,0.5,0.5,0.2,0.2,-0.3,-0.3,0.05,15.13338959,1.30146,NA,17.75668436,0.3048,NA,77.59504262,0.486273328,"FORB","PERENNIAL","FORB",5
"499","SOLIDAGO CANADENSIS","esw.ca",2768,1,150,50,81,27,-69,-23,2769,2769,2,70,23.33333333,74,24.66666667,4,1.333333333,-2.333333333,15.13338959,1.30146,NA,17.75668436,0.3048,NA,77.59504262,0.486273328,"FORB","PERENNIAL","FORB",17
"500","SOLIDAGO MISSOURIENSIS","kernb.ca",3591,1,1.5,0.75,1,1,-0.5,0.25,3592,3592,2,1,0.5,1,1,0,0.5,0,13.3335,0.576,10.93,10.60804205,0.2032,0.208174196,100.2127031,0.323716667,"FORB","PERENNIAL","FORB",22
"501","SOLIDAGO MISSOURIENSIS","kinsella.ca",3784,1,10,10,10,5,0,-5,3785,3785,2,10,10,10,5,0,-5,0,13.3335,0.576,10.93,10.60804205,0.2032,0.208174196,100.2127031,0.323716667,"FORB","PERENNIAL","FORB",24
"502","SOLIDAGO NEMORALIS","cedartrait.us",1710,1,60,10,21,7,-39,-3,1711,1711,2,35,5,17,8.5,-18,3.5,1.5,15.47778333,0.57,23.31317375,13.95394921,0.3048,0.129791058,208.2087011,0.369872222,"FORB","PERENNIAL","FORB",10
"503","SOLIDAGO NEMORALIS","oklah.us",4849,1,0,0,15.5,7.75,15.5,7.75,4850,4850,2,0.5,0.5,15,15,14.5,14.5,7.25,15.47778333,0.57,23.31317375,13.95394921,0.3048,0.129791058,208.2087011,0.369872222,"FORB","PERENNIAL","FORB",32
"504","SOLIDAGO RIGIDA","oklah.us",4854,1,0,0,3,3,3,3,4855,4855,2,0,0,33,11,33,11,8,11.83477126,0.598,8.386758333,10.23214847,0.3048,0.212780118,35.33592984,0.482373411,"FORB","PERENNIAL","FORB",32
"505","SOLIDAGO RIGIDA","brookdale.ca",1360,1,5,2.5,1.5,1.5,-3.5,-1,1361,1361,2,1,1,2,2,1,1,0.5,11.83477126,0.598,8.386758333,10.23214847,0.3048,0.212780118,35.33592984,0.482373411,"FORB","PERENNIAL","FORB",8
"506","SOLIDAGO RIGIDA","cedartrait.us",1714,1,40,20,18,9,-22,-11,1715,1715,2,27,13.5,20,10,-7,-3.5,1,11.83477126,0.598,8.386758333,10.23214847,0.3048,0.212780118,35.33592984,0.482373411,"FORB","PERENNIAL","FORB",10
"508","SONCHUS ARVENSIS","esw.ca",2773,1,6,3,2,2,-4,-1,2774,2774,2,11,5.5,5,5,-6,-0.5,3,26.4,1.1875,NA,21,0.56,0.219369,40.215,NA,"FORB","PERENNIAL","FORB",17
"509","SONCHUS ARVENSIS","kernnu.ca",3702,1,28,14,21.5,7.166666667,-6.5,-6.833333333,3703,3703,2,8,4,6,6,-2,2,-1.166666667,26.4,1.1875,NA,21,0.56,0.219369,40.215,NA,"FORB","PERENNIAL","FORB",23
"510","SONCHUS ARVENSIS","brookdale.ca",1363,1,7.75,1.55,9.75,1.95,2,0.4,1364,1364,2,4.5,1.125,7.5,1.5,3,0.375,-0.45,26.4,1.1875,NA,21,0.56,0.219369,40.215,NA,"FORB","PERENNIAL","FORB",8
"511","SONCHUS ARVENSIS","kernb.ca",3596,1,3,1,2.5,1.25,-0.5,0.25,3597,3597,2,1,1,1,1,0,0,-0.25,26.4,1.1875,NA,21,0.56,0.219369,40.215,NA,"FORB","PERENNIAL","FORB",22
"515","SPHAERALCEA HASTULATA","antelope.us",329,1,0.05,0.05,2,2,1.95,1.95,330,330,2,0,0,1,1,1,1,-1,NA,NA,NA,14.04606421,2.5,NA,10.52042,0.492,"FORB","PERENNIAL","FORB",3
"519","STELLARIA GRAMINEA","elvadrt.ee",2687,1,2,1,3,1,1,0,2688,2688,2,1,1,3,1,2,0,0,29.426,0.460386667,NA,29.05086069,0.34,0.337078652,251.0337458,0.135266667,"FORB","PERENNIAL","FORB",16
"520","STENARIA NIGRICANS","bfl.us",836,1,4,4,2,1,-2,-3,837,837,2,6,6,5,2.5,-1,-3.5,1.5,NA,0.2,NA,15.01261282,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",6
"528","SYMPHYOTRICHUM ERICOIDES","brookdale.ca",1375,1,4,4,5,1.25,1,-2.75,1376,1376,2,1,1,3,1,2,0,-0.25,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,"FORB","PERENNIAL","FORB",8
"529","SYMPHYOTRICHUM ERICOIDES","kernb.ca",3605,1,5,5,4,2,-1,-3,3606,3606,2,3,3,6,2,3,-1,0,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,"FORB","PERENNIAL","FORB",22
"530","SYMPHYOTRICHUM ERICOIDES","konzadrt.us",3969,1,183,36.6,175,35,-8,-1.6,3970,3970,2,112,22.4,24,6,-88,-16.4,-29,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,"FORB","PERENNIAL","FORB",25
"531","SYMPHYOTRICHUM ERICOIDES","mattheis.ca",4513,1,15,15,0,0,-15,-15,4514,4514,2,15,15,3,3,-12,-12,3,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,"FORB","PERENNIAL","FORB",30
"532","SYMPHYOTRICHUM ERICOIDES","esw.ca",2777,1,2,1,0,0,-2,-1,2778,2778,2,2,2,2,1,0,-1,1,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,"FORB","PERENNIAL","FORB",17
"533","SYMPHYOTRICHUM ERICOIDES","oklah.us",4873,1,30.5,10.16666667,33,11,2.5,0.833333333,4874,4874,2,33,11,33,11,0,0,0,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,"FORB","PERENNIAL","FORB",32
"534","SYMPHYOTRICHUM ERICOIDES","hard.us",3105,1,2,2,28,9.333333333,26,7.333333333,3106,3106,2,3,1.5,29,9.666666667,26,8.166666667,0.333333334,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,"FORB","PERENNIAL","FORB",20
"535","SYMPHYOTRICHUM ERICOIDES","matador.ca",4469,1,1,1,2,1,1,0,4470,4470,2,3,3,2,1,-1,-2,0,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,"FORB","PERENNIAL","FORB",29
"536","SYMPHYOTRICHUM FALCATUM","kinsella.ca",3797,1,13,4.333333333,40,13.33333333,27,9,3798,3798,2,13,4.333333333,40,13.33333333,27,9,3.33e-09,22.282,0.4175,8.69,14.18715,NA,0.117472,79.08403333,0.31118,"FORB","PERENNIAL","FORB",24
"537","SYMPHYOTRICHUM LAEVE","brookdale.ca",1379,1,0,0,2.666666667,2.666666667,2.666666667,2.666666667,1380,1380,2,0,0,2.5,2.5,2.5,2.5,-0.166666667,11.6,0.976666667,9.78,14.28815235,NA,0.253411079,69.91354785,0.323475,"FORB","PERENNIAL","FORB",8
"538","SYMPHYOTRICHUM LANCEOLATUM","esw.ca",2782,1,6,3,1,1,-5,-2,2783,2783,2,12,4,4,2,-8,-2,1,25.1,1.8288,NA,12.754,0.2032,0.15,68,0.36,"FORB","PERENNIAL","FORB",17
"539","SYMPHYOTRICHUM NOVAE-ANGLIAE","esw.ca",2787,1,1,1,1,1,0,0,2788,2788,2,0,0,17,8.5,17,8.5,7.5,12.17017,1.022302632,NA,23.88988777,NA,0.12,52,0.46,"FORB","PERENNIAL","FORB",17
