"","Taxon","site_code","mean.drt.cover.yr1","mean.drt.cover.yr2","diff.drt.trt","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"110","CAREX BREVICULMIS","falls.au",0.75,0.75,0,18.30157885,0.05,NA,14.60009466,NA,NA,NA,NA,"GRASS","PERENNIAL","GRAMINOID"
"111","CAREX BREVIOR","konzadrt.us",0.1,2.8,2.7,NA,0.254,NA,21.15675902,NA,NA,NA,NA,"GRAMINOID","PERENNIAL","GRAMINOID"
"112","CAREX CARYOPHYLLEA","allmendo.ch",14.16666667,12.08333333,-2.083333337,18,0.223333333,NA,18.76023077,0.2,NA,NA,0.0784,"GRAMINOID","PERENNIAL","GRAMINOID"
"113","CAREX CARYOPHYLLEA","allmendb.ch",16.5,14.58333333,-1.916666667,18,0.223333333,NA,18.76023077,0.2,NA,NA,0.0784,"GRAMINOID","PERENNIAL","GRAMINOID"
"114","CAREX CURVULA","passogavia.it",42,39.8,-2.2,12,NA,NA,9.999104145,0.65,NA,NA,NA,"GRAMINOID","PERENNIAL","GRAMINOID"
"115","CAREX DISTACHYA","ayora.es",2.5,1,-1.5,NA,0.1756,NA,4.8,0.91,NA,NA,NA,"GRAMINOID","PERENNIAL","FORB"
"116","CAREX ECHINATA","lygraold.no",1,30,29,17.8,0.33305,NA,15.53,0.2032,NA,NA,NA,"GRAMINOID","PERENNIAL","GRAMINOID"
"117","CAREX FLACCA","allmendb.ch",0.25,0.25,0,17.07498081,0.37125,4.956666667,14.4018786,0.83,0.169025277,218.7926062,0.380313725,"GRAMINOID","PERENNIAL","GRAMINOID"
"118","CAREX FLACCA","allmendo.ch",1.5,1,-0.5,17.07498081,0.37125,4.956666667,14.4018786,0.83,0.169025277,218.7926062,0.380313725,"GRAMINOID","PERENNIAL","GRAMINOID"
"119","CAREX HEBES","falls.au",0.5,0.5,0,NA,NA,NA,19.096154,NA,NA,NA,NA,"GRASS","PERENNIAL","GRAMINOID"
"120","CAREX NIGRA","lygraold.no",7.333333333,2,-5.333333333,24.40009307,0.388666667,6.648625922,20.83559904,0.78,0.2198095,52.8,0.2421,"GRAMINOID","PERENNIAL","GRAMINOID"
"121","CAREX PANICEA","lygraint.no",3,2,-1,16.1715862,0.31,NA,17.69830765,0.49,NA,9.14,NA,"GRAMINOID","PERENNIAL","GRAMINOID"
"123","CELMISIA COSTINIANA","falls.au",48.33333333,55,6.66666667,NA,0.515,NA,9.655537,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"124","CENCHRUS CILIARIS","cerrillos.ar",1.25,0.63,-0.62,18.5,0.9144,6.5,14.69,0.508,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"126","CENTAUREA JACEA","allmendb.ch",1.5,1.25,-0.25,25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037,"FORB","PERENNIAL","FORB"
"127","CENTAUREA JACEA","allmendo.ch",2.25,2.375,0.125,25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037,"FORB","PERENNIAL","FORB"
"128","CENTAUREA JACEA","rhijn.nl",6.5,5,-1.5,25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037,"FORB","PERENNIAL","FORB"
"129","CENTAUREA SCABIOSA","allmendb.ch",7.25,7.25,0,22.3,0.9625,NA,16.2315625,2.708833,NA,NA,NA,"FORB","PERENNIAL","FORB"
"130","CENTAUREA SCABIOSA","allmendo.ch",1.75,1.166666667,-0.583333333,22.3,0.9625,NA,16.2315625,2.708833,NA,NA,NA,"FORB","PERENNIAL","FORB"
"131","CERASTIUM ARVENSE","kernnu.ca",0.75,2,1.25,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"FORB","PERENNIAL","FORB"
"132","CERASTIUM ARVENSE","biddulph.ca",2,0.5,-1.5,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"FORB","PERENNIAL","FORB"
"133","CERASTIUM ARVENSE","cmss.us",5,9,4,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"FORB","PERENNIAL","FORB"
"134","CERASTIUM ARVENSE","paike.ar",1,1,0,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"FORB","PERENNIAL","FORB"
"135","CERASTIUM ARVENSE","matador.ca",0.75,0.5,-0.25,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"FORB","PERENNIAL","FORB"
"136","CERASTIUM ARVENSE","kernb.ca",1.25,0.5,-0.75,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"FORB","PERENNIAL","FORB"
"137","CERASTIUM ARVENSE","elvadrt.ee",1,1,0,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"FORB","PERENNIAL","FORB"
"138","CERASTIUM ARVENSE","cowidrt.ca",1.5,2,0.5,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"FORB","PERENNIAL","FORB"
"139","CERASTIUM FONTANUM","jenadrt.de",0.5,0.75,0.25,24.9755,0.218333333,8.721238939,25.83139407,NA,0.133299797,101.6244572,0.282,"FORB","PERENNIAL","FORB"
"142","CHLOROGALUM POMERIDIANUM","scruzh.us",2.4691358,2,-0.4691358,28.9,NA,NA,12.962,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"143","CHONDROSUM ERIOPODUM","jorndrt.us",27.33333333,11.33333333,-16,14.8969364,NA,NA,18.54844313,NA,NA,NA,0.03,"GRAMINOID","PERENNIAL","GRASS"
"144","CHONDROSUM ERIOPODUM","antelope.us",5.68125,2.764285714,-2.916964286,14.8969364,NA,NA,18.54844313,NA,NA,NA,0.03,"GRAMINOID","PERENNIAL","GRASS"
"145","CIRSIUM ARVENSE","brookdale.ca",2.133333333,1.6,-0.533333333,29.75611991,0.84284049,15.2,16.60803212,1.853333,NA,64,0.71,"FORB","PERENNIAL","FORB"
"146","CIRSIUM ARVENSE","baddrt.de",3.3,0.75,-2.55,29.75611991,0.84284049,15.2,16.60803212,1.853333,NA,64,0.71,"FORB","PERENNIAL","FORB"
"147","CIRSIUM ARVENSE","esw.ca",1.5,1.333333333,-0.166666667,29.75611991,0.84284049,15.2,16.60803212,1.853333,NA,64,0.71,"FORB","PERENNIAL","FORB"
"149","CISTUS ALBIDUS","ayora.es",14.66666667,23.66666667,8.999999997,13.70833333,1,NA,15.54983587,NA,0.775024053,6.965677795,0.4331,"SHRUB","PERENNIAL","WOODY"
"150","CISTUS CLUSII","ayora.es",5,2,-3,17.575,1,NA,15.66073822,NA,NA,NA,NA,"SHRUB","PERENNIAL","WOODY"
"154","COMANDRA UMBELLATA","cedarsav.us",6.666666667,3.333333333,-3.333333334,21.0594,NA,NA,18.08533756,NA,0.334821433,31.36179282,0.321385714,"FORB","PERENNIAL","FORB"
"155","COMANDRA UMBELLATA","matador.ca",3.5,3.5,0,21.0594,NA,NA,18.08533756,NA,0.334821433,31.36179282,0.321385714,"FORB","PERENNIAL","FORB"
"156","COMMELINA CYANEA","yarradrt.au",2,8.16,6.16,30.634,0.1,NA,34.85,NA,0.12642,NA,0.05284,"FORB","PERENNIAL","FORB"
"157","CONVOLVULUS ARVENSIS","jenadrt.de",2,2,0,27.77,0.048,12.29,17.215475,2.24,0.5298167,31.40813333,NA,"FORB","PERENNIAL","FORB"
"158","CORDOBIA ARGENTEA","cerrillos.ar",8.753333333,11.67,2.916666667,27.9,NA,NA,5.52599535,NA,NA,NA,NA,"VINE","PERENNIAL","WOODY"
